Group,Rank
tour7 | two | average,6030.98
tour7 | one | average,6080.48
tour5 | two | average,6298.28
tour7 | ut7 | average,6697.58
tour7 | ut3 | average,6750.38
tour7 | ur2 | average,6770.18
tour7 | unif2 | average,6908.78
tour5 | one | average,6925.28
tour7 | empty | strong,6971.48
tour7 | up2 | average,6987.98
tour5 | ur2 | average,7176.08
tour5 | ut3 | average,7281.68
tour7 | ut3 | weak,7291.58
tour5 | empty | strong,7308.08
tour7 | two | weak,7311.38
tour5 | ut7 | average,7317.98
tour5 | unif2 | average,7337.78
tour5 | up2 | average,7344.38
tour7 | ut7 | weak,7364.18
tour7 | unif2 | weak,7393.88
tour7 | ur2 | weak,7410.38
tour7 | up2 | weak,7413.68
tour5 | ur2 | weak,7446.68
tour5 | ut7 | weak,7456.58
tour7 | ur7 | average,7473.08
tour5 | ut3 | weak,7479.68
tour7 | up7 | average,7499.48
tour5 | ur7 | average,7506.08
tour7 | unif7 | average,7512.68
tour5 | unif2 | weak,7519.28
tour5 | up7 | average,7542.38
tour5 | unif7 | average,7548.98
tour5 | up2 | weak,7572.08
tour5 | unif7 | weak,7578.68
tour7 | up7 | weak,7598.48
tour7 | unif7 | weak,7598.48
tour3 | ur7 | weak,7601.78
tour7 | ur7 | weak,7618.28
tour5 | ur7 | weak,7644.68
tour5 | up7 | weak,7651.28
tour3 | unif7 | weak,7654.58
tour3 | empty | average,7661.18
tour3 | ur2 | weak,7674.38
tour3 | up7 | weak,7700.78
rank | empty | average,7723.88
tour3 | ur7 | average,7730.48
rank | ur7 | weak,7737.08
tour5 | empty | average,7855.88
tour5 | two | weak,7872.38
tour7 | empty | average,7898.78
tour7 | one | weak,7908.68
tour3 | one | average,8053.88
tour3 | unif2 | weak,8070.38
tour7 | one | strong,8139.68
tour3 | two | average,8146.28
tour3 | up2 | weak,8149.58
tour3 | ut7 | weak,8175.98
tour5 | one | weak,8251.88
tour7 | two | strong,8261.78
tour7 | ut3 | strong,8331.08
tour3 | empty | strong,8331.08
prop | ut7 | strong,8347.58
rank | empty | strong,8350.88
tour7 | ur2 | strong,8357.48
prop | empty | average,8367.38
tour3 | ut3 | weak,8380.58
tour5 | one | strong,8383.88
tour7 | ut7 | strong,8400.38
tour7 | up2 | strong,8403.68
prop | unif2 | strong,8410.28
prop | unif7 | strong,8420.18
prop | two | strong,8423.48
prop | ut3 | strong,8426.78
prop | one | strong,8426.78
tour7 | unif2 | strong,8443.28
tour3 | two | weak,8449.88
tour5 | ur2 | strong,8453.18
prop | empty | strong,8463.08
rank | unif2 | strong,8463.08
tour3 | ur2 | average,8486.18
tour5 | two | strong,8492.78
prop | ur2 | strong,8492.78
rank | one | strong,8499.38
tour3 | two | strong,8509.28
rank | unif7 | strong,8509.28
prop | up7 | strong,8512.58
rank | up2 | strong,8515.88
rank | two | strong,8519.18
rank | ut3 | strong,8522.48
tour5 | ut3 | strong,8522.48
prop | up2 | strong,8525.78
prop | ur7 | strong,8532.38
rank | ut7 | strong,8545.58
rank | up7 | strong,8548.88
tour3 | ur2 | strong,8562.08
tour3 | unif2 | strong,8562.08
tour3 | one | strong,8568.68
tour5 | up2 | strong,8571.98
prop | two | average,8581.88
rank | ur2 | strong,8598.38
tour7 | up7 | strong,8604.98
prop | one | average,8604.98
tour3 | ut3 | strong,8608.28
tour5 | unif2 | strong,8608.28
tour3 | one | weak,8614.88
prop | ut7 | average,8614.88
tour7 | ur7 | strong,8618.18
tour3 | ut7 | strong,8628.08
tour5 | ut7 | strong,8631.38
tour3 | up2 | strong,8631.38
prop | unif2 | average,8644.58
tour3 | up7 | strong,8667.68
prop | up2 | average,8670.98
prop | ut3 | average,8670.98
tour3 | unif7 | strong,8674.28
prop | unif7 | average,8680.88
tour7 | unif7 | strong,8700.68
rank | ur7 | strong,8717.18
prop | up7 | average,8736.98
rank | empty | weak,8740.28
rank | two | weak,8743.58
tour5 | ur7 | strong,8743.58
prop | ur2 | average,8750.18
tour3 | ur7 | strong,8760.08
tour3 | empty | weak,8776.58
tour5 | empty | weak,8779.88
tour5 | up7 | strong,8786.48
tour5 | unif7 | strong,8789.78
tour7 | empty | weak,8789.78
rank | one | weak,8802.98
prop | up2 | weak,8806.28
prop | two | weak,8819.48
prop | unif2 | weak,8822.78
prop | empty | weak,8822.78
rank | ur2 | weak,8829.38
prop | ut3 | weak,8832.68
prop | ur7 | average,8839.28
rank | one | average,8842.58
prop | ut7 | weak,8845.88
tour3 | ut7 | average,8855.78
prop | one | weak,8862.38
tour3 | ut3 | average,8878.88
rank | up2 | average,8892.08
tour3 | unif2 | average,8931.68
rank | ur2 | average,8934.98
rank | ut3 | average,8941.58
rank | ur7 | average,8944.88
prop | up7 | weak,8948.18
prop | unif7 | weak,8951.48
rank | up2 | weak,8958.08
tour3 | up7 | average,8961.38
rank | unif7 | weak,8961.38
tour3 | up2 | average,8964.68
rank | two | average,8967.98
rank | ut7 | weak,8971.28
tour3 | unif7 | average,8971.28
rank | unif2 | weak,8974.58
rank | unif2 | average,8977.88
prop | ur2 | weak,8981.18
rank | ut3 | weak,8981.18
rank | up7 | average,8991.08
rank | ut7 | average,9000.98
rank | up7 | weak,9007.58
rank | unif7 | average,9047.18
prop | ur7 | weak,9116.48
