Function,Dimensions,old_selfcshaga_runs,old_selfcshaga_found,old_selfcshaga_reliability,old_selfcshaga_mean_gen,old_selfcshaga_median_gen,selfcshaga_new2_runs,selfcshaga_new2_found,selfcshaga_new2_reliability,selfcshaga_new2_mean_gen,selfcshaga_new2_median_gen,pdpga_runs,pdpga_found,pdpga_reliability,pdpga_mean_gen,pdpga_median_gen,pdpshaga_runs,pdpshaga_found,pdpshaga_reliability,pdpshaga_mean_gen,pdpshaga_median_gen,best_by_reliability,best_reliability,best_by_mean_gen,best_mean_gen,best_by_median_gen,best_median_gen,selfcshaga_new2_delta_rel_vs_old,selfcshaga_new2_delta_mean_gen_vs_old,pdpga_delta_rel_vs_old,pdpga_delta_mean_gen_vs_old,pdpshaga_delta_rel_vs_old,pdpshaga_delta_mean_gen_vs_old,pdpga_delta_rel_vs_selfcshaga_new2,pdpga_delta_mean_gen_vs_selfcshaga_new2,pdpshaga_delta_rel_vs_selfcshaga_new2,pdpshaga_delta_mean_gen_vs_selfcshaga_new2
Ackley,30,100,27,0.27,242.1851851851852,243.0,100,87,0.87,228.60919540229884,228.0,100,5,0.05,235.6,233.0,100,99,0.99,217.66666666666666,220.0,pdpshaga,0.99,pdpshaga,217.66666666666666,pdpshaga,220.0,0.6,-13.575989782886353,-0.22000000000000003,-6.585185185185196,0.72,-24.518518518518533,-0.82,6.990804597701157,0.12,-10.94252873563218
ExpandedScaffers_F6,2,100,81,0.81,49.111111111111114,48.0,100,80,0.8,41.9625,40.0,100,20,0.2,41.25,35.0,100,74,0.74,41.689189189189186,36.0,old_selfcshaga,0.81,pdpga,41.25,pdpga,35.0,-0.010000000000000009,-7.148611111111116,-0.6100000000000001,-7.861111111111114,-0.07000000000000006,-7.421921921921928,-0.6000000000000001,-0.7124999999999986,-0.06000000000000005,-0.27331081081081265
Griewank,30,100,69,0.69,364.2173913043478,363.0,100,72,0.72,328.4583333333333,329.5,100,54,0.54,422.35185185185185,423.5,100,64,0.64,298.21875,297.0,selfcshaga_new2,0.72,pdpshaga,298.21875,pdpshaga,297.0,0.030000000000000027,-35.7590579710145,-0.1499999999999999,58.134460547504034,-0.04999999999999993,-65.99864130434781,-0.17999999999999994,93.89351851851853,-0.07999999999999996,-30.239583333333314
HighConditionedElliptic,30,100,16,0.16,347.375,348.5,100,90,0.9,332.53333333333336,332.0,100,0,0.0,,,100,100,1.0,310.74,309.0,pdpshaga,1.0,pdpshaga,310.74,pdpshaga,309.0,0.74,-14.84166666666664,-0.16,,0.84,-36.63499999999999,-0.9,,0.09999999999999998,-21.79333333333335
HybridCompositionFunction1,10,100,79,0.79,291.65822784810126,274.0,100,46,0.46,298.89130434782606,207.5,100,1,0.01,87.0,87.0,100,81,0.81,178.58024691358025,120.0,pdpshaga,0.81,pdpga,87.0,pdpga,87.0,-0.33,7.2330764997248025,-0.78,-204.65822784810126,0.020000000000000018,-113.07798093452101,-0.45,-211.89130434782606,0.35000000000000003,-120.31105743424581
HybridCompositionFunction3,2,100,98,0.98,71.91836734693878,65.5,100,92,0.92,55.91304347826087,50.0,100,5,0.05,106.4,46.0,100,82,0.82,47.59756097560975,41.5,old_selfcshaga,0.98,pdpshaga,47.59756097560975,pdpshaga,41.5,-0.05999999999999994,-16.005323868677912,-0.9299999999999999,34.481632653061226,-0.16000000000000003,-24.320806371329027,-0.87,50.48695652173914,-0.10000000000000009,-8.315482502651115
HybridCompositionFunction3H,2,100,26,0.26,261.0,307.0,100,19,0.19,163.73684210526315,159.0,100,0,0.0,,,100,14,0.14,127.21428571428571,119.0,old_selfcshaga,0.26,pdpshaga,127.21428571428571,pdpshaga,119.0,-0.07,-97.26315789473685,-0.26,,-0.12,-133.78571428571428,-0.19,,-0.04999999999999999,-36.52255639097744
HybridCompositionFunction4,2,100,3,0.03,274.3333333333333,208.0,100,1,0.01,159.0,159.0,100,0,0.0,,,100,1,0.01,79.0,79.0,old_selfcshaga,0.03,pdpshaga,79.0,pdpshaga,79.0,-0.019999999999999997,-115.33333333333331,-0.03,,-0.019999999999999997,-195.33333333333331,-0.01,,0.0,-80.0
HybridCompositionFunction4withoutbounds,2,100,0,0.0,,,100,0,0.0,,,100,2,0.02,343.0,343.0,100,0,0.0,,,pdpga,0.02,pdpga,343.0,pdpga,343.0,0.0,,0.02,,0.0,,0.02,,0.0,
NonContinuousHybridCompositionFunction3,2,100,90,0.9,97.97777777777777,90.5,100,67,0.67,98.13432835820896,63.0,100,3,0.03,4.0,5.0,100,72,0.72,62.47222222222222,43.5,old_selfcshaga,0.9,pdpga,4.0,pdpga,5.0,-0.22999999999999998,0.15655058043118686,-0.87,-93.97777777777777,-0.18000000000000005,-35.50555555555555,-0.64,-94.13432835820896,0.04999999999999993,-35.66210613598674
Rastrigin,30,100,48,0.48,669.7708333333334,692.5,100,37,0.37,627.3783783783783,637.0,100,0,0.0,,,100,45,0.45,636.1777777777778,625.0,old_selfcshaga,0.48,selfcshaga_new2,627.3783783783783,pdpshaga,625.0,-0.10999999999999999,-42.39245495495504,-0.48,,-0.02999999999999997,-33.593055555555566,-0.37,,0.08000000000000002,8.799399399399476
Rosenbrock,2,100,82,0.82,44.5609756097561,42.5,100,64,0.64,36.65625,34.0,100,22,0.22,22.09090909090909,14.0,100,70,0.7,35.371428571428574,34.5,old_selfcshaga,0.82,pdpga,22.09090909090909,pdpga,14.0,-0.17999999999999994,-7.904725609756099,-0.6,-22.47006651884701,-0.12,-9.189547038327525,-0.42000000000000004,-14.56534090909091,0.05999999999999994,-1.2848214285714263
RotatedHybridCompositionFunction,2,100,54,0.54,124.85185185185185,121.0,100,54,0.54,73.77777777777777,66.5,100,0,0.0,,,100,53,0.53,74.0754716981132,62.0,old_selfcshaga,0.54,selfcshaga_new2,73.77777777777777,pdpshaga,62.0,0.0,-51.074074074074076,-0.54,,-0.010000000000000009,-50.77638015373864,-0.54,,-0.010000000000000009,0.2976939203354334
RotatedVersionHybridCompositionFunction1,2,100,97,0.97,43.83505154639175,37.0,100,92,0.92,33.43478260869565,29.5,100,17,0.17,22.058823529411764,21.0,100,86,0.86,30.86046511627907,22.0,old_selfcshaga,0.97,pdpga,22.058823529411764,pdpga,21.0,-0.04999999999999993,-10.400268937696104,-0.7999999999999999,-21.77622801697999,-0.10999999999999999,-12.974586430112684,-0.75,-11.375959079283884,-0.06000000000000005,-2.5743174924165793
RotatedVersionHybridCompositionFunction1Noise,2,100,91,0.91,49.46153846153846,38.0,100,95,0.95,34.54736842105263,29.0,100,21,0.21,23.61904761904762,23.0,100,95,0.95,30.74736842105263,30.0,selfcshaga_new2,0.95,pdpga,23.61904761904762,pdpga,23.0,0.039999999999999925,-14.914170040485828,-0.7000000000000001,-25.84249084249084,0.039999999999999925,-18.71417004048583,-0.74,-10.928320802005011,0.0,-3.8000000000000007
ShiftedExpandedGriewankRosenbrock,2,100,73,0.73,47.863013698630134,46.0,100,70,0.7,35.871428571428574,32.5,100,11,0.11,35.36363636363637,26.0,100,63,0.63,39.93650793650794,38.0,old_selfcshaga,0.73,pdpga,35.36363636363637,pdpga,26.0,-0.030000000000000027,-11.99158512720156,-0.62,-12.499377334993767,-0.09999999999999998,-7.926505762122197,-0.59,-0.5077922077922068,-0.06999999999999995,4.065079365079363
ShiftedRastrigin,10,100,96,0.96,170.11458333333334,166.5,100,74,0.74,143.77027027027026,143.5,100,19,0.19,83.52631578947368,84.0,100,83,0.83,92.26506024096386,88.0,old_selfcshaga,0.96,pdpga,83.52631578947368,pdpga,84.0,-0.21999999999999997,-26.344313063063083,-0.77,-86.58826754385966,-0.13,-77.84952309236948,-0.55,-60.243954480796575,0.08999999999999997,-51.5052100293064
ShiftedRosenbrock,2,100,86,0.86,131.27906976744185,128.0,100,70,0.7,102.47142857142858,96.0,100,13,0.13,42.38461538461539,45.0,100,55,0.55,89.23636363636363,75.0,old_selfcshaga,0.86,pdpga,42.38461538461539,pdpga,45.0,-0.16000000000000003,-28.80764119601328,-0.73,-88.89445438282647,-0.30999999999999994,-42.04270613107822,-0.57,-60.08681318681319,-0.1499999999999999,-13.23506493506494
ShiftedRotatedGriewank,2,100,100,1.0,102.93,83.0,100,88,0.88,89.48863636363636,77.0,100,5,0.05,68.2,75.0,100,85,0.85,58.0,49.0,old_selfcshaga,1.0,pdpshaga,58.0,pdpshaga,49.0,-0.12,-13.441363636363647,-0.95,-34.730000000000004,-0.15000000000000002,-44.93000000000001,-0.83,-21.288636363636357,-0.030000000000000027,-31.48863636363636
ShiftedRotatedRastrigin,10,100,0,0.0,,,100,0,0.0,,,100,0,0.0,,,100,0,0.0,,,old_selfcshaga,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,
ShiftedSchwefe1_2,10,100,31,0.31,617.0645161290323,653.0,100,91,0.91,585.2527472527472,600.0,100,0,0.0,,,100,99,0.99,470.4141414141414,485.0,pdpshaga,0.99,pdpshaga,470.4141414141414,pdpshaga,485.0,0.6000000000000001,-31.8117688762851,-0.31,,0.6799999999999999,-146.65037471489092,-0.91,,0.07999999999999996,-114.83860583860582
