Function,Dimensions,Adaptation_Operator,Mutate_Operator_Proba,Reliability,Speed,Range_Left,Range_Right
F1,1,proportional,0.0,0.62,8.76,1.0,15.0
F1,1,proportional,0.1,0.63,8.17,1.0,15.0
F1,1,proportional,0.2,0.62,8.61,2.0,15.0
F1,1,proportional,0.3,0.53,7.26,1.0,15.0
F1,1,proportional,0.4,0.64,8.97,1.0,15.0
F1,1,proportional,0.5,0.69,7.81,2.0,15.0
F1,1,proportional,0.6,0.74,8.43,1.0,15.0
F1,1,proportional,0.7,0.63,8.95,2.0,15.0
F1,1,proportional,0.8,0.67,8.49,3.0,15.0
F1,1,proportional,0.9,0.6,8.17,1.0,15.0
F1,1,proportional,1.0,0.68,8.78,1.0,15.0
F1,1,rank,0.0,0.68,9.19,2.0,15.0
F1,1,rank,0.1,0.63,8.71,1.0,15.0
F1,1,rank,0.2,0.67,8.48,1.0,15.0
F1,1,rank,0.3,0.62,8.69,2.0,15.0
F1,1,rank,0.4,0.77,8.69,1.0,15.0
F1,1,rank,0.5,0.67,8.51,1.0,15.0
F1,1,rank,0.6,0.65,9.63,2.0,15.0
F1,1,rank,0.7,0.66,8.52,2.0,15.0
F1,1,rank,0.8,0.56,7.57,1.0,14.0
F1,1,rank,0.9,0.6,9.38,2.0,15.0
F1,1,rank,1.0,0.65,8.45,1.0,15.0
F1,1,tournament_3,0.0,0.7,8.94,1.0,15.0
F1,1,tournament_3,0.1,0.62,8.44,1.0,15.0
F1,1,tournament_3,0.2,0.68,8.78,2.0,15.0
F1,1,tournament_3,0.3,0.73,8.92,2.0,15.0
F1,1,tournament_3,0.4,0.65,7.74,1.0,15.0
F1,1,tournament_3,0.5,0.6,8.7,2.0,15.0
F1,1,tournament_3,0.6,0.69,8.68,1.0,15.0
F1,1,tournament_3,0.7,0.69,8.81,1.0,15.0
F1,1,tournament_3,0.8,0.63,8.51,1.0,15.0
F1,1,tournament_3,0.9,0.67,8.52,1.0,15.0
F1,1,tournament_3,1.0,0.59,8.92,1.0,15.0
F1,1,tournament_5,0.0,0.64,8.92,1.0,15.0
F1,1,tournament_5,0.1,0.65,9.49,1.0,15.0
F1,1,tournament_5,0.2,0.67,8.69,1.0,15.0
F1,1,tournament_5,0.3,0.68,8.71,1.0,15.0
F1,1,tournament_5,0.4,0.63,8.37,1.0,15.0
F1,1,tournament_5,0.5,0.65,9.02,1.0,15.0
F1,1,tournament_5,0.6,0.68,8.31,1.0,15.0
F1,1,tournament_5,0.7,0.69,8.74,1.0,15.0
F1,1,tournament_5,0.8,0.55,9.25,3.0,15.0
F1,1,tournament_5,0.9,0.68,7.62,1.0,15.0
F1,1,tournament_5,1.0,0.68,8.69,1.0,15.0
F2,1,proportional,0.0,0.59,10.24,1.0,22.0
F2,1,proportional,0.1,0.5,10.02,1.0,22.0
F2,1,proportional,0.2,0.53,9.87,1.0,22.0
F2,1,proportional,0.3,0.55,10.2,1.0,22.0
F2,1,proportional,0.4,0.45,11.53,1.0,22.0
