Function,Dimensions,K,window_i,max_restart_proba_i,Reliability,Speed,Range_Left,Range_Right
F1,1,2,1,0.0,0.77,8.31,1.0,15.0
F1,1,2,1,0.05,0.8,8.44,1.0,15.0
F1,1,2,1,0.1,0.77,8.52,1.0,15.0
F1,1,2,1,0.15000000000000002,0.77,8.69,1.0,15.0
F1,1,2,1,0.2,0.77,8.66,1.0,15.0
F1,1,2,1,0.25,0.75,8.38,1.0,15.0
F1,1,2,1,0.30000000000000004,0.76,8.56,1.0,15.0
F1,1,2,1,0.35000000000000003,0.76,8.58,1.0,15.0
F1,1,2,1,0.4,0.74,8.6,1.0,15.0
F1,1,2,1,0.45,0.74,8.56,1.0,15.0
F1,1,2,1,0.5,0.77,8.66,1.0,15.0
F1,1,2,4,0.0,0.8,8.74,1.0,15.0
F1,1,2,4,0.05,0.77,8.46,1.0,15.0
F1,1,2,4,0.1,0.75,8.43,1.0,15.0
F1,1,2,4,0.15000000000000002,0.77,8.46,1.0,15.0
F1,1,2,4,0.2,0.74,8.31,1.0,15.0
F1,1,2,4,0.25,0.77,8.58,1.0,15.0
F1,1,2,4,0.30000000000000004,0.78,8.49,1.0,15.0
F1,1,2,4,0.35000000000000003,0.75,8.58,1.0,15.0
F1,1,2,4,0.4,0.77,8.53,1.0,15.0
F1,1,2,4,0.45,0.76,8.35,1.0,15.0
F1,1,2,4,0.5,0.75,8.58,1.0,15.0
F1,1,2,7,0.0,0.81,8.74,1.0,15.0
F1,1,2,7,0.05,0.78,8.46,1.0,15.0
F1,1,2,7,0.1,0.78,8.67,1.0,15.0
F1,1,2,7,0.15000000000000002,0.77,8.75,1.0,15.0
F1,1,2,7,0.2,0.76,8.55,1.0,15.0
F1,1,2,7,0.25,0.78,8.43,1.0,15.0
F1,1,2,7,0.30000000000000004,0.75,8.46,1.0,15.0
F1,1,2,7,0.35000000000000003,0.78,8.47,1.0,15.0
F1,1,2,7,0.4,0.76,8.33,1.0,15.0
F1,1,2,7,0.45,0.75,8.44,1.0,15.0
F1,1,2,7,0.5,0.76,8.46,1.0,15.0
F1,1,2,10,0.0,0.78,8.61,1.0,15.0
F1,1,2,10,0.05,0.77,8.46,1.0,15.0
F1,1,2,10,0.1,0.78,8.41,1.0,15.0
F1,1,2,10,0.15000000000000002,0.77,8.73,1.0,15.0
F1,1,2,10,0.2,0.77,8.41,1.0,15.0
F1,1,2,10,0.25,0.77,8.38,1.0,15.0
F1,1,2,10,0.30000000000000004,0.76,8.54,1.0,15.0
F1,1,2,10,0.35000000000000003,0.77,8.59,1.0,15.0
F1,1,2,10,0.4,0.75,8.56,1.0,15.0
F1,1,2,10,0.45,0.77,8.54,1.0,15.0
F1,1,2,10,0.5,0.76,9.0,1.0,15.0
F1,1,2,13,0.0,0.79,8.62,1.0,15.0
F1,1,2,13,0.05,0.75,8.57,1.0,15.0
F1,1,2,13,0.1,0.8,8.71,1.0,15.0
F1,1,2,13,0.15000000000000002,0.74,8.56,1.0,15.0
F1,1,2,13,0.2,0.77,8.57,1.0,15.0
F1,1,2,13,0.25,0.76,8.54,1.0,15.0
F1,1,2,13,0.30000000000000004,0.76,8.37,1.0,15.0
F1,1,2,13,0.35000000000000003,0.76,8.69,1.0,15.0
F1,1,2,13,0.4,0.77,8.59,1.0,15.0
F1,1,2,13,0.45,0.76,8.43,1.0,15.0
F1,1,2,13,0.5,0.77,8.62,1.0,15.0
F2,1,2,1,0.0,0.46,8.55,1.0,22.0
F2,1,2,1,0.05,0.5,9.33,1.0,22.0
F2,1,2,1,0.1,0.51,8.88,1.0,22.0
F2,1,2,1,0.15000000000000002,0.53,9.01,1.0,22.0
F2,1,2,1,0.2,0.52,9.03,1.0,22.0
F2,1,2,1,0.25,0.5,9.37,1.0,22.0
F2,1,2,1,0.30000000000000004,0.51,9.16,1.0,22.0
F2,1,2,1,0.35000000000000003,0.52,9.62,1.0,22.0
F2,1,2,1,0.4,0.5,9.38,1.0,22.0
F2,1,2,1,0.45,0.5,8.85,1.0,22.0
F2,1,2,1,0.5,0.52,9.4,1.0,22.0
F2,1,2,4,0.0,0.49,8.36,1.0,22.0
F2,1,2,4,0.05,0.49,8.84,1.0,22.0
F2,1,2,4,0.1,0.46,8.19,1.0,22.0
F2,1,2,4,0.15000000000000002,0.47,8.66,1.0,22.0
F2,1,2,4,0.2,0.51,8.68,1.0,22.0
F2,1,2,4,0.25,0.51,9.05,1.0,22.0
F2,1,2,4,0.30000000000000004,0.51,9.35,1.0,22.0
F2,1,2,4,0.35000000000000003,0.54,9.28,1.0,22.0
