Function,Dimensions,k_loc_i,k_scale_range_i,Reliability,Speed,Range_Left,Range_Right
F1,1,0.5,0.15,0.82,8.32,1.0,15.0
F1,1,0.5,1.65,0.78,8.82,1.0,15.0
F1,1,0.5,3.15,0.76,8.43,1.0,15.0
F1,1,0.5,4.65,0.73,8.82,2.0,15.0
F1,1,0.5,6.15,0.66,7.86,1.0,15.0
F1,1,0.5,7.65,0.82,8.59,2.0,15.0
F1,1,3.5,0.15,0.78,8.92,1.0,15.0
F1,1,3.5,1.65,0.79,8.59,1.0,15.0
F1,1,3.5,3.15,0.74,8.18,1.0,15.0
F1,1,3.5,4.65,0.75,8.51,1.0,15.0
F1,1,3.5,6.15,0.81,9.0,1.0,15.0
F1,1,3.5,7.65,0.72,7.92,1.0,15.0
F1,1,6.5,0.15,0.78,8.6,2.0,15.0
F1,1,6.5,1.65,0.8,8.6,1.0,15.0
F1,1,6.5,3.15,0.78,7.76,1.0,15.0
F1,1,6.5,4.65,0.78,8.54,1.0,15.0
F1,1,6.5,6.15,0.82,7.98,1.0,15.0
F1,1,6.5,7.65,0.84,8.31,1.0,15.0
F1,1,9.5,0.15,0.79,8.78,3.0,15.0
F1,1,9.5,1.65,0.86,8.38,1.0,15.0
F1,1,9.5,3.15,0.74,8.65,1.0,15.0
F1,1,9.5,4.65,0.81,8.31,2.0,15.0
F1,1,9.5,6.15,0.84,8.43,1.0,15.0
F1,1,9.5,7.65,0.72,9.47,1.0,15.0
F1,1,12.5,0.15,0.8,9.09,1.0,15.0
F1,1,12.5,1.65,0.77,8.61,2.0,15.0
F1,1,12.5,3.15,0.78,8.44,1.0,15.0
F1,1,12.5,4.65,0.73,8.41,1.0,15.0
F1,1,12.5,6.15,0.73,9.21,1.0,15.0
F1,1,12.5,7.65,0.75,9.21,1.0,15.0
F1,1,15.5,0.15,0.76,8.55,2.0,15.0
F1,1,15.5,1.65,0.71,8.0,1.0,15.0
F1,1,15.5,3.15,0.73,8.85,1.0,15.0
F1,1,15.5,4.65,0.75,8.32,2.0,15.0
F1,1,15.5,6.15,0.8,8.76,1.0,15.0
F1,1,15.5,7.65,0.78,8.68,1.0,15.0
F1,1,18.5,0.15,0.74,8.72,1.0,15.0
F1,1,18.5,1.65,0.72,8.0,1.0,15.0
F1,1,18.5,3.15,0.87,8.47,1.0,15.0
F1,1,18.5,4.65,0.74,8.74,1.0,15.0
F1,1,18.5,6.15,0.74,8.88,1.0,15.0
F1,1,18.5,7.65,0.8,9.24,1.0,15.0
F2,1,0.5,0.15,0.44,10.25,1.0,22.0
F2,1,0.5,1.65,0.58,10.48,1.0,22.0
F2,1,0.5,3.15,0.53,8.72,2.0,19.0
F2,1,0.5,4.65,0.4,7.55,1.0,19.0
F2,1,0.5,6.15,0.54,9.13,1.0,21.0
F2,1,0.5,7.65,0.49,9.78,1.0,21.0
F2,1,3.5,0.15,0.39,9.51,1.0,20.0
F2,1,3.5,1.65,0.5,9.44,2.0,20.0
F2,1,3.5,3.15,0.48,9.02,1.0,22.0
F2,1,3.5,4.65,0.48,8.69,1.0,21.0
F2,1,3.5,6.15,0.49,9.0,2.0,21.0
F2,1,3.5,7.65,0.47,8.94,1.0,21.0
F2,1,6.5,0.15,0.5,8.96,1.0,21.0
F2,1,6.5,1.65,0.57,8.42,1.0,21.0
F2,1,6.5,3.15,0.52,8.46,1.0,22.0
F2,1,6.5,4.65,0.53,8.43,1.0,21.0
F2,1,6.5,6.15,0.43,8.81,1.0,21.0
F2,1,6.5,7.65,0.47,8.21,1.0,20.0
F2,1,9.5,0.15,0.45,9.42,2.0,21.0
F2,1,9.5,1.65,0.42,8.86,1.0,21.0
F2,1,9.5,3.15,0.5,9.12,1.0,21.0
F2,1,9.5,4.65,0.4,8.57,1.0,22.0
F2,1,9.5,6.15,0.53,9.43,1.0,21.0
F2,1,9.5,7.65,0.58,9.17,1.0,22.0
F2,1,12.5,0.15,0.46,8.89,2.0,20.0
F2,1,12.5,1.65,0.42,7.02,1.0,22.0
F2,1,12.5,3.15,0.5,9.1,1.0,22.0
F2,1,12.5,4.65,0.55,8.09,1.0,22.0
F2,1,12.5,6.15,0.45,8.89,1.0,20.0
F2,1,12.5,7.65,0.39,7.74,1.0,22.0
F2,1,15.5,0.15,0.4,8.95,1.0,18.0
F2,1,15.5,1.65,0.53,8.66,1.0,20.0
F2,1,15.5,3.15,0.53,9.23,2.0,21.0
F2,1,15.5,4.65,0.57,8.3,1.0,20.0
F2,1,15.5,6.15,0.46,7.91,1.0,21.0
F2,1,15.5,7.65,0.49,8.59,1.0,22.0
F2,1,18.5,0.15,0.51,9.96,1.0,22.0
F2,1,18.5,1.65,0.56,9.09,1.0,21.0
F2,1,18.5,3.15,0.45,9.24,1.0,20.0
F2,1,18.5,4.65,0.51,9.04,1.0,21.0
F2,1,18.5,6.15,0.43,8.58,1.0,19.0
F2,1,18.5,7.65,0.33,8.03,1.0,20.0
F3,2,0.5,0.15,0.42,20.71,13.0,24.0
F3,2,0.5,1.65,0.62,18.35,7.0,25.0
F3,2,0.5,3.15,0.56,18.0,9.0,25.0
F3,2,0.5,4.65,0.58,18.33,7.0,25.0
F3,2,0.5,6.15,0.57,18.09,4.0,25.0
F3,2,0.5,7.65,0.57,17.96,7.0,25.0
F3,2,3.5,0.15,0.63,17.63,8.0,25.0
F3,2,3.5,1.65,0.67,18.55,6.0,25.0
F3,2,3.5,3.15,0.72,17.03,8.0,25.0
F3,2,3.5,4.65,0.58,18.4,6.0,25.0
F3,2,3.5,6.15,0.63,17.95,9.0,25.0
F3,2,3.5,7.65,0.55,18.38,8.0,25.0
F3,2,6.5,0.15,0.58,18.28,2.0,25.0
F3,2,6.5,1.65,0.67,17.43,7.0,25.0
F3,2,6.5,3.15,0.7,18.01,7.0,25.0
F3,2,6.5,4.65,0.62,18.42,7.0,25.0
F3,2,6.5,6.15,0.72,17.82,9.0,25.0
F3,2,6.5,7.65,0.71,17.85,5.0,25.0
F3,2,9.5,0.15,0.57,18.65,8.0,25.0
F3,2,9.5,1.65,0.6,17.67,9.0,25.0
F3,2,9.5,3.15,0.62,17.82,2.0,25.0
F3,2,9.5,4.65,0.58,18.66,7.0,25.0
F3,2,9.5,6.15,0.62,18.21,7.0,25.0
F3,2,9.5,7.65,0.57,18.25,5.0,25.0
F3,2,12.5,0.15,0.65,17.65,6.0,25.0
F3,2,12.5,1.65,0.61,17.7,5.0,25.0
F3,2,12.5,3.15,0.49,18.65,6.0,25.0
F3,2,12.5,4.65,0.71,17.69,5.0,25.0
F3,2,12.5,6.15,0.54,17.17,7.0,25.0
F3,2,12.5,7.65,0.69,18.51,8.0,25.0
F3,2,15.5,0.15,0.57,17.0,4.0,25.0
F3,2,15.5,1.65,0.63,18.32,8.0,25.0
F3,2,15.5,3.15,0.56,18.09,7.0,25.0
F3,2,15.5,4.65,0.72,18.01,6.0,25.0
F3,2,15.5,6.15,0.68,17.35,7.0,25.0
F3,2,15.5,7.65,0.61,18.36,6.0,25.0
F3,2,18.5,0.15,0.6,18.98,6.0,25.0
F3,2,18.5,1.65,0.68,19.22,5.0,25.0
F3,2,18.5,3.15,0.59,16.93,5.0,25.0
F3,2,18.5,4.65,0.48,18.69,7.0,25.0
F3,2,18.5,6.15,0.65,17.86,9.0,25.0
F3,2,18.5,7.65,0.63,17.89,3.0,25.0
F4,2,0.5,0.15,0.58,14.97,7.0,20.0
F4,2,0.5,1.65,0.49,15.0,7.0,20.0
