Function,Selection,Crossover,Mutation,Pop_Size,Iters,fitness,generation_found,FE
OneMax,proportional,empty,weak,100,200,100.0,158.0,31600.0
OneMax,proportional,empty,weak,100,200,99.0,170.0,34000.0
OneMax,proportional,empty,weak,100,200,100.0,149.0,29800.0
OneMax,proportional,empty,weak,100,200,99.0,164.0,32800.0
OneMax,proportional,empty,weak,100,200,100.0,145.0,29000.0
OneMax,proportional,empty,average,100,200,92.0,,
OneMax,proportional,empty,average,100,200,95.0,,
OneMax,proportional,empty,average,100,200,96.0,,
OneMax,proportional,empty,average,100,200,95.0,,
OneMax,proportional,empty,average,100,200,90.0,,
OneMax,proportional,empty,strong,100,200,82.0,,
OneMax,proportional,empty,strong,100,200,84.0,,
OneMax,proportional,empty,strong,100,200,83.0,,
OneMax,proportional,empty,strong,100,200,82.0,,
OneMax,proportional,empty,strong,100,200,82.0,,
OneMax,proportional,one_point,weak,100,200,100.0,72.0,14400.0
OneMax,proportional,one_point,weak,100,200,100.0,87.0,17400.0
OneMax,proportional,one_point,weak,100,200,100.0,56.0,11200.0
OneMax,proportional,one_point,weak,100,200,100.0,63.0,12600.0
OneMax,proportional,one_point,weak,100,200,100.0,63.0,12600.0
OneMax,proportional,one_point,average,100,200,100.0,83.0,16600.0
OneMax,proportional,one_point,average,100,200,100.0,95.0,19000.0
OneMax,proportional,one_point,average,100,200,99.0,121.0,24200.0
OneMax,proportional,one_point,average,100,200,99.0,89.0,17800.0
OneMax,proportional,one_point,average,100,200,99.0,118.0,23600.0
OneMax,proportional,one_point,strong,100,200,86.0,,
OneMax,proportional,one_point,strong,100,200,88.0,,
OneMax,proportional,one_point,strong,100,200,87.0,,
OneMax,proportional,one_point,strong,100,200,88.0,,
OneMax,proportional,one_point,strong,100,200,87.0,,
OneMax,proportional,two_point,weak,100,200,100.0,49.0,9800.0
OneMax,proportional,two_point,weak,100,200,100.0,54.0,10800.0
OneMax,proportional,two_point,weak,100,200,100.0,46.0,9200.0
OneMax,proportional,two_point,weak,100,200,100.0,64.0,12800.0
OneMax,proportional,two_point,weak,100,200,100.0,50.0,10000.0
OneMax,proportional,two_point,average,100,200,100.0,95.0,19000.0
OneMax,proportional,two_point,average,100,200,100.0,66.0,13200.0
OneMax,proportional,two_point,average,100,200,100.0,77.0,15400.0
OneMax,proportional,two_point,average,100,200,100.0,77.0,15400.0
OneMax,proportional,two_point,average,100,200,100.0,64.0,12800.0
OneMax,proportional,two_point,strong,100,200,87.0,,
OneMax,proportional,two_point,strong,100,200,86.0,,
OneMax,proportional,two_point,strong,100,200,89.0,,
OneMax,proportional,two_point,strong,100,200,88.0,,
OneMax,proportional,two_point,strong,100,200,89.0,,
OneMax,proportional,uniform_2,weak,100,200,100.0,35.0,7000.0
