Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,55.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,37.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,46.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,41.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,46.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,45.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,45.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,20.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,46.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,60.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,15.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,52.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,43.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,111.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,0,
