Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
ShiftedRosenbrock,2,270,270,1,185
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,68.0
ShiftedRosenbrock,2,270,270,1,75.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,82.0
ShiftedRosenbrock,2,270,270,1,92.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,48.0
ShiftedRosenbrock,2,270,270,1,105.0
ShiftedRosenbrock,2,270,270,1,102.0
ShiftedRosenbrock,2,270,270,1,71.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,20.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,91.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,119.0
ShiftedRosenbrock,2,270,270,1,84.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,193.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,141.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,63.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,254.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,48.0
ShiftedRosenbrock,2,270,270,1,230.0
ShiftedRosenbrock,2,270,270,1,65.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,96.0
ShiftedRosenbrock,2,270,270,1,47.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,101.0
ShiftedRosenbrock,2,270,270,1,75.0
ShiftedRosenbrock,2,270,270,1,50.0
ShiftedRosenbrock,2,270,270,1,196.0
ShiftedRosenbrock,2,270,270,1,30.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,49.0
ShiftedRosenbrock,2,270,270,1,107.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,106.0
ShiftedRosenbrock,2,270,270,1,116.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,75.0
ShiftedRosenbrock,2,270,270,1,121.0
ShiftedRosenbrock,2,270,270,1,48.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,51.0
ShiftedRosenbrock,2,270,270,1,21.0
ShiftedRosenbrock,2,270,270,1,45.0
ShiftedRosenbrock,2,270,270,1,96.0
ShiftedRosenbrock,2,270,270,1,49.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,54.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,43.0
ShiftedRosenbrock,2,270,270,1,145.0
ShiftedRosenbrock,2,270,270,1,102.0
ShiftedRosenbrock,2,270,270,1,75.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,75.0
ShiftedRosenbrock,2,270,270,1,63.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,102.0
ShiftedRosenbrock,2,270,270,1,193.0
ShiftedRosenbrock,2,270,270,1,25.0
ShiftedRosenbrock,2,270,270,1,22.0
ShiftedRosenbrock,2,270,270,1,68.0
ShiftedRosenbrock,2,270,270,1,83.0
ShiftedRosenbrock,2,270,270,1,43.0
ShiftedRosenbrock,2,270,270,1,35.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,165.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRotatedGriewank,2,650,650,1,34.0
ShiftedRotatedGriewank,2,650,650,1,39.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,60.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,40.0
ShiftedRotatedGriewank,2,650,650,0,
ShiftedRotatedGriewank,2,650,650,1,42.0
