Group,1,2,3,4,5,6,7,8,9,10,11,12,13,X̅
prop | empty,0.15,0.26,0.01,0.01,0.0,0.0,0.32,0.04,0.41,0.17,0.0,0.09,0.02,0.11384615384615385
prop | one,0.17,0.29,0.03,0.01,0.0,0.0,0.43,0.03,0.14,0.14,0.0,0.22,0.13,0.12230769230769233
prop | two,0.21,0.27,0.0,0.03,0.0,0.0,0.4,0.02,0.11,0.09,0.01,0.16,0.11,0.10846153846153847
prop | unif2,0.16,0.26,0.01,0.02,0.02,0.0,0.41,0.02,0.16,0.02,0.0,0.15,0.08,0.10076923076923078
prop | unif7,0.22,0.25,0.0,0.04,0.01,0.01,0.38,0.0,0.16,0.08,0.0,0.19,0.16,0.11538461538461539
prop | up2,0.2,0.26,0.01,0.05,0.01,0.01,0.45,0.07,0.14,0.04,0.02,0.28,0.18,0.13230769230769232
prop | up7,0.24,0.23,0.02,0.06,0.01,0.0,0.41,0.05,0.13,0.02,0.02,0.31,0.29,0.1376923076923077
prop | ur2,0.14,0.24,0.03,0.08,0.01,0.01,0.29,0.07,0.11,0.01,0.0,0.21,0.19,0.10692307692307693
prop | ur7,0.27,0.14,0.02,0.12,0.07,0.0,0.18,0.2,0.1,0.01,0.03,0.43,0.3,0.14384615384615385
prop | ut3,0.15,0.15,0.02,0.01,0.0,0.01,0.31,0.02,0.17,0.09,0.0,0.19,0.06,0.09076923076923078
prop | ut7,0.11,0.19,0.02,0.01,0.0,0.0,0.45,0.01,0.13,0.04,0.0,0.07,0.17,0.0923076923076923
rank | empty,0.14,0.29,0.05,0.05,0.01,0.0,0.46,0.07,0.55,0.51,0.01,0.08,0.04,0.17384615384615382
rank | one,0.2,0.31,0.04,0.14,0.03,0.02,0.21,0.03,0.39,0.18,0.08,0.16,0.14,0.14846153846153848
rank | two,0.12,0.24,0.06,0.15,0.05,0.04,0.21,0.08,0.44,0.06,0.07,0.13,0.16,0.1392307692307692
rank | unif2,0.22,0.25,0.06,0.12,0.02,0.02,0.2,0.01,0.58,0.03,0.02,0.14,0.16,0.14076923076923076
rank | unif7,0.23,0.24,0.02,0.09,0.07,0.0,0.21,0.0,0.6,0.03,0.05,0.15,0.16,0.1423076923076923
rank | up2,0.19,0.34,0.12,0.13,0.07,0.01,0.13,0.11,0.29,0.01,0.03,0.28,0.19,0.14615384615384616
rank | up7,0.27,0.23,0.09,0.12,0.05,0.0,0.18,0.06,0.14,0.01,0.05,0.31,0.39,0.1461538461538462
rank | ur2,0.2,0.27,0.16,0.2,0.19,0.03,0.23,0.1,0.34,0.02,0.16,0.23,0.2,0.17923076923076928
rank | ur7,0.24,0.25,0.22,0.44,0.43,0.02,0.14,0.11,0.35,0.01,0.27,0.38,0.47,0.25615384615384607
rank | ut3,0.18,0.3,0.02,0.14,0.03,0.0,0.26,0.01,0.46,0.04,0.04,0.09,0.11,0.12923076923076926
rank | ut7,0.19,0.24,0.03,0.15,0.04,0.02,0.24,0.03,0.5,0.02,0.11,0.08,0.11,0.1353846153846154
tour3 | empty,0.26,0.33,0.22,0.26,0.28,0.22,0.61,0.36,0.54,0.22,0.3,0.27,0.19,0.31230769230769234
tour3 | one,0.36,0.4,0.36,0.52,0.59,0.45,0.23,0.45,0.2,0.05,0.48,0.38,0.49,0.38153846153846155
tour3 | two,0.44,0.35,0.4,0.56,0.53,0.4,0.22,0.41,0.24,0.02,0.56,0.41,0.48,0.38615384615384624
tour3 | unif2,0.36,0.26,0.28,0.48,0.5,0.07,0.13,0.24,0.28,0.01,0.42,0.44,0.4,0.2976923076923077
tour3 | unif7,0.28,0.25,0.37,0.55,0.42,0.03,0.16,0.17,0.34,0.01,0.29,0.51,0.53,0.3007692307692308
tour3 | up2,0.38,0.27,0.35,0.46,0.57,0.05,0.11,0.42,0.2,0.0,0.34,0.55,0.51,0.3238461538461538
tour3 | up7,0.45,0.28,0.41,0.5,0.56,0.04,0.13,0.26,0.05,0.0,0.38,0.65,0.68,0.3376923076923077
tour3 | ur2,0.42,0.28,0.48,0.62,0.72,0.1,0.16,0.38,0.22,0.0,0.47,0.49,0.52,0.37384615384615383
tour3 | ur7,0.43,0.35,0.55,0.77,0.87,0.01,0.13,0.27,0.21,0.0,0.52,0.65,0.68,0.41846153846153844
tour3 | ut3,0.31,0.21,0.33,0.54,0.41,0.14,0.16,0.36,0.2,0.01,0.51,0.31,0.38,0.29769230769230764
tour3 | ut7,0.39,0.24,0.39,0.53,0.46,0.12,0.12,0.27,0.27,0.01,0.4,0.36,0.37,0.30230769230769233
tour5 | empty,0.46,0.39,0.63,0.61,0.7,0.33,0.31,0.39,0.25,0.25,0.6,0.55,0.54,0.4623076923076923
tour5 | one,0.44,0.41,0.72,0.79,0.94,0.55,0.27,0.48,0.15,0.14,0.71,0.66,0.74,0.5384615384615384
tour5 | two,0.44,0.33,0.73,0.88,0.97,0.41,0.19,0.44,0.12,0.05,0.81,0.72,0.68,0.5207692307692307
tour5 | unif2,0.53,0.29,0.81,0.8,0.91,0.17,0.13,0.48,0.12,0.0,0.71,0.76,0.74,0.49615384615384617
tour5 | unif7,0.51,0.25,0.77,0.9,0.98,0.08,0.06,0.37,0.12,0.01,0.71,0.78,0.8,0.4876923076923077
tour5 | up2,0.45,0.26,0.75,0.81,0.94,0.23,0.2,0.43,0.09,0.01,0.75,0.77,0.82,0.5007692307692307
tour5 | up7,0.53,0.24,0.84,0.83,0.98,0.05,0.07,0.43,0.1,0.0,0.58,0.89,0.83,0.48999999999999994
tour5 | ur2,0.44,0.34,0.75,0.83,0.95,0.26,0.18,0.43,0.12,0.02,0.77,0.84,0.67,0.5076923076923077
tour5 | ur7,0.54,0.28,0.9,0.84,0.99,0.07,0.06,0.41,0.05,0.02,0.71,0.8,0.83,0.49999999999999994
tour5 | ut3,0.5,0.26,0.7,0.76,0.92,0.26,0.24,0.58,0.12,0.01,0.73,0.71,0.71,0.5
tour5 | ut7,0.43,0.31,0.88,0.78,0.97,0.23,0.16,0.49,0.14,0.02,0.63,0.74,0.68,0.49692307692307686
tour7 | empty,0.52,0.31,0.68,0.78,0.94,0.29,0.19,0.43,0.14,0.26,0.61,0.69,0.59,0.49461538461538457
tour7 | one,0.54,0.41,0.83,0.9,0.98,0.5,0.23,0.52,0.16,0.36,0.62,0.77,0.84,0.5892307692307692
tour7 | two,0.51,0.48,0.88,0.87,0.99,0.56,0.17,0.48,0.22,0.21,0.76,0.81,0.8,0.5953846153846155
tour7 | unif2,0.5,0.33,0.84,0.81,0.99,0.26,0.21,0.51,0.12,0.01,0.69,0.8,0.86,0.533076923076923
tour7 | unif7,0.57,0.23,0.94,0.95,1.0,0.11,0.05,0.48,0.15,0.0,0.71,0.82,0.89,0.5307692307692308
tour7 | up2,0.64,0.4,0.88,0.93,0.98,0.26,0.14,0.42,0.08,0.01,0.67,0.8,0.8,0.5392307692307692
tour7 | up7,0.57,0.24,0.93,0.86,0.99,0.16,0.07,0.47,0.07,0.02,0.78,0.86,0.86,0.5292307692307693
tour7 | ur2,0.56,0.36,0.89,0.91,1.0,0.2,0.23,0.52,0.13,0.02,0.67,0.79,0.77,0.5423076923076923
tour7 | ur7,0.6,0.31,0.95,0.94,1.0,0.1,0.05,0.43,0.09,0.01,0.72,0.88,0.93,0.5392307692307692
tour7 | ut3,0.59,0.39,0.86,0.94,0.99,0.25,0.17,0.52,0.17,0.12,0.78,0.77,0.75,0.5615384615384614
tour7 | ut7,0.53,0.33,0.8,0.87,0.99,0.24,0.23,0.57,0.14,0.09,0.76,0.82,0.79,0.5507692307692308
