Group,1,2,3,4,5,6,7,8,9,10,11,12,13,X̅
prop | empty,0.04,0.16,0.03,0.03,0.0,0.0,0.14,0.01,0.13,0.04,0.0,0.06,0.01,0.05000000000000001
prop | one,0.09,0.22,0.02,0.02,0.02,0.03,0.42,0.04,0.08,0.07,0.01,0.1,0.14,0.09692307692307695
prop | two,0.17,0.25,0.01,0.04,0.05,0.0,0.37,0.04,0.04,0.01,0.02,0.15,0.14,0.09923076923076923
prop | unif2,0.14,0.24,0.02,0.02,0.0,0.0,0.47,0.02,0.06,0.0,0.03,0.15,0.16,0.10076923076923075
prop | unif7,0.19,0.19,0.01,0.05,0.0,0.0,0.41,0.01,0.07,0.02,0.0,0.2,0.22,0.10538461538461538
prop | up2,0.19,0.22,0.03,0.05,0.02,0.0,0.31,0.01,0.04,0.01,0.01,0.25,0.24,0.10615384615384617
prop | up7,0.17,0.19,0.11,0.08,0.03,0.0,0.37,0.02,0.03,0.01,0.01,0.25,0.29,0.12000000000000001
prop | ur2,0.14,0.28,0.07,0.15,0.03,0.01,0.2,0.19,0.06,0.01,0.06,0.25,0.19,0.12615384615384617
prop | ur7,0.2,0.21,0.19,0.21,0.23,0.02,0.12,0.22,0.04,0.01,0.12,0.31,0.32,0.16923076923076924
prop | ut3,0.07,0.13,0.03,0.01,0.01,0.0,0.36,0.03,0.12,0.0,0.04,0.14,0.09,0.07923076923076923
prop | ut7,0.17,0.16,0.01,0.07,0.01,0.0,0.43,0.04,0.06,0.01,0.0,0.16,0.11,0.09461538461538463
rank | empty,0.09,0.31,0.02,0.09,0.01,0.03,0.06,0.12,0.07,0.11,0.09,0.03,0.03,0.08153846153846155
rank | one,0.17,0.42,0.07,0.19,0.18,0.17,0.1,0.26,0.13,0.05,0.15,0.14,0.15,0.16769230769230767
rank | two,0.14,0.3,0.06,0.14,0.14,0.16,0.1,0.31,0.17,0.02,0.2,0.1,0.21,0.15769230769230771
rank | unif2,0.12,0.3,0.1,0.16,0.17,0.04,0.15,0.16,0.28,0.0,0.14,0.14,0.13,0.1453846153846154
rank | unif7,0.14,0.25,0.06,0.18,0.19,0.02,0.14,0.11,0.27,0.0,0.15,0.16,0.11,0.13692307692307693
rank | up2,0.21,0.38,0.13,0.24,0.36,0.03,0.12,0.17,0.08,0.01,0.22,0.23,0.25,0.18692307692307691
rank | up7,0.35,0.2,0.19,0.22,0.34,0.03,0.06,0.2,0.05,0.0,0.23,0.36,0.33,0.19692307692307692
rank | ur2,0.11,0.36,0.14,0.33,0.38,0.06,0.13,0.26,0.15,0.0,0.35,0.26,0.27,0.21538461538461534
rank | ur7,0.26,0.26,0.24,0.51,0.59,0.05,0.06,0.13,0.21,0.01,0.38,0.39,0.38,0.26692307692307693
rank | ut3,0.12,0.25,0.06,0.09,0.1,0.01,0.08,0.05,0.21,0.02,0.22,0.12,0.16,0.11461538461538462
rank | ut7,0.14,0.23,0.03,0.18,0.1,0.02,0.14,0.18,0.24,0.0,0.18,0.2,0.17,0.1392307692307692
tour3 | empty,0.16,0.42,0.05,0.15,0.21,0.1,0.05,0.18,0.02,0.14,0.22,0.18,0.05,0.14846153846153845
tour3 | one,0.21,0.34,0.37,0.29,0.51,0.48,0.1,0.49,0.06,0.06,0.45,0.33,0.31,0.3076923076923077
tour3 | two,0.18,0.32,0.34,0.32,0.66,0.49,0.07,0.42,0.06,0.03,0.4,0.37,0.41,0.3130769230769231
