Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
prop | empty,0.0,0.0,0.16,0.42,0.33,0.11,0.34,0.14,0.53,0.14,0.26,0.2,0.03,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11600000000000002
prop | one,0.0,0.0,0.26,0.18,0.12,0.04,0.15,0.18,0.14,0.17,0.33,0.21,0.01,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0872
prop | two,0.0,0.0,0.26,0.09,0.13,0.05,0.1,0.19,0.19,0.23,0.29,0.26,0.01,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
prop | unif2,0.0,0.0,0.24,0.16,0.09,0.01,0.2,0.13,0.17,0.25,0.27,0.35,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0824
prop | unif7,0.0,0.0,0.23,0.05,0.02,0.0,0.14,0.14,0.19,0.23,0.35,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07800000000000001
prop | up2,0.0,0.0,0.19,0.24,0.15,0.02,0.02,0.04,0.07,0.19,0.42,0.4,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07919999999999999
prop | up7,0.0,0.0,0.25,0.14,0.14,0.0,0.06,0.04,0.02,0.1,0.39,0.5,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07120000000000001
prop | ur2,0.05,0.03,0.12,0.27,0.24,0.01,0.02,0.0,0.02,0.03,0.34,0.45,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696
prop | ur7,0.6,0.11,0.02,0.1,0.08,0.0,0.03,0.01,0.01,0.03,0.05,0.25,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588
prop | ut3,0.0,0.0,0.27,0.11,0.14,0.04,0.12,0.1,0.11,0.2,0.3,0.34,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0792
prop | ut7,0.0,0.0,0.3,0.04,0.04,0.05,0.14,0.13,0.21,0.25,0.4,0.28,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086
