Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
prop | empty,0.0,0.0,0.19,0.09,0.13,0.18,0.47,0.4,0.46,0.26,0.23,0.19,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10439999999999998
prop | one,0.01,0.0,0.16,0.01,0.02,0.18,0.47,0.47,0.59,0.37,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10880000000000001
prop | two,0.0,0.0,0.26,0.02,0.03,0.17,0.55,0.43,0.51,0.32,0.23,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1092
prop | unif2,0.0,0.0,0.28,0.06,0.07,0.15,0.43,0.42,0.49,0.39,0.17,0.3,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11079999999999998
prop | unif7,0.0,0.0,0.3,0.05,0.06,0.14,0.45,0.47,0.49,0.32,0.31,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10959999999999999
prop | up2,0.0,0.0,0.26,0.03,0.03,0.09,0.47,0.34,0.48,0.3,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968
prop | up7,0.0,0.0,0.27,0.01,0.01,0.12,0.41,0.31,0.34,0.43,0.27,0.24,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984
prop | ur2,0.0,0.0,0.26,0.03,0.03,0.12,0.45,0.25,0.47,0.3,0.29,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008
prop | ur7,0.0,0.0,0.26,0.02,0.01,0.1,0.26,0.21,0.22,0.4,0.41,0.39,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096
prop | ut3,0.0,0.0,0.22,0.02,0.09,0.2,0.53,0.51,0.41,0.28,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088
prop | ut7,0.0,0.0,0.26,0.1,0.04,0.24,0.53,0.4,0.61,0.29,0.26,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11839999999999998
rank | empty,0.0,0.0,0.37,0.1,0.12,0.14,0.42,0.29,0.44,0.4,0.3,0.35,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118
rank | one,0.01,0.0,0.26,0.05,0.08,0.08,0.4,0.2,0.35,0.37,0.35,0.32,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
rank | two,0.0,0.0,0.24,0.03,0.04,0.11,0.39,0.23,0.31,0.38,0.32,0.34,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09759999999999998
rank | unif2,0.02,0.0,0.24,0.02,0.07,0.04,0.3,0.26,0.45,0.31,0.46,0.42,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10439999999999999
rank | unif7,0.01,0.0,0.21,0.02,0.01,0.07,0.32,0.24,0.38,0.36,0.38,0.41,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09880000000000001
rank | up2,0.01,0.0,0.19,0.02,0.04,0.05,0.35,0.22,0.36,0.38,0.37,0.39,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09799999999999999
rank | up7,0.0,0.0,0.21,0.0,0.02,0.03,0.23,0.3,0.3,0.43,0.37,0.38,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094
rank | ur2,0.03,0.01,0.21,0.02,0.04,0.05,0.26,0.11,0.14,0.4,0.37,0.38,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08800000000000001
rank | ur7,0.01,0.0,0.19,0.02,0.04,0.01,0.1,0.14,0.1,0.32,0.38,0.29,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0736
