Function,Dimensions,Selection,Crossover,Mutation,Range_Left,Range_Right
F1,1,proportional,one_point,weak,1.0,15.0
F1,1,proportional,one_point,average,1.0,15.0
F1,1,proportional,one_point,strong,1.0,15.0
F1,1,proportional,two_point,weak,1.0,15.0
F1,1,proportional,two_point,average,1.0,15.0
F1,1,proportional,two_point,strong,1.0,15.0
F1,1,proportional,uniform_2,weak,1.0,15.0
F1,1,proportional,uniform_2,average,1.0,15.0
F1,1,proportional,uniform_2,strong,1.0,15.0
F1,1,rank,one_point,weak,1.0,15.0
F1,1,rank,one_point,average,1.0,15.0
F1,1,rank,one_point,strong,1.0,15.0
F1,1,rank,two_point,weak,1.0,15.0
F1,1,rank,two_point,average,1.0,15.0
F1,1,rank,two_point,strong,1.0,15.0
F1,1,rank,uniform_2,weak,1.0,15.0
F1,1,rank,uniform_2,average,1.0,15.0
F1,1,rank,uniform_2,strong,1.0,15.0
F1,1,tournament_3,one_point,weak,1.0,15.0
F1,1,tournament_3,one_point,average,1.0,15.0
F1,1,tournament_3,one_point,strong,1.0,15.0
F1,1,tournament_3,two_point,weak,1.0,15.0
F1,1,tournament_3,two_point,average,1.0,15.0
F1,1,tournament_3,two_point,strong,1.0,15.0
F1,1,tournament_3,uniform_2,weak,1.0,15.0
F1,1,tournament_3,uniform_2,average,1.0,15.0
F1,1,tournament_3,uniform_2,strong,1.0,15.0
F2,1,proportional,one_point,weak,1.0,20.0
F2,1,proportional,one_point,average,1.0,22.0
F2,1,proportional,one_point,strong,1.0,22.0
F2,1,proportional,two_point,weak,1.0,21.0
F2,1,proportional,two_point,average,1.0,22.0
F2,1,proportional,two_point,strong,1.0,22.0
F2,1,proportional,uniform_2,weak,1.0,22.0
F2,1,proportional,uniform_2,average,1.0,21.0
F2,1,proportional,uniform_2,strong,1.0,22.0
F2,1,rank,one_point,weak,1.0,22.0
F2,1,rank,one_point,average,1.0,22.0
F2,1,rank,one_point,strong,1.0,22.0
F2,1,rank,two_point,weak,1.0,22.0
F2,1,rank,two_point,average,1.0,22.0
F2,1,rank,two_point,strong,1.0,22.0
F2,1,rank,uniform_2,weak,1.0,22.0
F2,1,rank,uniform_2,average,1.0,19.0
F2,1,rank,uniform_2,strong,1.0,22.0
F2,1,tournament_3,one_point,weak,1.0,22.0
F2,1,tournament_3,one_point,average,1.0,21.0
F2,1,tournament_3,one_point,strong,1.0,22.0
F2,1,tournament_3,two_point,weak,1.0,22.0
F2,1,tournament_3,two_point,average,1.0,21.0
F2,1,tournament_3,two_point,strong,1.0,22.0
F2,1,tournament_3,uniform_2,weak,1.0,22.0
F2,1,tournament_3,uniform_2,average,1.0,18.0
F2,1,tournament_3,uniform_2,strong,1.0,22.0
F3,2,proportional,one_point,weak,9.0,25.0
F3,2,proportional,one_point,average,6.0,18.0
F3,2,proportional,one_point,strong,10.0,21.0
F3,2,proportional,two_point,weak,7.0,24.0
F3,2,proportional,two_point,average,16.0,22.0
F3,2,proportional,two_point,strong,11.0,22.0
F3,2,proportional,uniform_2,weak,6.0,25.0
F3,2,proportional,uniform_2,average,8.0,21.0
F3,2,proportional,uniform_2,strong,,
F3,2,rank,one_point,weak,11.0,25.0
F3,2,rank,one_point,average,7.0,25.0
F3,2,rank,one_point,strong,,
F3,2,rank,two_point,weak,5.0,25.0
F3,2,rank,two_point,average,6.0,25.0
F3,2,rank,two_point,strong,13.0,25.0
F3,2,rank,uniform_2,weak,12.0,25.0
F3,2,rank,uniform_2,average,4.0,24.0
F3,2,rank,uniform_2,strong,3.0,7.0
F3,2,tournament_3,one_point,weak,5.0,25.0
F3,2,tournament_3,one_point,average,5.0,25.0
F3,2,tournament_3,one_point,strong,8.0,24.0
F3,2,tournament_3,two_point,weak,5.0,25.0
F3,2,tournament_3,two_point,average,5.0,25.0
F3,2,tournament_3,two_point,strong,5.0,24.0
F3,2,tournament_3,uniform_2,weak,5.0,25.0
F3,2,tournament_3,uniform_2,average,7.0,25.0
F3,2,tournament_3,uniform_2,strong,8.0,17.0
F4,2,proportional,one_point,weak,6.0,20.0
F4,2,proportional,one_point,average,4.0,20.0
F4,2,proportional,one_point,strong,1.0,14.0
F4,2,proportional,two_point,weak,2.0,20.0
F4,2,proportional,two_point,average,3.0,19.0
F4,2,proportional,two_point,strong,2.0,16.0
F4,2,proportional,uniform_2,weak,5.0,20.0
F4,2,proportional,uniform_2,average,3.0,20.0
F4,2,proportional,uniform_2,strong,15.0,15.0
F4,2,rank,one_point,weak,4.0,20.0
F4,2,rank,one_point,average,5.0,20.0
F4,2,rank,one_point,strong,5.0,18.0
F4,2,rank,two_point,weak,4.0,20.0
F4,2,rank,two_point,average,6.0,20.0
F4,2,rank,two_point,strong,6.0,20.0
F4,2,rank,uniform_2,weak,3.0,20.0
F4,2,rank,uniform_2,average,7.0,20.0
F4,2,rank,uniform_2,strong,2.0,16.0
F4,2,tournament_3,one_point,weak,3.0,20.0
F4,2,tournament_3,one_point,average,4.0,20.0
F4,2,tournament_3,one_point,strong,2.0,20.0
F4,2,tournament_3,two_point,weak,2.0,20.0
F4,2,tournament_3,two_point,average,4.0,20.0
F4,2,tournament_3,two_point,strong,1.0,20.0
F4,2,tournament_3,uniform_2,weak,3.0,20.0
F4,2,tournament_3,uniform_2,average,5.0,20.0
F4,2,tournament_3,uniform_2,strong,10.0,20.0
F5,2,proportional,one_point,weak,12.0,20.0
F5,2,proportional,one_point,average,27.0,30.0
F5,2,proportional,one_point,strong,,
F5,2,proportional,two_point,weak,16.0,24.0
F5,2,proportional,two_point,average,12.0,12.0
F5,2,proportional,two_point,strong,,
F5,2,proportional,uniform_2,weak,13.0,29.0
F5,2,proportional,uniform_2,average,20.0,22.0
F5,2,proportional,uniform_2,strong,4.0,4.0
F5,2,rank,one_point,weak,4.0,30.0
F5,2,rank,one_point,average,14.0,29.0
F5,2,rank,one_point,strong,,
F5,2,rank,two_point,weak,6.0,30.0
F5,2,rank,two_point,average,11.0,30.0
F5,2,rank,two_point,strong,9.0,9.0
F5,2,rank,uniform_2,weak,13.0,30.0
F5,2,rank,uniform_2,average,17.0,28.0
F5,2,rank,uniform_2,strong,19.0,19.0
F5,2,tournament_3,one_point,weak,7.0,30.0
F5,2,tournament_3,one_point,average,9.0,30.0
F5,2,tournament_3,one_point,strong,14.0,23.0
F5,2,tournament_3,two_point,weak,7.0,30.0
F5,2,tournament_3,two_point,average,10.0,30.0
F5,2,tournament_3,two_point,strong,14.0,23.0
F5,2,tournament_3,uniform_2,weak,10.0,30.0
F5,2,tournament_3,uniform_2,average,7.0,30.0
F5,2,tournament_3,uniform_2,strong,4.0,17.0
F6,2,proportional,one_point,weak,8.0,67.0
F6,2,proportional,one_point,average,,
F6,2,proportional,one_point,strong,,
F6,2,proportional,two_point,weak,4.0,62.0
F6,2,proportional,two_point,average,11.0,11.0
F6,2,proportional,two_point,strong,50.0,50.0
F6,2,proportional,uniform_2,weak,60.0,66.0
F6,2,proportional,uniform_2,average,69.0,70.0
F6,2,proportional,uniform_2,strong,,
F6,2,rank,one_point,weak,11.0,62.0
F6,2,rank,one_point,average,16.0,68.0
F6,2,rank,one_point,strong,,
F6,2,rank,two_point,weak,12.0,62.0
F6,2,rank,two_point,average,8.0,70.0
F6,2,rank,two_point,strong,15.0,15.0
F6,2,rank,uniform_2,weak,22.0,58.0
F6,2,rank,uniform_2,average,51.0,60.0
F6,2,rank,uniform_2,strong,,
F6,2,tournament_3,one_point,weak,7.0,42.0
F6,2,tournament_3,one_point,average,7.0,66.0
F6,2,tournament_3,one_point,strong,33.0,33.0
F6,2,tournament_3,two_point,weak,6.0,45.0
F6,2,tournament_3,two_point,average,9.0,67.0
F6,2,tournament_3,two_point,strong,24.0,44.0
F6,2,tournament_3,uniform_2,weak,12.0,30.0
F6,2,tournament_3,uniform_2,average,14.0,43.0
F6,2,tournament_3,uniform_2,strong,,
F7,2,proportional,one_point,weak,3.0,78.0
F7,2,proportional,one_point,average,1.0,80.0
F7,2,proportional,one_point,strong,1.0,80.0
F7,2,proportional,two_point,weak,1.0,79.0
F7,2,proportional,two_point,average,1.0,80.0
F7,2,proportional,two_point,strong,1.0,77.0
F7,2,proportional,uniform_2,weak,1.0,80.0
F7,2,proportional,uniform_2,average,2.0,79.0
F7,2,proportional,uniform_2,strong,1.0,78.0
F7,2,rank,one_point,weak,1.0,78.0
F7,2,rank,one_point,average,1.0,80.0
F7,2,rank,one_point,strong,1.0,80.0
F7,2,rank,two_point,weak,3.0,26.0
F7,2,rank,two_point,average,2.0,74.0
F7,2,rank,two_point,strong,2.0,79.0
F7,2,rank,uniform_2,weak,1.0,19.0
F7,2,rank,uniform_2,average,1.0,79.0
F7,2,rank,uniform_2,strong,1.0,79.0
F7,2,tournament_3,one_point,weak,2.0,34.0
F7,2,tournament_3,one_point,average,1.0,77.0
F7,2,tournament_3,one_point,strong,1.0,78.0
F7,2,tournament_3,two_point,weak,3.0,16.0
F7,2,tournament_3,two_point,average,1.0,79.0
F7,2,tournament_3,two_point,strong,2.0,80.0
F7,2,tournament_3,uniform_2,weak,1.0,17.0
F7,2,tournament_3,uniform_2,average,1.0,61.0
F7,2,tournament_3,uniform_2,strong,4.0,80.0
F8,2,proportional,one_point,weak,9.0,118.0
F8,2,proportional,one_point,average,9.0,119.0
F8,2,proportional,one_point,strong,36.0,120.0
F8,2,proportional,two_point,weak,7.0,117.0
F8,2,proportional,two_point,average,3.0,120.0
F8,2,proportional,two_point,strong,20.0,38.0
F8,2,proportional,uniform_2,weak,4.0,120.0
F8,2,proportional,uniform_2,average,10.0,120.0
F8,2,proportional,uniform_2,strong,7.0,113.0
F8,2,rank,one_point,weak,13.0,105.0
F8,2,rank,one_point,average,15.0,117.0
F8,2,rank,one_point,strong,10.0,95.0
F8,2,rank,two_point,weak,14.0,118.0
F8,2,rank,two_point,average,18.0,119.0
F8,2,rank,two_point,strong,55.0,80.0
F8,2,rank,uniform_2,weak,13.0,109.0
F8,2,rank,uniform_2,average,25.0,110.0
F8,2,rank,uniform_2,strong,69.0,95.0
F8,2,tournament_3,one_point,weak,6.0,42.0
F8,2,tournament_3,one_point,average,10.0,95.0
F8,2,tournament_3,one_point,strong,15.0,15.0
F8,2,tournament_3,two_point,weak,10.0,41.0
F8,2,tournament_3,two_point,average,9.0,42.0
F8,2,tournament_3,two_point,strong,25.0,25.0
F8,2,tournament_3,uniform_2,weak,6.0,85.0
F8,2,tournament_3,uniform_2,average,2.0,93.0
F8,2,tournament_3,uniform_2,strong,33.0,68.0
F9,2,proportional,one_point,weak,3.0,61.0
F9,2,proportional,one_point,average,2.0,63.0
F9,2,proportional,one_point,strong,3.0,68.0
F9,2,proportional,two_point,weak,3.0,48.0
F9,2,proportional,two_point,average,3.0,70.0
F9,2,proportional,two_point,strong,2.0,70.0
F9,2,proportional,uniform_2,weak,3.0,43.0
F9,2,proportional,uniform_2,average,4.0,65.0
F9,2,proportional,uniform_2,strong,5.0,69.0
F9,2,rank,one_point,weak,5.0,38.0
F9,2,rank,one_point,average,9.0,69.0
F9,2,rank,one_point,strong,6.0,70.0
F9,2,rank,two_point,weak,3.0,61.0
F9,2,rank,two_point,average,10.0,68.0
F9,2,rank,two_point,strong,9.0,67.0
F9,2,rank,uniform_2,weak,4.0,39.0
F9,2,rank,uniform_2,average,8.0,69.0
F9,2,rank,uniform_2,strong,5.0,69.0
F9,2,tournament_3,one_point,weak,4.0,26.0
F9,2,tournament_3,one_point,average,4.0,63.0
F9,2,tournament_3,one_point,strong,3.0,68.0
F9,2,tournament_3,two_point,weak,5.0,15.0
F9,2,tournament_3,two_point,average,6.0,67.0
F9,2,tournament_3,two_point,strong,7.0,70.0
F9,2,tournament_3,uniform_2,weak,1.0,25.0
F9,2,tournament_3,uniform_2,average,5.0,63.0
F9,2,tournament_3,uniform_2,strong,6.0,70.0
F10,2,proportional,one_point,weak,10.0,18.0
F10,2,proportional,one_point,average,13.0,384.0
F10,2,proportional,one_point,strong,6.0,388.0
F10,2,proportional,two_point,weak,16.0,381.0
F10,2,proportional,two_point,average,6.0,377.0
F10,2,proportional,two_point,strong,3.0,369.0
F10,2,proportional,uniform_2,weak,,
F10,2,proportional,uniform_2,average,49.0,340.0
F10,2,proportional,uniform_2,strong,19.0,390.0
F10,2,rank,one_point,weak,1.0,26.0
F10,2,rank,one_point,average,155.0,343.0
F10,2,rank,one_point,strong,6.0,400.0
F10,2,rank,two_point,weak,2.0,14.0
F10,2,rank,two_point,average,11.0,397.0
F10,2,rank,two_point,strong,13.0,397.0
F10,2,rank,uniform_2,weak,,
F10,2,rank,uniform_2,average,2.0,6.0
F10,2,rank,uniform_2,strong,2.0,400.0
F10,2,tournament_3,one_point,weak,6.0,35.0
F10,2,tournament_3,one_point,average,1.0,332.0
F10,2,tournament_3,one_point,strong,6.0,397.0
F10,2,tournament_3,two_point,weak,5.0,20.0
F10,2,tournament_3,two_point,average,7.0,269.0
F10,2,tournament_3,two_point,strong,20.0,396.0
F10,2,tournament_3,uniform_2,weak,3.0,3.0
F10,2,tournament_3,uniform_2,average,8.0,16.0
F10,2,tournament_3,uniform_2,strong,7.0,351.0
F11,2,proportional,one_point,weak,10.0,41.0
F11,2,proportional,one_point,average,20.0,35.0
F11,2,proportional,one_point,strong,7.0,7.0
F11,2,proportional,two_point,weak,13.0,43.0
F11,2,proportional,two_point,average,29.0,29.0
F11,2,proportional,two_point,strong,35.0,38.0
F11,2,proportional,uniform_2,weak,12.0,31.0
F11,2,proportional,uniform_2,average,11.0,25.0
F11,2,proportional,uniform_2,strong,10.0,10.0
F11,2,rank,one_point,weak,9.0,45.0
F11,2,rank,one_point,average,7.0,45.0
F11,2,rank,one_point,strong,17.0,42.0
F11,2,rank,two_point,weak,10.0,45.0
F11,2,rank,two_point,average,12.0,45.0
F11,2,rank,two_point,strong,18.0,29.0
F11,2,rank,uniform_2,weak,10.0,45.0
F11,2,rank,uniform_2,average,13.0,45.0
F11,2,rank,uniform_2,strong,6.0,38.0
F11,2,tournament_3,one_point,weak,8.0,45.0
F11,2,tournament_3,one_point,average,6.0,45.0
F11,2,tournament_3,one_point,strong,3.0,45.0
F11,2,tournament_3,two_point,weak,6.0,41.0
F11,2,tournament_3,two_point,average,5.0,45.0
F11,2,tournament_3,two_point,strong,11.0,39.0
F11,2,tournament_3,uniform_2,weak,4.0,45.0
F11,2,tournament_3,uniform_2,average,7.0,45.0
F11,2,tournament_3,uniform_2,strong,11.0,45.0
F12,2,proportional,one_point,weak,2.0,15.0
F12,2,proportional,one_point,average,2.0,16.0
F12,2,proportional,one_point,strong,3.0,15.0
F12,2,proportional,two_point,weak,2.0,16.0
F12,2,proportional,two_point,average,2.0,16.0
F12,2,proportional,two_point,strong,3.0,16.0
F12,2,proportional,uniform_2,weak,1.0,16.0
F12,2,proportional,uniform_2,average,2.0,16.0
F12,2,proportional,uniform_2,strong,5.0,14.0
F12,2,rank,one_point,weak,6.0,16.0
F12,2,rank,one_point,average,5.0,15.0
F12,2,rank,one_point,strong,1.0,16.0
F12,2,rank,two_point,weak,3.0,16.0
F12,2,rank,two_point,average,5.0,16.0
F12,2,rank,two_point,strong,2.0,16.0
F12,2,rank,uniform_2,weak,1.0,16.0
F12,2,rank,uniform_2,average,1.0,16.0
F12,2,rank,uniform_2,strong,7.0,16.0
F12,2,tournament_3,one_point,weak,2.0,16.0
F12,2,tournament_3,one_point,average,2.0,16.0
F12,2,tournament_3,one_point,strong,5.0,16.0
F12,2,tournament_3,two_point,weak,2.0,16.0
F12,2,tournament_3,two_point,average,2.0,16.0
F12,2,tournament_3,two_point,strong,3.0,16.0
F12,2,tournament_3,uniform_2,weak,1.0,16.0
F12,2,tournament_3,uniform_2,average,2.0,16.0
F12,2,tournament_3,uniform_2,strong,4.0,16.0
F13,2,proportional,one_point,weak,4.0,18.0
F13,2,proportional,one_point,average,2.0,18.0
F13,2,proportional,one_point,strong,2.0,18.0
F13,2,proportional,two_point,weak,1.0,18.0
F13,2,proportional,two_point,average,1.0,18.0
F13,2,proportional,two_point,strong,7.0,17.0
F13,2,proportional,uniform_2,weak,2.0,18.0
F13,2,proportional,uniform_2,average,2.0,18.0
F13,2,proportional,uniform_2,strong,1.0,17.0
F13,2,rank,one_point,weak,1.0,18.0
F13,2,rank,one_point,average,5.0,18.0
F13,2,rank,one_point,strong,7.0,15.0
F13,2,rank,two_point,weak,3.0,18.0
F13,2,rank,two_point,average,6.0,18.0
F13,2,rank,two_point,strong,7.0,16.0
F13,2,rank,uniform_2,weak,6.0,18.0
F13,2,rank,uniform_2,average,4.0,18.0
F13,2,rank,uniform_2,strong,2.0,18.0
F13,2,tournament_3,one_point,weak,3.0,18.0
F13,2,tournament_3,one_point,average,2.0,18.0
F13,2,tournament_3,one_point,strong,5.0,18.0
F13,2,tournament_3,two_point,weak,3.0,18.0
F13,2,tournament_3,two_point,average,1.0,18.0
F13,2,tournament_3,two_point,strong,3.0,18.0
F13,2,tournament_3,uniform_2,weak,1.0,18.0
F13,2,tournament_3,uniform_2,average,2.0,18.0
F13,2,tournament_3,uniform_2,strong,2.0,18.0
