Function,Dimensions,Selection,Crossover,Mutation,Reliability
F1,1,proportional,one_point,weak,0.32
F1,1,proportional,one_point,average,0.32
F1,1,proportional,one_point,strong,0.28
F1,1,proportional,two_point,weak,0.32
F1,1,proportional,two_point,average,0.34
F1,1,proportional,two_point,strong,0.29
F1,1,proportional,uniform_2,weak,0.34
F1,1,proportional,uniform_2,average,0.4
F1,1,proportional,uniform_2,strong,0.26
F1,1,rank,one_point,weak,0.37
F1,1,rank,one_point,average,0.46
F1,1,rank,one_point,strong,0.29
F1,1,rank,two_point,weak,0.4
F1,1,rank,two_point,average,0.45
F1,1,rank,two_point,strong,0.3
F1,1,rank,uniform_2,weak,0.4
F1,1,rank,uniform_2,average,0.44
F1,1,rank,uniform_2,strong,0.28
F1,1,tournament_3,one_point,weak,0.53
F1,1,tournament_3,one_point,average,0.76
F1,1,tournament_3,one_point,strong,0.36
F1,1,tournament_3,two_point,weak,0.56
F1,1,tournament_3,two_point,average,0.77
F1,1,tournament_3,two_point,strong,0.42
F1,1,tournament_3,uniform_2,weak,0.65
F1,1,tournament_3,uniform_2,average,0.82
F1,1,tournament_3,uniform_2,strong,0.31
F2,1,proportional,one_point,weak,0.27
F2,1,proportional,one_point,average,0.27
F2,1,proportional,one_point,strong,0.39
F2,1,proportional,two_point,weak,0.27
F2,1,proportional,two_point,average,0.28
F2,1,proportional,two_point,strong,0.37
F2,1,proportional,uniform_2,weak,0.19
F2,1,proportional,uniform_2,average,0.25
F2,1,proportional,uniform_2,strong,0.31
F2,1,rank,one_point,weak,0.35
F2,1,rank,one_point,average,0.32
F2,1,rank,one_point,strong,0.39
F2,1,rank,two_point,weak,0.33
F2,1,rank,two_point,average,0.27
F2,1,rank,two_point,strong,0.35
F2,1,rank,uniform_2,weak,0.23
F2,1,rank,uniform_2,average,0.21
F2,1,rank,uniform_2,strong,0.34
F2,1,tournament_3,one_point,weak,0.46
F2,1,tournament_3,one_point,average,0.36
F2,1,tournament_3,one_point,strong,0.33
F2,1,tournament_3,two_point,weak,0.38
F2,1,tournament_3,two_point,average,0.33
F2,1,tournament_3,two_point,strong,0.39
F2,1,tournament_3,uniform_2,weak,0.32
F2,1,tournament_3,uniform_2,average,0.26
F2,1,tournament_3,uniform_2,strong,0.31
F3,2,proportional,one_point,weak,0.05
F3,2,proportional,one_point,average,0.02
F3,2,proportional,one_point,strong,0.01
F3,2,proportional,two_point,weak,0.05
F3,2,proportional,two_point,average,0.01
F3,2,proportional,two_point,strong,0.01
F3,2,proportional,uniform_2,weak,0.04
F3,2,proportional,uniform_2,average,0.01
F3,2,proportional,uniform_2,strong,0.0
F3,2,rank,one_point,weak,0.17
F3,2,rank,one_point,average,0.07
F3,2,rank,one_point,strong,0.0
F3,2,rank,two_point,weak,0.19
F3,2,rank,two_point,average,0.09
F3,2,rank,two_point,strong,0.01
F3,2,rank,uniform_2,weak,0.16
F3,2,rank,uniform_2,average,0.06
