Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
prop | empty,0.0,0.0,0.08,0.34,0.31,0.33,0.08,0.05,0.09,0.01,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06080000000000001
prop | one,0.01,0.0,0.19,0.25,0.13,0.01,0.01,0.0,0.01,0.0,0.46,0.3,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05600000000000001
prop | two,0.0,0.0,0.26,0.17,0.12,0.01,0.01,0.02,0.02,0.0,0.47,0.41,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061200000000000004
prop | unif2,0.0,0.0,0.21,0.1,0.14,0.0,0.03,0.0,0.05,0.04,0.4,0.49,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608
prop | unif7,0.0,0.0,0.12,0.05,0.09,0.0,0.02,0.0,0.0,0.01,0.31,0.49,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045200000000000004
prop | up2,0.01,0.0,0.17,0.17,0.2,0.01,0.01,0.02,0.04,0.01,0.46,0.4,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06280000000000001
prop | up7,0.0,0.0,0.05,0.04,0.06,0.0,0.02,0.0,0.01,0.0,0.45,0.39,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0456
prop | ur2,0.13,0.07,0.08,0.12,0.11,0.01,0.02,0.01,0.02,0.02,0.0,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04160000000000001
prop | ur7,0.07,0.01,0.03,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.17,0.0,0.0,0.0252
prop | ut3,0.01,0.0,0.14,0.12,0.18,0.0,0.02,0.01,0.01,0.01,0.48,0.45,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596
prop | ut7,0.0,0.01,0.18,0.12,0.12,0.01,0.01,0.0,0.04,0.01,0.4,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057999999999999996
rank | empty,0.01,0.09,0.3,0.38,0.37,0.17,0.15,0.02,0.15,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.07079999999999999
rank | one,0.01,0.21,0.09,0.16,0.16,0.0,0.01,0.01,0.0,0.0,0.0,0.11,0.13,0.0,0.0,0.02,0.0,0.45,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.0632
rank | two,0.04,0.33,0.05,0.09,0.06,0.0,0.03,0.0,0.01,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.5,0.02,0.24,0.0,0.0,0.24,0.0,0.01,0.0704
rank | unif2,0.07,0.12,0.03,0.05,0.04,0.0,0.02,0.0,0.01,0.0,0.0,0.1,0.06,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.43,0.0,0.0,0.0424
rank | unif7,0.03,0.06,0.01,0.01,0.03,0.0,0.01,0.0,0.02,0.01,0.0,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.64,0.0,0.0,0.044000000000000004
rank | up2,0.06,0.07,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.01,0.01,0.06,0.08,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.0,0.0,0.52,0.0,0.0,0.0444
rank | up7,0.01,0.04,0.01,0.0,0.03,0.0,0.0,0.01,0.01,0.0,0.01,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.59,0.0,0.0,0.0384
rank | ur2,0.06,0.09,0.05,0.14,0.15,0.01,0.01,0.0,0.03,0.0,0.0,0.1,0.16,0.0,0.06,0.0,0.0,0.08,0.04,0.0,0.01,0.01,0.5,0.0,0.0,0.06
rank | ur7,0.03,0.04,0.01,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.84,0.0,0.0,0.0,0.16,0.0,0.95,0.93,0.65,0.98,0.0,0.19240000000000002
rank | ut3,0.03,0.08,0.04,0.03,0.05,0.0,0.02,0.0,0.01,0.0,0.0,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.51,0.0,0.0,0.0416
rank | ut7,0.04,0.02,0.02,0.02,0.04,0.0,0.0,0.02,0.01,0.0,0.0,0.14,0.09,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.61,0.0,0.0,0.042800000000000005
tour3 | empty,0.01,0.07,0.21,0.42,0.36,0.19,0.13,0.07,0.07,0.01,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0664
tour3 | one,0.01,0.23,0.16,0.29,0.33,0.06,0.01,0.0,0.01,0.0,0.0,0.08,0.1,0.0,0.01,0.09,0.01,0.32,0.0,0.16,0.0,0.0,0.28,0.0,0.0,0.08600000000000002
tour3 | two,0.03,0.25,0.06,0.24,0.18,0.01,0.0,0.01,0.01,0.01,0.0,0.12,0.17,0.0,0.06,0.1,0.02,0.7,0.01,0.37,0.0,0.0,0.3,0.0,0.0,0.106
tour3 | unif2,0.06,0.09,0.04,0.09,0.13,0.01,0.0,0.01,0.01,0.0,0.0,0.13,0.16,0.0,0.43,0.0,0.0,0.04,0.06,0.0,0.67,0.68,0.53,0.66,0.0,0.15200000000000002
