,I.10.7,I.11.19,I.12.1,I.12.11,I.12.2,I.12.4,I.12.5,I.13.12,I.13.4,I.14.3,I.14.4,I.15.10,I.15.3t,I.15.3x,I.16.6,I.18.12,I.18.14,I.18.4,I.24.6,I.25.13,I.26.2,I.27.6,I.29.16,I.29.4,I.30.3,I.30.5,I.32.17,I.32.5,I.34.1,I.34.14,I.34.27,I.34.8,I.37.4,I.38.12,I.39.1,I.39.11,I.39.22,I.40.1,I.41.16,I.43.16,I.43.31,I.43.43,I.44.4,I.47.23,I.48.20,I.50.26,I.6.2,I.6.2a,I.6.2b,I.8.14,I.9.18,II.10.9,II.11.20,II.11.27,II.11.28,II.11.3,II.11.7,II.13.17,II.13.23,II.13.34,II.15.4,II.15.5,II.2.42,II.21.32,II.24.17,II.27.16,II.27.18,II.3.24,II.34.11,II.34.2,II.34.29a,II.34.29b,II.34.2a,II.35.18,II.35.21,II.36.38,II.37.1,II.38.14,II.38.3,II.4.23,II.6.11,II.6.15a,II.6.15b,II.8.31,II.8.7,III.10.19,III.12.43,III.13.18,III.14.14,III.15.12,III.15.14,III.15.27,III.17.37,III.19.51,III.21.20,III.4.32,III.4.33,III.7.38,III.8.54,III.9.52,test_1,test_10,test_11,test_12,test_13,test_14,test_15,test_16,test_17,test_18,test_19,test_2,test_20,test_3,test_4,test_5,test_6,test_7,test_8,test_9
I.10.7,1.0,3.020467687319343e-06,5.5736357462480226e-05,4.007794289242986e-07,7.645253537511021e-14,3.2462600524036336e-14,2.6723846682956745e-06,0.41368807071899505,0.00105602187304292,0.6408216088938196,1.7880791341699297e-08,0.0012353722773281149,3.056382049392285e-07,0.2772234976642628,0.7202913835929678,1.9757567772167643e-07,0.00024044829451212043,0.2897373531463097,0.08410306184938733,1.0541094386926298e-14,0.0007234726872872257,2.866252474640651e-08,1.8738857231218315e-06,1.6196610244685076e-11,0.001038546716742462,3.6678793901215017e-14,0.054589454646940073,0.5942055922120534,0.09462472417494777,0.3535741151504145,0.006087531415078756,0.0013305225053939981,1.0019047300384397e-06,0.05608721747165821,0.18581092376098368,0.49576966485960094,9.946063616940723e-08,0.3463739916230243,0.10771214997641979,5.333512902288668e-06,0.5512281438587134,0.4600203244273877,6.911090616286133e-06,0.7778784333406117,0.03679992550366493,0.0012091435545508,7.936982410478175e-15,2.495382086845141e-14,4.660100496092695e-14,0.023507866411652718,8.130591536604048e-11,6.619249110299908e-10,3.1524632894881554e-05,0.0037627686116786813,1.0045750532631157e-05,3.0285142969223473e-12,0.6496588108755479,3.4536763335632427e-14,0.9467359999879666,0.0011692136092803019,9.62253984121963e-06,5.9519493869608604e-05,7.972391484097503e-11,1.697646859684564e-13,0.00020761800479028792,0.002354520640425067,0.6101192417792198,4.917731402213945e-14,0.0029121231865776344,1.7804198569292028e-09,1.923099236413998e-09,7.995558598259688e-11,1.841308619538993e-06,2.5045861461029098e-08,0.004065191013179673,0.2473066604924859,0.010275054231223175,8.992147258860543e-10,1.0741013871233873e-05,3.674616019620849e-14,3.422785926321659e-14,0.000301012759011877,4.156284383800111e-14,0.00041781830306649657,1.4848364469912482e-12,0.006563131820676397,0.02237149924558234,1.5123604319394197e-07,0.0005693685084341749,0.0005133400258319635,1.2097268017841823e-14,4.3485381642577644e-07,4.466485605926801e-05,0.048573632125438,6.434254657719022e-10,0.0008709883334475976,0.017105393661549367,0.005763635658307494,0.3197482076184437,3.3503307399970995e-10,0.016315473536263624,0.8239737979402534,0.09104106220979236,0.008716619900878167,7.654999010536023e-15,0.09698138214866207,0.19505630150874717,,1.2327427784676816e-11,0.1382656935085428,0.0021524280225841777,0.001581774355905811,0.19030741228538076,0.2448611077043735,0.030587299198413066,0.021857392716594714,2.380589822829725e-07,0.5185746449988871,0.26777540212974515,0.003407060375406498
I.11.19,3.020467687319343e-06,1.0,1.0729637128658646e-06,0.004926403447841358,8.71969317668326e-07,8.676849079531551e-07,1.0370974006036277e-06,0.3095231506388325,0.9124929914552198,2.6138751468474838e-05,0.04900493963046998,1.235827969737737e-06,8.287785461745418e-07,5.288552119047896e-06,2.8045448606359067e-06,0.5034068606716287,0.08314590962862697,4.783591475021367e-06,0.008886920299062533,8.353012798427894e-07,1.5443615950573322e-06,9.400651831001007e-07,0.0008093948261418674,9.17224588959344e-07,5.832779318184738e-05,8.584804415251644e-07,0.9607557223694702,3.722962036352177e-06,9.266610832696592e-06,4.865219228572367e-06,1.4017644758420012e-06,0.06309584601517136,0.0012863190165789873,1.2659215279538782e-06,8.731347050423676e-06,7.827029390685538e-06,0.44082844002459187,2.405761723466553e-06,2.6622220972969893e-05,0.25469421033799994,2.8081916797142826e-06,2.223111866900705e-06,0.1835424333346597,3.5786070774540436e-06,0.34946039204040524,5.897890867361406e-05,8.354535336719902e-07,8.623268460832508e-07,8.767824902727582e-07,1.1766207870850543e-05,7.948086699426363e-07,9.776363281507903e-07,0.08343129939936908,1.6775047661436953e-06,1.3889633873301108e-06,9.437636784294451e-07,2.651518301177085e-06,8.67749319064345e-07,2.9761685160331644e-06,1.240945619998535e-06,0.023963815468119237,0.010095979078802686,0.8990988776886331,9.062173891255716e-07,1.197748333080696e-06,0.02064557978803512,1.3808415491635467e-05,8.746498576696758e-07,0.0012630209396054407,0.21905312939884275,9.600719780757613e-07,2.129162964548413e-10,9.671352528928324e-07,1.022709976464411e-06,5.065401724690197e-05,5.403183089658851e-06,0.21818530670984004,1.0563946460565935e-06,0.5744935827491406,8.700729111614301e-07,8.711726066358243e-07,1.491888024412542e-06,8.688130458585542e-07,0.008682876585595908,9.489297973638942e-07,0.0006828241569020429,1.5534026016813195e-06,2.164376390003849e-07,0.01899459283921144,0.020560223825376193,8.465406121045609e-07,0.002109480078470373,0.00996030091668426,1.0792128772009541e-05,0.9085986061341804,0.26133186063985614,9.140985507520805e-06,0.19590436873619815,0.31974352078998647,0.0475215951570886,0.14366121843679835,3.225136400823713e-06,5.972594475091633e-06,0.09479309479063525,8.359723625664464e-07,0.030538549014485973,2.131787298009582e-06,,1.3923689936525266e-11,1.8674231209340183e-06,0.051545629676560435,5.2895098281000635e-05,0.00980297345246397,2.2025007747208464e-06,1.7469914858341728e-06,1.5129394070976765e-05,9.491938311865578e-07,2.51083398804285e-06,2.393495172466246e-06,0.0034516476928682055
I.12.1,5.5736357462480226e-05,1.0729637128658646e-06,1.0,2.4322904772469055e-07,0.39456746764424355,0.3768678684432969,0.9223353353347972,0.4194977966875849,0.0006152530241142073,0.3016158091440902,1.4597354218430776e-09,0.676305772831554,0.38825770838810425,0.0016883576252404169,0.0005527887872982982,4.463071281621393e-08,0.0001699026663032094,0.0007053639300178784,0.044224716150490555,0.29242018633648476,0.1423126902878242,0.642713239163089,4.1020568478443445e-08,0.5490736050732915,1.4779161958299279e-05,0.35536243036912685,0.04392755547866079,0.001175490544233494,0.0012022053995721115,0.0024044173336461388,0.4305698968974241,0.0004652498663696472,2.6296893530122465e-08,0.8842544205184216,0.006036632967430895,0.07428498599831689,2.0305954987245516e-08,0.008396956651001023,0.012174948913830863,1.328948609024014e-06,0.7896139645439014,0.42256254706707497,3.6202814045406194e-06,0.008694730519448739,0.03202005012566813,1.893964796788598e-05,0.28992398963675625,0.36131700380978404,0.4031479622615096,0.0001031872941885068,0.2610717858090432,0.7470386921495342,7.218068353052751e-06,0.07946333347800329,0.24671568834375038,0.6252526935901791,0.11104357188760276,0.3776021758218434,2.8327588173043055e-05,0.6629907648293808,1.351046323930661e-06,8.512523164229947e-06,1.4397088763835935e-11,0.4946609656956936,0.7084712601309727,0.002094687272961653,0.21556467072441104,0.398133864987834,0.0004868215663348392,2.0217725907416007e-10,0.6939366133784679,7.613093198200835e-11,0.7291479194424041,0.8906964073352157,0.00010145057477438351,0.00124202999834135,0.005635982517931201,0.9917778361681016,3.551814573979813e-06,0.383950888652549,0.3860131322633842,0.1766138068341321,0.3818747030394968,8.011390133319776e-05,0.6395527315933671,0.0011193738479825454,0.29661879001254665,1.485229022303122e-07,0.0001387089255351488,0.0001251907844283388,0.31778897151638724,1.315692523155755e-08,6.065439460402693e-06,0.000401863131561066,1.2006059846287116e-10,0.0006019933842554167,1.3822766135290762e-05,0.004646378901402502,0.31974844505316025,1.1819998498619823e-10,0.008980216642152195,0.00026383968772788287,6.50006729581518e-05,0.004189992559016881,0.2905596108833473,0.10238885176670916,0.03987521328737902,,1.2251736864933265e-11,0.1753460587570101,0.0007773317831651337,2.45560433477794e-05,0.11897400914311315,0.03438455750636334,0.11353907277970773,0.00020516594389919022,0.675145951527131,0.03162158878261012,0.0028613114293047216,0.003404816371363762
I.12.11,4.007794289242986e-07,0.004926403447841358,2.4322904772469055e-07,1.0,2.2151411484647269e-07,2.2103326745678304e-07,2.397459306695144e-07,0.19840662991062355,0.013440755592951477,8.384272176107608e-07,9.182848042045604e-05,2.5978218768257293e-07,2.1525547697887872e-07,5.164634583023352e-07,3.861651437212436e-07,0.0011015045510113035,0.5465425478816696,4.946423446473665e-07,2.0821751756838687e-05,2.170667972950531e-07,2.902699505271541e-07,2.2903378803404348e-07,6.54472065940082e-06,2.267461048541312e-07,1.6403340248197127e-06,2.1988984417131025e-07,0.05067854231384871,4.398457226051171e-07,6.693993076415527e-07,4.963077673110354e-07,2.757767480796459e-07,0.00011223422563713117,8.471702154569343e-06,2.574247296821716e-07,6.429348121441993e-07,5.849362228584656e-07,0.0008898984774084892,3.5798930979277686e-07,1.0439997124548881e-06,0.0004624285953720843,3.288039170816991e-07,3.299337134954728e-07,0.10616298699159107,4.289308091920102e-07,0.5796506373267991,1.6464403136144246e-06,2.1710318089641145e-07,2.2038722289817977e-07,2.2213066152369247e-07,7.574319772967018e-07,2.115783806491584e-07,2.3364474138340045e-07,0.00014367975525009152,3.019120933505548e-07,2.7622158421998155e-07,2.2995483898194287e-07,3.678830050930735e-07,2.2103745074774638e-07,3.982275031863498e-07,2.603419891826308e-07,5.1843978805283696e-05,2.7902376009735532e-05,0.004111119623243795,2.2563291583582273e-07,2.564103082151861e-07,0.20158098253726203,6.883645004542027e-07,2.2186572340371685e-07,7.4537171369075964e-06,0.0003593909934532115,2.3155332998242448e-07,8.392751851589176e-10,2.3178351434035787e-07,2.3856656161828446e-07,1.5101697429361532e-06,5.222473067985462e-07,0.000528082826478879,2.425274487671558e-07,0.0015765462086251964,2.2132013298519151e-07,2.2146013492230007e-07,2.8555999469334496e-07,2.2115783607120962e-07,2.45186600854831e-05,2.3059466532831085e-07,5.248173203337658e-06,2.8935754905434976e-07,3.5502282425505394e-07,4.192029955218485e-05,4.4505608047258704e-05,2.184682649022872e-07,1.126184785417181e-05,2.775517017162783e-05,7.22854354138376e-07,0.0027751879082176453,0.19737799718950794,6.766751398768886e-07,0.5780142121128861,0.31973706640795085,0.12369624705505809,0.0003050001215074786,4.1258386855457905e-07,5.518491110882784e-07,0.0001763397436563252,2.1717112772278983e-07,0.005056920890611497,3.3715274179948366e-07,,1.6472144858050863e-11,3.148565014557816e-07,9.324111920912818e-05,1.5591765874916638e-06,2.1316811211160993e-05,3.423542048099489e-07,3.0692012506082763e-07,8.492174389841749e-07,2.299219077050178e-07,3.6324053686637966e-07,3.5791369674283595e-07,0.0035139590314595486
I.12.2,7.645253537511021e-14,8.71969317668326e-07,0.39456746764424355,2.2151411484647269e-07,1.0,0.9277139253516579,0.3768678818988511,0.4205258273951791,0.0005550028742406637,0.25435643030407035,8.205034606457776e-10,0.19454375440984645,0.741842552763261,0.00013508811527337006,4.438720179878562e-09,3.268720286712724e-08,0.00015932761769388325,2.095350716154143e-05,0.038882315887729196,0.4195774324722057,0.00019297330241644018,0.6708000483566359,1.4471004295168988e-08,0.624958633927527,3.885019709292021e-06,0.7888807025203171,0.0422083639005832,1.3377969365313184e-05,0.00022224425711799171,0.0001920854458687548,0.0814267503733188,0.0003748806467477218,9.990525011453866e-09,0.5909269093701002,0.0018129604799940852,0.04269736712578114,1.451929881318838e-08,1.7259923798345555e-05,0.006766197538620853,9.932762137899337e-07,0.6715036191152037,0.2626711987063752,3.1988103022867716e-06,0.0006946824012763677,0.031224581051092593,5.18932548601873e-06,0.3556065279821238,0.8206882853080236,0.8952239698439697,1.1003085917447967e-05,0.4866426551024211,0.3251107814180112,5.2708732382335654e-06,5.5684681617375624e-05,4.0133610302012476e-05,0.27575120491150507,0.03432307087958655,0.9300792786111696,3.89930712388418e-18,0.18220518623602708,8.688113857379028e-07,5.4752184892688366e-06,1.009665411744727e-11,0.4317512875619377,0.1608069759962857,0.00205119531001207,0.16732645781156785,0.9431291460736871,0.0003225740460075856,1.2534153484374994e-10,0.4713727104832073,7.547272567782809e-11,0.6501337024557248,0.250781441901852,3.330147272585689e-05,8.674741109663497e-05,0.00501484368621791,0.040043888072432934,2.8374584826781307e-06,0.974059919271375,0.9971601159304377,0.0002688972480041661,0.9509784441543084,5.556301588353218e-05,0.1556653320123426,0.0007426313927972103,0.047140911546147794,1.480487133037822e-07,0.0001023884242027912,9.245451459909954e-05,0.512984583309126,5.29883202023358e-09,3.847856593220619e-06,6.0990298495810985e-05,8.45728932885757e-11,0.0005620178548821316,3.5757481207895097e-07,0.004467294860741857,0.3197484869039445,9.637374834636294e-11,0.00799345581953784,1.9903433317289905e-08,8.117569332649127e-07,0.0036233014693817086,0.34423818929765115,0.10336162184218178,0.0009236671397235024,,1.2238435702456044e-11,0.03125153103957991,0.0006307255670439384,6.644956247469512e-06,0.10848655995196027,0.0008302528352617699,0.003294885515192534,3.676488869488417e-05,0.6766196658973349,0.0020382087001707756,4.241843850831382e-08,0.003404420950956499
I.12.4,3.2462600524036336e-14,8.676849079531551e-07,0.3768678684432969,2.2103326745678304e-07,0.9277139253516579,1.0,0.3537825117394191,0.4205492303703572,0.0005536693442937399,0.25331032206469284,8.089374266537238e-10,0.18374704262591443,0.7533884633994243,0.0001247324257833478,2.574592924730227e-09,3.244314333375095e-08,0.00015909101987766853,1.8650691480858198e-05,0.03876440001403112,0.2947749054061754,0.00011337932630241079,0.640810611241697,1.4089428348896413e-08,0.5639099809452948,3.7482224738555313e-06,0.7969148438700779,0.04216958884960352,1.1386440797508717e-05,0.00021163364723388403,0.0001771882594028548,0.07550041953224841,0.00037295129134304295,9.746983312210499e-09,0.5838899650332956,0.0017524281454248097,0.04207726774782945,1.4402293133071273e-08,1.2940527450768257e-05,0.0066640779279049656,9.863406402423465e-07,0.6688130555362266,0.25922453779425886,3.1895595216186965e-06,0.0006380514494048469,0.031206581113921085,5.0124165618218616e-06,0.12983846879328736,0.811857120625249,0.7028091854044483,1.030981981373171e-05,0.4900601116141462,0.27797778247878147,5.230937950139983e-06,3.279089825739745e-05,1.3111177738108301e-05,0.1771261214741349,0.03308403300926307,0.9997502785965073,1.297151213784953e-18,0.17159909863349918,8.594400854948405e-07,5.416029890103002e-06,1.0011156734050598e-11,0.17616045723243945,0.14859723301855535,0.002050210613863468,0.16628009345359557,0.8110457389668642,0.0003193091462096947,1.2389073452882762e-10,0.4293489597475043,7.545778609133346e-11,0.6278637989703116,0.21867071331501048,3.232609204231911e-05,7.973937729876934e-05,0.005001131162839368,0.021853992930599364,2.8223135578625692e-06,0.9250626295771995,0.8603564713974083,0.00015422120253943722,0.9753489497641527,5.506800152085312e-05,0.05379554551144465,0.0007351217605251373,0.043552288217252856,1.4803793163425296e-07,0.00010163787783258358,9.177800694098244e-05,0.2680802365299522,5.17802431607213e-09,3.8049154502461246e-06,5.77506338009831e-05,8.386395312917016e-11,0.0005611243140581391,3.203430779922458e-07,0.004463258359500972,0.31974848785631976,9.591078094363205e-11,0.007971659511417784,1.3468282941347827e-08,7.050394488628138e-07,0.0036108979955705037,0.08437281538470809,0.10338380111759696,0.0007825289111070537,,1.2238133116110218e-11,0.029284971206703262,0.000627586451571502,6.415692008105843e-06,0.1082524638264495,0.0007072675963670669,0.002758552984708449,3.5019792529204614e-05,0.6510879527169999,0.0018386178394548345,2.336711488698798e-08,0.003404411952836855
I.12.5,2.6723846682956745e-06,1.0370974006036277e-06,0.9223353353347972,2.397459306695144e-07,0.3768678818988511,0.3537825117394191,1.0,0.4196461829197544,0.0006055032099370715,0.29386082351651943,1.3123046616937631e-09,0.588100173118115,0.3954623124154958,0.0010041685810647217,7.959396382979559e-05,4.231743445223955e-08,0.0001682570123260444,0.00033752612099932026,0.04334892647722506,0.25782241450287996,0.07281976518052403,0.6820530328720937,3.3192144604312893e-08,0.5677067757968157,1.1195339201031956e-05,0.3304763738042956,0.04366816887895871,0.00047600956125036926,0.0008515878040207755,0.0014371821831816577,0.3482293277364078,0.00044905269911212417,2.165048769036819e-08,0.8402869632036603,0.004782263170940277,0.06754358112480395,1.916567106464098e-08,0.002989505445713287,0.010958064692395957,1.2648272092839516e-06,0.7717186054536491,0.3930613067869466,3.5505683710922225e-06,0.0053233833175428975,0.03190180179809903,1.4491727876203035e-05,0.25379536717854567,0.33540793111303124,0.3847904585022498,6.363660917464478e-05,0.24371067073589933,0.8064301982740664,6.839511482725303e-06,0.035130762900917614,0.1358890438061306,0.6582663668376533,0.0907324976915256,0.35487968945774706,7.110924262927713e-07,0.5735851745826755,1.2484717249218428e-06,7.867048170989785e-06,1.3548578663428036e-11,0.4955900663575844,0.60971793404015,0.0020882411749311423,0.20712912225704772,0.3793615675058739,0.00045282472818913806,1.85573978056311e-10,0.7425100026979519,7.603481444519197e-11,0.7799362462619902,0.9735038934223155,8.109755187928316e-05,0.0007150620004985918,0.005534453163478695,0.87908758233006,3.422456003054129e-06,0.36221756394617244,0.3641754031647402,0.09501872852650538,0.36042258134886074,7.516886143156467e-05,0.6753299653891844,0.0010416747771172605,0.2294550034580174,1.484540622569402e-07,0.0001317216399599149,0.00011889440733961929,0.2849538767546638,1.097980598100666e-08,5.589778075007077e-06,0.000270793176111309,1.1304610902678151e-10,0.0005957465490094763,6.005159754249607e-06,0.0046192985002711465,0.3197484511053873,1.143517357958455e-10,0.00881916291741956,4.494527589010001e-05,2.4621375260836233e-05,0.00409484076579812,0.2542153241514348,0.10252812918127728,0.021528318130138942,,1.2249811026514575e-11,0.13360353877142986,0.0007512292764180449,1.8741317013005496e-05,0.11732040666010592,0.01847173046371435,0.0685140780774591,0.0001430885477346861,0.7193196763488585,0.019406697079203852,0.0005544738476253019,0.0034047591799462825
I.13.12,0.41368807071899505,0.3095231506388325,0.4194977966875849,0.19840662991062355,0.4205258273951791,0.4205492303703572,0.4196461829197544,1.0,0.30621119938904545,0.40906165034136555,0.35281316208756897,0.4187523027716369,0.4209044738162392,0.41095254153694005,0.4141322572009203,0.32555614657767384,0.2287999442754596,0.41138922346417395,0.3805996483988494,0.42075916231141164,0.41742168764576726,0.42016419039764574,0.38248832285895995,0.420263065972341,0.3981011936237292,0.420610484489677,0.30915208590355625,0.412700200495554,0.4081255588046899,0.4114036836773296,0.41806566743118456,0.35701223044819064,0.3796113433193127,0.41907336779138904,0.4087156316835989,0.4102628915246438,0.327701431531328,0.41502842444217425,0.40395140517461925,0.33727343665768095,0.4177163559609006,0.41643613585686234,0.2650353548599511,0.41305546029236095,0.2433801822618134,0.3980832518009718,0.4207563808248901,0.4205829330291928,0.42049196443517833,0.4066331533778028,0.42107640944841984,0.4199201391433235,0.3509091631503506,0.41696961365426566,0.41798393020445657,0.42009539648465843,0.4149229474383972,0.4205491814038883,0.41375392403508293,0.4187255126945464,0.3608916254220105,0.36810256655658435,0.30636670878425226,0.42031148719847,0.41888384919142563,0.11082006138092647,0.4097570344026049,0.4205061494670502,0.38327286351750844,0.33681859986779994,0.42002798649001616,3.516372067544043e-08,0.4200424823131912,0.4196852764183632,0.39918497003282816,0.41081628032234196,0.34744070974928043,0.4194839439919793,0.3241914321473355,0.4205343159141788,0.4205266640522983,0.4176090523379432,0.42054327260246427,0.37047302002622373,0.4200613503619456,0.38714160269163167,0.41752079563533895,1.5236522241833182e-07,0.3654756374128465,0.36480628108139834,0.42068379013125234,0.3764069117580022,0.3680283694879022,0.40721886659048656,0.31202342530893656,0.26092884681517575,0.4078035390758097,0.2338940959735144,0.31976731017796756,0.25529876858900585,0.35382518556446574,0.41338086531645,0.41010994133388845,0.35655509781596395,0.42075257230411056,0.8629307935072389,0.4157413364136203,,8.641420622083026e-12,0.41658399697460324,0.35944326009788674,0.3986945999546482,0.38481378182725645,0.4155682894089292,0.416811030491008,0.40542890331972015,0.42012698131130843,0.4149244455055978,0.41500681530704997,0.0032369486894046613
I.13.4,0.00105602187304292,0.9124929914552198,0.0006152530241142073,0.013440755592951477,0.0005550028742406637,0.0005536693442937399,0.0006055032099370715,0.30621119938904545,1.0,0.0023067214209652764,0.13775272442544137,0.000661229542022325,0.0005380838960286731,0.0013849118525744622,0.0010149195751703222,0.5431162466170407,0.12490500027580635,0.0013225731327569095,0.037366397429305837,0.00054276671873286,0.0007457558457377623,0.0005758650496982382,0.016839689193229746,0.0005694524728376769,0.004536007145717034,0.0005505321550873389,0.983507095233996,0.00116706800256469,0.0018200730103105306,0.0013277067317062092,0.0007057226231929388,0.13573131969700805,0.021188344195912572,0.0006560992884156052,0.001745850639482228,0.0015844213789510155,0.4972444772080751,0.0009357374058351605,0.002880576367349274,0.34115911285787537,0.000865132099668194,0.0008602578006455899,0.2985210902895505,0.0011367087830720889,0.38867174291511275,0.0045525239322207044,0.0005428615553824714,0.0005518913497411805,0.0005566887004985038,0.0020692718619183008,0.0005278225355979541,0.0005884983500244559,0.17171003164292703,0.0007782812919497625,0.0007065290703151828,0.0005782639200298823,0.0009651451521309466,0.0005536818995111369,0.0010487597845295403,0.0006627709511289191,0.08877874091974886,0.05539413515216643,0.9782842836314594,0.0005663330376465251,0.0006517435509477699,0.02411215606216213,0.0018840235631752671,0.0005559620549836623,0.018424366439619203,0.32453056352292153,0.0005827523153209878,2.25954188021773e-10,0.0005835510967441734,0.0006021291286940173,0.00417682627356742,0.0014012541369128224,0.2760989701599659,0.0006130075409884506,0.589682539403793,0.0005544590483120038,0.0005548421325492523,0.0007326083560363565,0.0005540154709154474,0.04923322855885745,0.0005800161406459554,0.013488024593113237,0.0007436479981299882,2.2024999401202234e-07,0.07262603225560876,0.07588748089284306,0.00054661293875985,0.02715247242503231,0.055302901116135235,0.0019715480077868914,0.8393615453524408,0.34466503955213124,0.00183934007595123,0.23923854900038416,0.31974333073058864,0.13998068224431148,0.2054762221587495,0.0010895638518563125,0.0014846864596489617,0.16193987314814526,0.0005430471203177293,0.030114956157959838,0.0008773381899138682,,1.3996746574005304e-11,0.0008152037577298006,0.11929353949464166,0.004312774300905622,0.03511491294046045,0.0008919712505093825,0.000792507283817326,0.002329797262318997,0.0005783611662397656,0.0009509941494552266,0.0009353436172356284,0.003453480932807651
I.14.3,0.6408216088938196,2.6138751468474838e-05,0.3016158091440902,8.384272176107608e-07,0.25435643030407035,0.25331032206469284,0.29386082351651943,0.40906165034136555,0.0023067214209652764,1.0,6.151544739733628e-05,0.33770293420640873,0.2419984431438203,0.8490837558425681,0.6103724513802525,9.338404991707804e-06,0.00037247122931782756,0.8145897816450466,0.18232579177330638,0.24495729205251837,0.40424077636630784,0.2707280204777054,0.02258468777082982,0.2655819947438078,0.3183586598240476,0.2509162156725308,0.06833231169625016,0.7153825838761558,0.9338059585111336,0.8147246055345855,0.372653116334995,0.008676516789345423,0.012947266984486719,0.3344627992164406,0.9787343389205017,0.9104952810284794,7.3119205442951345e-06,0.5509063391890461,0.662498906659952,0.000139476793813557,0.4705713429712587,0.4865501296661281,2.0063942511881384e-05,0.691896753245733,0.042108303978725954,0.31884200666929513,0.24501909446697956,0.25194237111216167,0.25563282546699456,0.8205115631942714,0.23385491781723683,0.28039263516380597,0.0008949294550899751,0.429833575824466,0.37326545611957074,0.27235083862714105,0.5677799013290807,0.2533220295053897,0.635823758722464,0.3389050647274906,0.0013423309143168476,0.005236889411905879,1.6212655238060268e-08,0.2630757283960092,0.3301702333287534,0.0026356730152080144,0.9542380124403445,0.2550782231797428,0.06569571317491052,2.5364123236758047e-06,0.2759658942970505,8.345409549072628e-11,0.27684598563524004,0.2910731460298102,0.3748257794675858,0.8593270222844915,0.023801140332526928,0.29948789104862467,0.0001104945484721366,0.2539184670994358,0.25420897800903053,0.3938707187378866,0.2535831389322664,0.01218966838857004,0.2736908206584884,0.1105397806784119,0.40238624574330595,1.5355079901458703e-07,0.009275638984612944,0.008479456953241642,0.24788959557553736,0.006714651415472173,0.004770174676785768,0.8651520801904395,9.90992835405622e-08,0.0013934578299421145,0.9076078154055877,0.007266822765800273,0.3197480141309391,3.3280809075771814e-09,0.036864090026383495,0.6638701770147513,0.9127286478870406,0.025855050853554808,0.24515861618099796,0.09308545279918683,0.5061801616067634,,1.2389993148018975e-11,0.4577672168551862,0.012524907889746768,0.3455461702325512,0.3113994616773594,0.5172822310731215,0.4407575590867918,0.7352825318228283,0.27273844912457473,0.5608689996167957,0.5511353360161517,0.0034088920532124012
