,I.10.7,I.11.19,I.12.1,I.12.11,I.12.2,I.12.4,I.12.5,I.13.12,I.13.4,I.14.3,I.14.4,I.15.10,I.15.3t,I.15.3x,I.16.6,I.18.12,I.18.14,I.18.4,I.24.6,I.25.13,I.26.2,I.27.6,I.29.16,I.29.4,I.30.3,I.30.5,I.32.17,I.32.5,I.34.1,I.34.14,I.34.27,I.34.8,I.37.4,I.38.12,I.39.1,I.39.11,I.39.22,I.40.1,I.41.16,I.43.16,I.43.31,I.43.43,I.44.4,I.47.23,I.48.20,I.50.26,I.6.2,I.6.2a,I.6.2b,I.8.14,I.9.18,II.10.9,II.11.20,II.11.27,II.11.28,II.11.3,II.11.7,II.13.17,II.13.23,II.13.34,II.15.4,II.15.5,II.2.42,II.21.32,II.24.17,II.27.16,II.27.18,II.3.24,II.34.11,II.34.2,II.34.29a,II.34.29b,II.34.2a,II.35.18,II.35.21,II.36.38,II.37.1,II.38.14,II.38.3,II.4.23,II.6.11,II.6.15a,II.6.15b,II.8.31,II.8.7,III.10.19,III.12.43,III.13.18,III.14.14,III.15.12,III.15.14,III.15.27,III.17.37,III.19.51,III.21.20,III.4.32,III.4.33,III.7.38,III.8.54,III.9.52,test_1,test_10,test_11,test_12,test_13,test_14,test_15,test_16,test_17,test_18,test_19,test_2,test_20,test_3,test_4,test_5,test_6,test_7,test_8,test_9
I.10.7,1.0,0.3549818798110278,0.825577977694204,0.00027422450016575977,0.0535967713687943,0.04170257971828908,0.7145440773461871,0.02879093210945487,0.19163867452474934,0.6723867278917801,0.19411204415466077,0.03517690958436294,0.06754621070414356,0.9001409292539855,0.3391960068396659,0.00042097736277827216,0.21969619404017432,0.3675804219577249,0.6852503043727607,0.02421636398971088,0.9741378341736924,0.06692158966047967,1.0146173302485553e-05,0.15720376902353908,0.0019391994962881219,0.03096071680731116,0.13380198100141125,0.8728654016316995,0.07807975300689378,0.49245313854730544,0.34105212878307867,6.642032372534786e-05,0.004468795075706647,0.2134566217391238,0.2465248701145451,0.46538893703509054,0.019702328182266467,0.12320695973048916,0.7490206162189095,0.019411472281440887,0.7000268668040663,0.0952987413821097,0.3736398594467859,0.042069239545632235,0.2875115322229336,0.013887508198066797,0.06566447674630936,0.06326966146509024,0.04661135649197476,0.308617217908027,0.002842645123115099,0.01354582510941915,0.066581751318097,0.8407578203760604,0.7389443050503501,0.04635133861705877,0.21633451305457993,0.08492661295661237,0.8964105797223638,0.02439090798502692,1.8481538395704116e-05,0.0401287995059061,0.000554460584655925,0.05868247432285337,0.2400633263533877,0.06239171696032681,0.40689586238765907,0.11330254467787489,0.33363815000295904,4.211760831667771e-05,0.002960821149739664,3.6978582332039924e-06,0.00420393711600743,0.10578797083678805,0.9253433879068675,0.9981844655151103,0.1541347527868161,0.06485234497849161,1.7588870605680231e-06,0.09502018160730943,0.05230331646816572,0.6194782284167881,0.06880018828148134,0.6562222674401761,0.13545483420105556,0.004587883100406393,0.2231049305893037,0.0240801042403643,0.1664271085973494,0.017607415537846453,0.05656290272170165,0.8778140466848419,0.004278824669107401,0.027213881971051974,0.011297965993303506,0.019068159775777124,0.5342650493057828,0.0031935451964967,0.06488152390679891,4.732129537153818e-06,0.34687912068118465,0.4543761939581582,0.9083722270317309,0.6779754077900901,0.04732222377537588,0.3193757029888772,0.9231081617778736,,0.00026997327624571685,0.34232514370493417,0.31726202095328526,0.12381999562267719,0.3483694638666055,0.24422822105098121,0.012912441128968737,0.5101334041637373,0.14096431887104935,0.5137143001108317,0.6008157695209304,0.9935475840080953
I.11.19,0.3549818798110278,1.0,0.3488209706454438,0.004095479995957737,0.3214355942109181,0.32047506770167955,0.34570159712319826,0.7035337421274503,0.5775011428600323,0.5436478848632104,0.8981748035462226,0.29589520509096995,0.3237973749549615,0.3500798388683133,0.3799877580096589,0.136538229553704,0.46021152550537625,0.40777013698402287,0.3261433588527318,0.31447906093831496,0.3557826956866236,0.31499964116278006,0.8102286978886062,0.3268045049485029,0.7382163326511049,0.3177131077411032,0.30268706226872233,0.3629023354791462,0.4989533892024438,0.31494152378970935,0.3165984583470439,0.13620716499832328,0.9960794638404202,0.28588991298105626,0.483748750166177,0.45344728966117975,0.3055287347431725,0.31530075840313226,0.33081605871895636,0.46811909696424747,0.3185901675193677,0.21667530184536857,0.5941233232048241,0.2659180421316226,0.3927444693974307,0.6187324402254388,0.3239018166113402,0.3235892136123326,0.32132389240756404,0.4166200193963362,0.3021571271012748,0.3028251636489418,0.8953535610516755,0.34972049263625193,0.36155142755254577,0.3195132348889647,0.2980600252768933,0.3256868177395067,0.35771262166899154,0.291724798356626,0.3267809113130101,0.9744865056219443,0.1763571696930841,0.3210393389273349,0.3215811619477856,0.09038527375629825,0.22469667114911257,0.32789651167891043,0.6828978358870041,0.14058585703271476,0.29144919098087047,4.3453450648027625e-06,0.2731484287384895,0.3204204452590105,0.35556039968291564,0.3573927703482964,0.6775205917951144,0.3178176216476607,0.01893998272657935,0.3265695788304842,0.32227877296444163,0.34339797949953155,0.324161464584244,0.5760856887112022,0.3286091653616694,0.8273622767497624,0.30613197662457425,0.0249685586959664,0.9624705706864285,0.7235111195027571,0.3228969328548741,0.42454306706229283,0.5837776849263927,0.5122138242788796,0.4813482781276469,0.07913922359008409,0.3245792610384305,0.011603822091438004,0.32286628912531734,0.0031437121947251105,0.889229446471399,0.3790197435821723,0.35098001076607466,0.8099439698200889,0.32168124685655214,0.31902527156487565,0.35273589936840877,,0.00027402694337932135,0.3195444580113492,0.17516351237371605,0.5045856595919873,0.9471406325725007,0.39587356062761303,0.2803498352383387,0.2964639958360021,0.318852204118377,0.3261394680491726,0.34169087138479315,0.9937060521788116
I.12.1,0.825577977694204,0.3488209706454438,1.0,0.0002684546402698545,0.25198009996914517,0.22900243052880712,0.922335336285535,0.027597470254468008,0.18888503846799545,0.6565720384905076,0.18774645323295483,0.0982742795133041,0.2917503654807881,0.979476135281117,0.31208287233910775,0.0004020026632683032,0.217648574665691,0.3295848139344987,0.6973756316798133,0.15570198120990048,0.8062181785805382,0.21270085324460622,9.397113833787884e-06,0.3958574575416882,0.001799089750568826,0.19008079599865998,0.13250790126219636,0.7716988705728769,0.0712471879717028,0.5681715723444085,0.45380437107272986,6.281599413738561e-05,0.004143318156315929,0.27019529846476026,0.22711446326869192,0.43624798307008883,0.019141882958681446,0.268816310046165,0.7957963901654616,0.018720175400702987,0.7330633157685267,0.11245084960838514,0.3713299179330043,0.07128412068271997,0.28636028758952653,0.01278269118019273,0.2912633299507008,0.2853289327993808,0.24324848725126952,0.2773627953083878,0.04971318257519719,0.08155365674001756,0.06393161864365883,0.9742881645510413,0.615056121371022,0.2252997972981962,0.2924433493081985,0.33006238085903994,0.7347831075223585,0.07446142307594557,1.7187355969139907e-05,0.03809834650549182,0.0005286909624718866,0.25323301321663705,0.40416568394151964,0.06211520905662332,0.42027671638752484,0.3812629179742868,0.322145263736604,3.9733377497352314e-05,0.030140357529628084,3.6904565264392397e-06,0.018846163065159873,0.29080574878556165,0.969007696524609,0.9180412855487843,0.151029846862566,0.23090001310024377,1.6667971720312517e-06,0.34963326896811053,0.25958025948762625,0.8557743443616102,0.29723970039892345,0.64204037020052,0.40606510990301015,0.004292897081137354,0.31847387454545667,0.02406856539233461,0.16103747086609374,0.016771062321147945,0.27082823936549594,0.8544794156126694,0.0040491527067196146,0.02545504404216125,0.010833672340241485,0.018797521600687647,0.6315392547424821,0.0031543658429938008,0.27858318636111934,4.550299661204383e-06,0.34184721953587305,0.3999045939611031,0.9871768536678094,0.6710124045892968,0.24778253576617576,0.31938042049924414,0.8805914126514277,,0.0002699195948943373,0.46806927280648136,0.3246144872225406,0.11304744257062713,0.3415879204835226,0.224504615665536,0.04122335467419005,0.552084691045579,0.30776307481098075,0.624366791527968,0.8177168394444552,0.9935454524500864
I.12.11,0.00027422450016575977,0.004095479995957737,0.0002684546402698545,1.0,0.0002422776597919932,0.0002413830542332294,0.0002653238492000117,0.004359810558314616,0.02844168221493347,0.0006423753280464754,0.0016840094781993729,0.00021948226908999295,0.00024445118678820846,0.00027206273207466553,0.0002990938354881305,0.03449111102833811,0.12403127228334372,0.00032996883569425233,0.0003750777991650188,0.00023591360641517063,0.000275014182630963,0.00023648604764452542,0.002259860376158443,0.0002473100581918437,0.0008170649185675944,0.0002388539753998654,0.23736201438868887,0.0002829033943337744,0.0004378127931184822,0.00023863290118565566,0.00023872730697157445,0.027505977099223904,0.001565038858366214,0.00021208514876865388,0.0004245300731784125,0.000392212954036936,0.026681082330486633,0.00023688025176007025,0.0002586535200167579,0.01034367057218835,0.00025368559047049213,0.00015608988517244225,0.17246056837165832,0.00019409173439109367,0.688946134820883,0.0006085688602450205,0.0002445438558189229,0.000244255092124511,0.0002421641138945175,0.0003396543275005871,0.00022477823245578893,0.0002254573826981014,0.002655797717771287,0.00026923384661112714,0.00028051754310472486,0.00024051817627946572,0.00022224966112881792,0.0002462003991380198,0.00027680752287178163,0.00021579597902151207,0.009081933674521253,0.0019170251228778849,0.025957287927152666,0.0002419258576609027,0.0002427462673766095,0.5074476643754859,0.00018941648755352672,0.0002482563485303286,0.0008816122232320944,0.025506361790692857,0.0002153623322683114,1.213035608863446e-05,0.00019966947313845965,0.0002414432793208108,0.00028472594145345604,0.0002787064591170468,0.010446438524005586,0.00023901885188805656,0.11098843903427452,0.0002470203028741886,0.000243043304606084,0.00026304255226387033,0.00024478531561000446,0.0007510826835007899,0.0002489332918948328,0.0024767458070905067,0.00022916788443993013,0.03170427767963947,0.0020369840171543356,0.0037634869079771587,0.00024361353984783538,0.00039511973590744125,0.005074337831795111,0.00045266587365629324,0.00854092405494952,0.46424193418348214,0.0002467558102382306,0.636096997117733,0.00024359820202632002,0.4138617124578443,0.008084170967279368,0.000298369324888452,0.00027161976811568804,0.004224939160046455,0.00024249070055505452,0.3166560379453665,0.00027200299044734385,,0.00030292598137081724,0.00024127420792033127,0.00017689161337039818,0.00044772629893141165,0.002969085365099727,0.00031579175546926386,0.00020591835179016113,0.000226057634552374,0.0002400956396538943,0.000247841386728468,0.00026149166753741893,0.9947802270680436
I.12.2,0.0535967713687943,0.3214355942109181,0.25198009996914517,0.0002422776597919932,1.0,0.8547970619070051,0.21495357414388255,0.0218952323351425,0.17665872941218771,0.5865202004044268,0.15843868173309886,0.25205254761046386,0.6620697711669432,0.6779438575717809,0.003354956378466845,0.0003094244472285935,0.20863981197267992,0.1085722164141305,0.7492613178501142,0.38204043636623775,0.053480205257810096,0.6494194061505554,3.0858411289355147e-06,0.6438575293295135,0.0005125359196262235,0.5493479386095147,0.1268042076944469,0.29569866456368954,0.02215097288770518,0.8654943357633351,0.8674702040425755,4.453159765917551e-05,0.0022714737102710464,0.47299662751914184,0.12459945983633984,0.2966572175445935,0.016558134146710812,0.7428490931885384,0.992645959264975,0.015470031197308793,0.8721891226877623,0.17469268655749687,0.3612322918567984,0.15659224011598266,0.2813402938231412,0.003998676535933315,0.6099335934452863,0.6602296664542084,0.9848363727498215,0.08869558018514907,0.011143178301989005,0.17045915728999272,0.05139340992448453,0.1806240054525838,0.0005987430619251181,0.7960977043773101,0.5587387311582854,0.41202232839370834,0.010180828301906347,0.1854862556407876,9.874498292768864e-06,0.02811154744089862,0.00040228828075895183,0.9574640217041599,0.9879123170455233,0.06090698289807318,0.47621293002758114,0.23348138574227484,0.269485759485849,2.7499432901293316e-05,0.03410681226385892,3.658248914622437e-06,0.03794860635267062,0.9326925245621129,0.8424399183600966,0.5465318002135879,0.1370799463810658,0.7549571917847137,1.2069458725051323e-06,0.32346742284406593,0.8578376130240137,0.18368311126171397,0.5858832440982356,0.5792967991972737,0.3010105237487693,0.0027172798766203436,0.6495005683530937,0.02401849789863367,0.1362052442770056,0.0126827411342623,0.7530421982265629,0.7521105342201954,0.0028913381996673497,0.004627861780353367,0.008610126825651928,0.017590814030756383,0.9855725157943558,0.002980238502495698,0.8234735397818385,3.6864690869826337e-06,0.31957414815491036,0.031035579746403433,0.5322761254434097,0.6405610779808442,0.9540440777662157,0.3194008716368136,0.04572649458492851,,0.00026968678466967986,0.9291464812911795,0.35557157982408727,0.048189325183513015,0.3113373973563698,0.013405595223848503,0.09688295271353276,0.7222992046495844,0.8744938165110968,0.9440670876649677,0.30147425214953893,0.993536211627165
I.12.4,0.04170257971828908,0.32047506770167955,0.22900243052880712,0.0002413830542332294,0.8547970619070051,1.0,0.1881561904448515,0.021711705461069104,0.17622928016512884,0.5840541463984769,0.15745339037368972,0.2628828254806569,0.39251193134312357,0.665644012260783,0.0023798964099130205,0.0003065236067795205,0.20831987799693397,0.10337795232935709,0.7511661547218074,0.391577987102927,0.04196240288796879,0.6865472011502283,2.966089089618837e-06,0.5630265941119506,0.0004893985094677792,0.5739843835396475,0.12660208475589593,0.281586016906635,0.021147496173119236,0.8777336620559113,0.8868763418010406,4.3985473387516916e-05,0.002222360667406349,0.482450600603336,0.12170654918099465,0.29221776299474805,0.016471383873993477,0.7750853296767661,0.9999883654201782,0.015363419513053136,0.8773936253483281,0.177484447557967,0.3608709023526371,0.16146999895333505,0.2811600905050946,0.003827162411661755,0.25989576174876783,0.3232234474565663,0.7989401582757526,0.08440654537123693,0.005815487806066489,0.17605121528590165,0.050985214853873036,0.15876580805123666,0.00020863259768774206,0.8782695190956477,0.571744376792312,0.1413167555785304,0.006165642489675075,0.19336570007845424,9.68095837002907e-06,0.027800895250160745,0.0003983509198536424,0.938110449182401,0.9791301506746086,0.060863720164793245,0.47832514743930443,0.05524910026647988,0.26770606562490634,2.713910663650839e-05,0.033664184038552016,3.657090345311162e-06,0.03930677975184161,0.9867799466637588,0.8356110022596955,0.5337664721785552,0.13659687095507306,0.8060554685292267,1.193085742684564e-06,0.08695181344405521,0.5407524467101945,0.1533882919540846,0.26367127393727635,0.5770845102887796,0.16130844551294665,0.002672597634199194,0.6662541529818167,0.024016689950242347,0.13537105582587963,0.012554625607124836,0.38298403397857717,0.7484664644261176,0.0028563282341083586,0.0043239369517134125,0.008538765617969723,0.017548645691281423,0.9697725444853171,0.0029741314339798443,0.6458307711114892,3.6587130878200375e-06,0.31878893752121285,0.026578136501987218,0.5164141630469888,0.6394719035995646,0.6441065904735767,0.31940161092994007,0.03365135965378088,,0.00026967837293542297,0.9511406371072626,0.35673053440873836,0.046607300532013875,0.31028090309751644,0.011483445391577852,0.10077016272445818,0.7289718010609141,0.9136270234284218,0.925900911738225,0.2691516295514882,0.9935358775866212
I.12.5,0.7145440773461871,0.34570159712319826,0.922335336285535,0.0002653238492000117,0.21495357414388255,0.1881561904448515,1.0,0.026841782912186373,0.18749586486922418,0.648660394264005,0.18413903507180268,0.08720576178346144,0.2568641382851516,0.984648840330184,0.21427614054041846,0.00038920761751188427,0.2166469018345364,0.2895262084230002,0.702753338116908,0.11878417196932912,0.6949433572222832,0.19098300063467855,7.894597519065233e-06,0.3881216398712314,0.0014826768219777103,0.14966310465609628,0.13187096496021872,0.7091536138551735,0.060664763211190735,0.5907767619083948,0.47361211322187724,6.0107351336445714e-05,0.0038168405318426994,0.2797493433996879,0.21104208216339213,0.41764818603617204,0.018822788828201882,0.2613004913937392,0.8151609781482065,0.0183025095467992,0.7468256345451889,0.11590215640618608,0.3702245990742159,0.0702625846702858,0.2858141366935109,0.010775150514328515,0.25537454365149664,0.2488794805429647,0.20311858627020082,0.24183315238180667,0.02685239164798792,0.059625551802138396,0.06230123202571113,0.888230501549302,0.46747473922051785,0.18860831717962512,0.3023416118020368,0.29979334679196706,0.6039791462676558,0.06407459846081144,1.5923673854745884e-05,0.036704016264821074,0.0005110625148935723,0.21916751782070046,0.4145456259366924,0.06198307776234932,0.4257115418484637,0.3596021813962248,0.31572987523680496,3.788593127013913e-05,0.01798046949324436,3.686968227436857e-06,0.013995032388188293,0.2740562997788798,0.9889351692875094,0.8762766111700284,0.14940132146532537,0.20449805621467002,1.5997148606611175e-06,0.32234721085552065,0.22036099069389115,0.9293763156308721,0.26232612465756433,0.6349736715795569,0.39139484018781423,0.004042616499281569,0.32862125732656877,0.02406318476799859,0.15797625782418298,0.01620617756407179,0.23249023795821078,0.8431878556658112,0.0038804780228571902,0.019759806721698008,0.01053756753784402,0.018659027623582704,0.6602105014910744,0.0031345229483682705,0.24405761908052703,4.4357467977319245e-06,0.3393349287029802,0.3143532472753565,0.9386591129218081,0.6676758308805518,0.20728978163495362,0.3193826133657314,0.7692626941386269,,0.0002698946060678103,0.48880372087978885,0.32768580583419615,0.10108729728227078,0.3381140643967958,0.1643050685339768,0.03447046752327891,0.567055440261655,0.3014077516495753,0.6546995800403893,0.8816835709091031,0.9935444615548102
I.13.12,0.02879093210945487,0.7035337421274503,0.027597470254468008,0.004359810558314616,0.0218952323351425,0.021711705461069104,0.026841782912186373,1.0,0.7347896461723709,0.16999263751191646,0.4880019813370122,0.017706477378021074,0.022327729993621877,0.029591688650298292,0.03466909625843264,0.14749649574787005,0.5584698445120984,0.04352921313196196,0.08925878289664448,0.02064718708430652,0.02897459184230562,0.020808931614232414,0.7651206161553634,0.02294339571290387,0.2247853015886727,0.021214647103621607,0.3680397160148393,0.031234684620202367,0.07700988002031998,0.022364088513610027,0.021649736489647554,0.13849091483178408,0.5156597810992904,0.017132021916766826,0.07469433730546401,0.06606832381173235,0.3947283482782571,0.02094732076627409,0.02915181975647656,0.6354394162033516,0.03132535620678064,0.009547608465160404,0.690645765172027,0.013705399051031075,0.4390335944398046,0.14002042852409638,0.0223443925012861,0.022286392493117386,0.02186711818648856,0.046236743432356946,0.01852957841706816,0.018697685708037568,0.7282296484454882,0.02772626754029465,0.03016311977206802,0.021549921268311324,0.018651085790583395,0.022680984957679586,0.029337832609750602,0.01704522171310858,0.4114744434957188,0.5940469756043363,0.20010366758606185,0.02183181204578585,0.02216032846188094,0.10207223755764736,0.02840063094974966,0.023101279582501195,0.25332117241311974,0.1421230587276634,0.016868466557744464,4.6357007413591026e-06,0.014296702375271819,0.021780359251455952,0.0360420350910409,0.030863116249756604,0.8961393612319333,0.02128263841179574,0.011010315430954362,0.022847883813760496,0.022042304663351327,0.02630576085428424,0.022393714809100355,0.2059163312460553,0.02324671012776265,0.77312960360418,0.019777257228286434,0.02538999313072559,0.5679949538234972,0.9579706337941718,0.02215646344705465,0.07914873210507167,0.8325973608313035,0.08128843159205106,0.6600219641729548,0.09692124403238186,0.023602913626720023,0.01395177063140763,0.02216001999056644,0.0019145175382792392,0.866917468787409,0.03461477026994094,0.028840044705052827,0.5572666450230273,0.02193094464180827,0.3188561227672566,0.028270870762430393,,0.0002759683504979206,0.022073538980024694,0.03570428522070921,0.08130725792328529,0.6213486376672165,0.03904530322879435,0.015361789102646642,0.022096645366899797,0.021560973965708063,0.023638687540990973,0.0260088814866801,0.9937825121491066
I.13.4,0.19163867452474934,0.5775011428600323,0.18888503846799545,0.02844168221493347,0.17665872941218771,0.17622928016512884,0.18749586486922418,0.7347896461723709,1.0,0.2825517765499297,0.47203779592175155,0.16518211884640438,0.1777159287902238,0.1893931948433554,0.20278604422128102,0.5849511112561927,0.7607287327472471,0.2151863229186268,0.17827711745535643,0.17354286844553884,0.19199569052738705,0.17377091484630816,0.6187156412519401,0.17905807463496928,0.36832636371841443,0.17499234340952835,0.5462835750750372,0.19515725335182513,0.2561871516879693,0.1736318929516992,0.1744475133733148,0.6167368103198607,0.5074996225091336,0.16055774566157588,0.2495080047029703,0.2359279031046296,0.7903736570321751,0.17389955043699984,0.18059225440913113,0.9687019155359122,0.17482488052717993,0.12852237740283096,0.8456459239441916,0.15157779621098608,0.5215185133328499,0.31130427081180545,0.1777628343044335,0.17762295574848314,0.17660923691617908,0.21914301602034225,0.1680163723506756,0.16831098139713507,0.5960937927654025,0.18928869122515052,0.19457071634193684,0.1757977513526009,0.16609690346365605,0.1785612217439056,0.19285816216843513,0.16330495677311915,0.9524956533482689,0.5351293017404862,0.6704321361293297,0.17648074103014993,0.1767082196660699,0.12961706181476926,0.1292639947627856,0.17954935431465374,0.3499475329837103,0.6329908782968712,0.16319589068041768,5.155760052082278e-06,0.1549190202022651,0.17619951641525672,0.19173798608380935,0.19267595750910327,0.8357413992403516,0.17503565206743885,0.22632662558957226,0.17895603443930477,0.1770366416361408,0.18646952382698292,0.1778789451875188,0.3003444509402007,0.17986747528716543,0.6202244651600621,0.16974991375054327,0.02594308684493324,0.512350200616891,0.7096474630630765,0.17731328009879774,0.2236302450660319,0.8142746685830488,0.2621133501738226,0.9367660879619024,0.21861845000427718,0.17799740161969524,0.03524169850131386,0.1772989727229141,0.058282366942095036,0.6866248824500778,0.20235324770139962,0.18982450837676498,0.4791980467091751,0.17676930366147198,0.3186538727984159,0.19063760125114637,,0.0002783917335625706,0.17577653631412968,0.10219308367822472,0.25884345842632,0.5299723456144183,0.20986647868185593,0.15817005998331587,0.16503746749208492,0.175492659629443,0.17871226273094312,0.1857049517971956,0.9938741328150869
I.14.3,0.6723867278917801,0.5436478848632104,0.6565720384905076,0.0006423753280464754,0.5865202004044268,0.5840541463984769,0.648660394264005,0.16999263751191646,0.2825517765499297,1.0,0.5023691286955914,0.5211718335722988,0.5925838182291012,0.6586702014179344,0.7358257104174861,0.007098855214066595,0.27588880144632216,0.8032261782286866,0.5639620229096038,0.5686641478190717,0.6744236481606639,0.570011374114521,0.12218946889800081,0.6002967002341679,0.5430586983783223,0.5769636723814312,0.17130039473280947,0.6919867025421762,0.9850786139224709,0.5700404508980066,0.5741672779226593,0.004080727033912474,0.2797359982581223,0.4966577857411091,0.973901253601458,0.900200291184396,0.06266614287305128,0.5707962162203835,0.608897203410623,0.09200194850939333,0.5779103643609302,0.33158411519557096,0.4276360650468657,0.44585850822214645,0.31296474250840384,0.7432925708466194,0.5928521468603057,0.5920495496376548,0.5862334548031432,0.8247324398017586,0.5370613067036988,0.5388027461076148,0.29216514633591384,0.6589078721422701,0.6892052026478206,0.581585333385651,0.5270677230967888,0.5974346283833989,0.6793932944062742,0.5105337934043843,0.013279159234109942,0.31186946860452774,0.01023689053189587,0.5855029455463111,0.5868901600424137,0.06890165120706315,0.373208310410985,0.6031068178457811,0.7449302607683124,0.0037856363204850623,0.5097133947073643,3.854131196689388e-06,0.4633658714915413,0.5839153540731075,0.6685580864552756,0.6773476035809096,0.28064398728705897,0.5772362517020551,0.00014282539835843943,0.5997007896793242,0.5886850968805457,0.6427987186936963,0.5935187029636471,0.9625839480138016,0.6049343670161025,0.17410084904653755,0.5474790446489558,0.024302381255429155,0.44450300001279264,0.16034906308482036,0.5902722205478208,0.8041887205934277,0.08679992446108455,0.9531591444054781,0.08088973522011608,0.029657040565346196,0.5944679405361096,0.004641054524898895,0.5901931536601147,5.5365008360533426e-05,0.49437713566778385,0.7331785231297412,0.6615674908996783,0.8295890626114573,0.587150971379879,0.31928728268736106,0.6666761262733862,,0.00027099211537396874,0.5816802977801638,0.2834905363885943,0.9761309334185831,0.5640187244918254,0.7753615883679799,0.481649420266518,0.5247624762036122,0.5798959442140565,0.598473748416313,0.638403812270852,0.9935875609086486
