,I.10.7,I.11.19,I.12.1,I.12.11,I.12.2,I.12.4,I.12.5,I.13.12,I.13.4,I.14.3,I.14.4,I.15.10,I.15.3t,I.15.3x,I.16.6,I.18.12,I.18.14,I.18.4,I.24.6,I.25.13,I.26.2,I.27.6,I.29.16,I.29.4,I.30.3,I.30.5,I.32.17,I.32.5,I.34.1,I.34.14,I.34.27,I.34.8,I.37.4,I.38.12,I.39.1,I.39.11,I.39.22,I.40.1,I.41.16,I.43.16,I.43.31,I.43.43,I.44.4,I.47.23,I.48.20,I.50.26,I.6.2,I.6.2a,I.6.2b,I.8.14,I.9.18,II.10.9,II.11.20,II.11.27,II.11.28,II.11.3,II.11.7,II.13.17,II.13.23,II.13.34,II.15.4,II.15.5,II.2.42,II.21.32,II.24.17,II.27.16,II.27.18,II.3.24,II.34.11,II.34.2,II.34.29a,II.34.29b,II.34.2a,II.35.18,II.35.21,II.36.38,II.37.1,II.38.14,II.38.3,II.4.23,II.6.11,II.6.15a,II.6.15b,II.8.31,II.8.7,III.10.19,III.12.43,III.13.18,III.14.14,III.15.12,III.15.14,III.15.27,III.17.37,III.19.51,III.21.20,III.4.32,III.4.33,III.7.38,III.8.54,III.9.52,test_1,test_10,test_11,test_12,test_13,test_14,test_15,test_16,test_17,test_18,test_19,test_2,test_20,test_3,test_4,test_5,test_6,test_7,test_8,test_9
I.10.7,1.0,0.00564506682652238,0.6561172291239088,0.9468769465561605,0.16899519768251522,0.4507396524456927,0.23224169229027494,0.11281560217963203,0.009874164733301988,0.5402978938154235,0.004880120942440197,0.05755065334728288,0.5457208074156894,0.046890566985687214,0.018432840404870712,0.6198969490490529,0.26015288322128405,0.23162575973564029,0.0026682368792028126,0.5660161549281754,0.34839464400689546,0.019547327825667433,0.5202302742269709,0.46612788143872297,0.07927910471449164,0.15203228503752583,0.5566300582754473,0.05084634936485057,0.3378456479579218,0.1376413891187147,0.09071040659614966,0.045181148403226304,0.9143942010954388,0.00012200288594618075,0.007105503072957009,0.03968772741945742,0.20878850768595952,0.3285138523993265,0.00723227730024731,0.3622777041196802,0.012700870934715646,2.777223057781782e-05,0.5213672312019293,0.0069690450588202665,0.7041257148544693,0.06228335015997639,0.42109680183804854,0.30408031591529927,0.36943405565836074,0.6849686240281376,0.04978055608726274,0.016338464163978092,0.0007078510520316559,0.12757939612229374,0.342409781463649,0.03167895721380228,0.057194596912211126,0.5128356756723795,0.8519459291664266,0.02066262267026714,0.10065459818052747,0.029888901807209788,0.019718687227959133,0.31463668535181727,0.1038488024716901,0.09143669436369305,0.6763788125456074,0.3267278854603043,0.033146921803645084,0.007386129151980623,0.0016658077016173127,0.5783828668258025,0.0004375940749181009,0.015791161132534513,0.00044067825288999026,0.18071776275337298,0.7967651408718496,0.04067665409860033,0.5102165231957021,0.3090610179054582,0.31363060387969627,0.697738631864396,0.17823744330393115,0.00012451585989191498,0.2839754852432752,0.17863635965933114,0.0015283055781030285,0.3321253513173701,0.06697175333303987,0.026561194423127422,0.4019824871237855,0.059056166483356515,0.9347099536037606,0.21985068192428173,0.05075048465458503,0.7779643095930155,0.15392522922579321,0.11242901812167047,0.2537101011673981,0.7017905783867655,0.7689053341108736,0.5320132819951651,0.9058219226636193,0.17720204578372034,0.4474862393679876,0.09839967636038269,0.5263851138037667,,0.6433411949247891,0.09902115317409005,0.00014505732902598558,0.02514898785577112,0.15701339530231126,0.3011616483414918,0.9380313017080979,0.05738768086249576,9.792161848934284e-05,0.21743107925412877,0.23958843106611788,
I.11.19,0.00564506682652238,1.0,0.006208439869193759,0.18076012105481518,0.006333579802227186,0.005987630888988723,0.010322100100790972,0.09214918971714939,0.5345841280635599,0.029716927473097895,0.3911628631648547,0.007517909228071796,0.0059145721217142705,0.012235544610402355,0.00729248159830826,0.058134576255230344,0.973943794076902,0.008868212089849531,0.6532190063704877,0.005908431837721172,0.004994355714786645,0.007581624451977922,0.004453233244487207,0.0061515768264607746,0.012189115786689677,0.006375139244607226,0.09958253285858534,0.008769450957455663,0.008785069645350276,0.010638563242940097,0.008262118596873902,0.3842066094920962,0.008571058477947313,0.021596030701352752,0.03668827375925118,0.028603409888655736,0.19108257089866595,0.006470388378851154,0.03763503564768972,0.13340256964559657,0.15719638386206525,0.042242625635227835,0.3063876574820022,0.01212948610873007,0.8716712356416573,0.012361857398911193,0.00600953572563002,0.0061272660306345775,0.006060566818449818,0.006509728568469037,0.006712977039901682,0.0072114524106099065,0.6043299388821182,0.006981077810886308,0.0062818580911556034,0.006793942712531129,0.00919476655023008,0.0059404309510428695,0.0057520474557024,0.008004567670261947,0.08675276937319792,0.09829914926710305,0.2370513900578742,0.006118935912090186,0.007745061821840142,0.18894154255942713,0.005939530935659086,0.006110866226899581,0.12126074743823617,0.456836151125674,0.00796021027092841,0.656181359801532,0.010654739512613353,0.007428944445154407,0.03522892535083607,0.008837154659773664,0.036783804903832304,0.0069336670254162664,0.10606501444628015,0.006120990055874341,0.0061096522915770795,0.005906386754439151,0.006639234188927987,0.6683391156307159,0.0061837187331396405,0.03367978322081839,0.011487293242158426,0.35641735847110523,0.21155207008032126,0.07788343057172224,0.006025597243497881,0.04133931361646934,0.010350099568935657,0.06471251144852938,0.16465454745184674,0.14099154592212573,0.009101052404375304,0.4363198071098995,0.0061856773279552624,0.01640246186601425,0.02591083193597059,0.006336551006715322,0.005999666741895145,0.4354631983171239,0.005986516660674129,0.2130096947116371,0.006001485771687224,,0.653501079542768,0.008119860036331772,0.8235275645380767,0.012038282452456073,0.18223137460066083,0.006977579633551294,0.0056143624553544064,0.016654333589695564,0.009121937702355452,0.007867725516987849,0.006596638276697764,
I.12.1,0.6561172291239088,0.006208439869193759,1.0,0.9349656503588727,0.8508951493501984,0.893408985217195,0.3396009920449967,0.12670939744810558,0.01046251842650896,0.5783951000091808,0.005740354854195024,0.3490192627680291,0.8376536918394512,0.10147605822767788,0.35544415260060347,0.6469237416328913,0.26539005850150366,0.38328952922663906,0.0030795707447984063,0.8332338297120009,0.30196300485312155,0.2861542890103392,0.45394662851690737,0.9970550365933807,0.1443167898796274,0.8224462125711414,0.5483072255402297,0.1947465341407719,0.483737551460784,0.2343149152557457,0.28283906430461486,0.04940488108602455,0.99041572239866,0.0007980296776127992,0.011745575973134597,0.05616077347767371,0.22204996395882504,0.8100572912370071,0.011821006406705633,0.380693774285622,0.015430468221325173,0.0001002301513662706,0.5343114933272175,0.03379437295500805,0.7083533066913623,0.12105189258377776,0.9101707322625505,0.9993069372419708,0.9489107433865309,0.9274433913670392,0.6060807351294026,0.3765857054111532,0.0008552676518564144,0.5402420310130767,0.9067102234042057,0.5560112221100699,0.18058896418526835,0.8573981011228404,0.7247409514015879,0.21714617994462865,0.1141481398441781,0.03608516818309513,0.022767450147811053,0.992890362575572,0.3559237748711702,0.09217062648645455,0.6233592788583611,0.9865962490586065,0.039102400589718415,0.008475560252160135,0.16264115552391223,0.579169229802363,0.018417314561062985,0.31429266224310276,0.0011459447968272174,0.3359521953628931,0.7762975871351161,0.5020182453396762,0.5313582510599711,0.9946257014206068,0.9863680849927634,0.8351377447807852,0.6909901673840867,0.00015699489254429355,0.9606179953886639,0.2079897251272368,0.019767127091168592,0.3323723879979199,0.07407622931291218,0.03307251515279466,0.9224425623940427,0.07447974072909601,0.8856170460066788,0.24189979491318925,0.0574864869494154,0.7672262075536915,0.2965741659547055,0.11430422333673633,0.9569608545572849,0.6764110588382543,0.746018287026609,0.9193547001533067,0.8688507489140956,0.18558950145283545,0.8925910437546822,0.09924685841689479,0.9025427530249707,,0.6434467410542465,0.3054937306632034,0.00017046487017843723,0.0704198267428876,0.16898848487184548,0.6358663958902357,0.6742926971539507,0.09263402470874493,0.04120414423138216,0.4396431487195248,0.7296372907323352,
I.12.11,0.9468769465561605,0.18076012105481518,0.9349656503588727,1.0,0.9303152871030886,0.938198392294801,0.8717780787132653,0.6171552691559536,0.10005391009426287,0.819753865540656,0.3469850789490866,0.9068780732869165,0.9399256377188694,0.8428805480374126,0.9105809181302815,0.8039014055322502,0.35755387964914875,0.8889954548250361,0.2538143493213165,0.9400952206686313,0.9642435431994536,0.9052736277736809,0.991397126663395,0.9348431510201894,0.8453033791002762,0.9294029654904452,0.6835763105491961,0.8863174057293851,0.8929495411008264,0.8646059043432983,0.8948810084890548,0.39347951357486866,0.9342042832870258,0.7561204963666641,0.6910102628785704,0.735057875304246,0.5683049046176756,0.9280201630928728,0.6876606406714336,0.6615335357723262,0.4971338530974221,0.6571938899040626,0.6564415758228868,0.8405795602263717,0.7046851403023302,0.8425455799494399,0.9376787407364188,0.9349571450834235,0.9364974768213972,0.9309254276153038,0.9221199576966477,0.9120889235771259,0.2572471749330829,0.9172498076487565,0.9318170563298526,0.9203932473641994,0.8802648512668148,0.9393156473360906,0.944118132124034,0.8978918191207436,0.6200443199158514,0.5746911690819946,0.44536540968532157,0.935153566280295,0.9034554104037376,0.09821794753487648,0.9897887142715115,0.9353470745270847,0.5489570035450907,0.326932402398746,0.8980439596102837,0.5760044335686093,0.8569804516574979,0.9080019995468975,0.6878459042812163,0.8881944524622478,0.9465089714357774,0.9176662012261751,0.7318508271888059,0.9351001104705177,0.9353510877995911,0.9405494605838454,0.9240947765138858,0.23104167757142216,0.9337165040242279,0.7426599942029449,0.8469408468429965,0.33129066432292364,0.4936730793558868,0.6032088386864083,0.937302213681944,0.6948435801950359,0.9634607582387531,0.6861908074164513,0.5185141260079726,0.8730683909367475,0.883988923703664,0.1528490459902333,0.9336199285479662,0.9295508995136551,0.9445055171465007,0.9316786669326353,0.9423293538458506,0.4473623787323917,0.9382166775563578,0.10693260462044231,0.9380695176023853,,0.6428883300257435,0.8972600723463768,0.12716378520511698,0.8434587777174697,0.5534508493024187,0.9185086387767774,0.9488478163505322,0.8049447619693837,0.8785840377448432,0.9029451886645382,0.9251795698476393,
I.12.2,0.16899519768251522,0.006333579802227186,0.8508951493501984,0.9303152871030886,1.0,0.06613802967598359,0.3430859254082058,0.1297003830155008,0.01062786971403583,0.5905746894342929,0.005854319849067504,0.19565284272530936,0.02562736771944826,0.08682213692579638,0.0742168532394566,0.6563487817716778,0.26725716091160856,0.37973476714263166,0.0031429909923676403,0.05399277417124026,0.026471956193232882,0.07851436735841805,0.4121142367494681,0.719991861146041,0.13379613871937557,0.8756182000947627,0.544933122096606,0.1295960572011564,0.4971898360225654,0.22539072255499448,0.2175494132986899,0.05041765321757877,0.9801850704170959,0.0003125034866595603,0.01098351771252394,0.05571561989006711,0.22596471632108356,0.8858532280603669,0.011102781629086827,0.3866226415021523,0.01570385147063307,5.9433352513906424e-05,0.538966090207001,0.01758191550625878,0.7099705120091963,0.10894168393971836,0.0713206052409342,0.3008298531769804,0.16177633092378102,0.9887897764954816,0.21542325641688362,0.06102314665068327,0.0008693270242180382,0.4203177227309567,0.8985653500194075,0.09831037049930326,0.13229699940269077,0.04199277709663702,0.1790409519763302,0.07544926752893198,0.11687075465462059,0.03679362279178648,0.023262642261362324,0.2975326241269928,0.2709794842755921,0.09244416530819113,0.5977631419115884,0.3033795746129561,0.03994345986004511,0.008655317400549978,0.004087225636373844,0.5794727666604648,0.0015812848479298284,0.06342799085084212,0.0008443663142678578,0.3203365395045396,0.767993031238764,0.17905005579241182,0.538593763813952,0.28060812003910174,0.21486821145581048,0.4074003833527473,0.6349034793382552,0.0001584812487175873,0.5737142534156099,0.21345356748230748,0.004847199201510168,0.33246783536725444,0.07569354400132393,0.03359751825316216,0.08474851373568268,0.07570802537783164,0.8655037083611686,0.24750074623852888,0.058794374775095914,0.7629590178250761,0.2774995737436297,0.11497558473738012,0.4638153094637021,0.665680036926038,0.7366083045198529,0.9511807041595881,0.7494267921468842,0.18822438214415682,0.04838158066431918,0.09956180230074048,0.38509097529168257,,0.643487622698669,0.23838559633080106,0.00017369075082225991,0.0524494410525865,0.17227874418686812,0.6392722527698103,0.41730185894514227,0.08880358750259644,0.00020465012040394117,0.41909250493638783,0.7321762247068938,
I.12.4,0.4507396524456927,0.005987630888988723,0.893408985217195,0.938198392294801,0.06613802967598359,1.0,0.2822423375764482,0.12118870901101944,0.010256518304408591,0.5660770445722705,0.00534935267238977,0.07944331388976338,0.48593204109159227,0.061953957979667136,0.009204887567881416,0.6387634650919816,0.2638402501721832,0.2952858870389152,0.002898804160755837,0.6055428898975741,0.07920710572360146,0.017919030243972168,0.46040361831812315,0.7816751820620561,0.10145157661795759,0.06241288880621906,0.5504752144112972,0.07277039581092513,0.4111195847662692,0.17454927345864252,0.13001289860522003,0.047801538904617406,0.9693666065044363,0.00016873400621216305,0.008726302451576991,0.0468628939110517,0.21753755392115143,0.5168655605136949,0.008857235534341543,0.37478016233836187,0.014128489441454355,3.7666805308811066e-05,0.5305087808852817,0.009755282061693684,0.7071820173114745,0.08072116137039703,0.8035437846513958,0.2528303442648788,0.5302787883719087,0.846069566862566,0.0049201198516275295,0.00456476756625179,0.0007845264156084029,0.1876245834540745,0.5694028869664751,0.0003711008732654391,0.08070999151709714,0.6783639351939619,0.5395560120991125,0.02521295772830428,0.108657736340052,0.03318803573808985,0.0214443947257889,0.32273329533759876,0.15157599656038023,0.09196205940216952,0.6342590252295144,0.4069020495701122,0.03642884079824801,0.008004912225282847,0.00021845229800910657,0.5789533452169253,0.00044413547560133253,0.009365568897260788,0.0005822293058220389,0.23755025317161801,0.7816276450907264,0.02017986643491513,0.524878508379006,0.2598522872681678,0.17108240976697095,0.8429922305615036,0.2661423312879639,0.0001403200023109494,0.36603712428156043,0.19569885002612827,0.0020113199261182595,0.3323046337270159,0.07131746152266333,0.029877133611080423,0.6596226030604229,0.06688834705636208,0.898308851507619,0.23374043129673888,0.05471160745158256,0.770086077155171,0.20332278628745332,0.11375139432787422,0.11251879312951149,0.6827083150837614,0.7518897743658197,0.7620846822488008,0.9130644045096625,0.18285066462668706,0.992314056927249,0.09900552595044596,0.987197434562231,,0.6434178670422555,0.14231436448008844,0.00015882059917458105,0.034352250373875855,0.1647385623876786,0.43132822838716844,0.6373067796625588,0.07076342837717038,1.3731642192954838e-05,0.29660294459230463,0.374331754924935,
I.12.5,0.23224169229027494,0.010322100100790972,0.3396009920449967,0.8717780787132653,0.3430859254082058,0.2822423375764482,1.0,0.22517546400603183,0.014262807155548266,0.7955108999399394,0.01348040558805324,0.5809406412157547,0.270114381224734,0.7163638979883803,0.5319578319788865,0.7974453629506285,0.2948125120910137,0.8218566825876701,0.006612373605717343,0.2693865052670452,0.14683985152637316,0.5924113708634358,0.22706364300758886,0.31537158056038495,0.7500879324051433,0.3507784460166312,0.5051228425942679,0.8268460456642427,0.7963118620267438,0.9307188507999326,0.7299465934779289,0.07869400970190989,0.6545513789235806,0.13023624304534148,0.09865885690932323,0.2410327458779932,0.3039011422014759,0.3755817235648885,0.09608527142360272,0.48881678447814947,0.04145419339698066,0.014945164407829352,0.6063445384922976,0.6649926726087767,0.7311401869491456,0.7209002825770554,0.28585734673676144,0.30612551568122914,0.2946255338067956,0.41178894900559626,0.414623554902393,0.5149218708218393,0.002355879669204379,0.47270354675178394,0.33753978793089157,0.43011698132555554,0.8999102571416104,0.27442346152343733,0.24729575814982613,0.6800427117135417,0.2122840018707548,0.09163909429037628,0.04778182826571292,0.30473646727251535,0.628777528467334,0.0961921116279586,0.39542268882708353,0.30342852554938593,0.08947682313043924,0.01749673278971387,0.6704127225098594,0.5833864306865528,0.8247353491851449,0.5602568718986727,0.04606741301257473,0.8233694897613703,0.6711432371159455,0.4590488550007511,0.6512304297659145,0.305020575217829,0.30293919319600165,0.27379147812677845,0.40439195194693267,0.0005503757716362899,0.3165824467524553,0.417029519706808,0.7169164908013799,0.33369646853281343,0.12414498409184882,0.09596982797522424,0.28856136195432536,0.2152662193349031,0.647066996553411,0.3853442124118128,0.10826809759788747,0.7108567413407247,0.8678003797953705,0.12482738946147769,0.31633122979272427,0.5503035904797016,0.6297740944233681,0.3581820791381324,0.32639176542295756,0.23602763104780394,0.28196173461063767,0.10389597808503483,0.2868720326305349,,0.644011581410882,0.7025796538163405,0.00041047380314926217,0.7089509187282889,0.2456608189497376,0.48008129116433884,0.2408849429838464,0.47956896385118264,0.9092472120388575,0.654163506383489,0.39798668721619435,
I.13.12,0.11281560217963203,0.09214918971714939,0.12670939744810558,0.6171552691559536,0.1297003830155008,0.12118870901101944,0.22517546400603183,1.0,0.05822836925085663,0.47412152525696594,0.2731309102994146,0.1588961502448146,0.11939436733276758,0.27070568166509784,0.15334772336545963,0.6100701604699708,0.4576017970089844,0.1914372834918671,0.13658311043311264,0.1192451083932408,0.09698923493825518,0.16047208097026106,0.08622834941373031,0.1252429707628682,0.26899379293763853,0.13072438102343567,0.3463324012194201,0.18948426373532323,0.189155129704977,0.23320733755608808,0.1770999408172724,0.4244621321122243,0.1791431609764347,0.4723282478300508,0.6989405797400381,0.5682367095529539,0.8428799476949307,0.1330982784547994,0.7109186255854476,0.9414135499515,0.6322363213236278,0.8024189861553435,0.959968408215427,0.26946838693381026,0.8357800323278584,0.2731925620043301,0.12172657853600774,0.12462145993485503,0.12298134229244,0.13418311551993656,0.13905172675123686,0.15134931686340436,0.11767477154334748,0.14567434278913804,0.12844326166656708,0.14104789831099557,0.1997346990223161,0.12002956324455992,0.11542632649866055,0.17086764224399464,0.9876966674002282,0.8770329639847682,0.5047601741983176,0.12441685116033811,0.16446131551967538,0.11645216224681154,0.11962564742573267,0.12421881960281202,0.7947352893400864,0.25205790993669486,0.1698033835013564,0.6024133671276056,0.23527099243084632,0.15671198063212946,0.6969470156477603,0.19082900590824578,0.33985661930574107,0.14449751927766383,0.7985169574670956,0.12446703040009736,0.12418764014181297,0.11922052135637609,0.1372460676293533,0.07517004031458692,0.12601286877908213,0.5924461265625919,0.2548733793669551,0.3396543574812413,0.648896549718285,0.9743337320970387,0.12212123334145283,0.7146312677811821,0.2023484660601598,0.8051532796423758,0.7088625601721817,0.49367025587853197,0.19719386650795093,0.18424854122273338,0.12605835026832418,0.22812493818602614,0.2920018168645774,0.12983593048522926,0.12172500531787243,0.5815461387560439,0.12116085634165526,0.12749309385843652,0.12154083026765515,,0.6465329503622403,0.17362610291546163,0.02226664583874065,0.2667551442588625,0.8086094158343011,0.14560181390832164,0.11215183143345783,0.36357972687774875,0.19829648830516544,0.16740277631795378,0.13620234595997713,
I.13.4,0.009874164733301988,0.5345841280635599,0.01046251842650896,0.10005391009426287,0.01062786971403583,0.010256518304408591,0.014262807155548266,0.05822836925085663,1.0,0.025180846835123193,0.19142209911512034,0.011834642140481536,0.010177022197385309,0.016016047082224937,0.011619272805680989,0.03799606652957908,0.6721410590029846,0.013031995683623322,0.31648044845517526,0.010169929227782523,0.00913421604251152,0.011906098791419252,0.008093270092571828,0.01042596530223664,0.015932302310794295,0.010671875238697838,0.05631924438466549,0.013026165358095152,0.012901034676529697,0.014604853196900936,0.012539159342720818,0.19064763069342971,0.011979282180072054,0.023275190489827714,0.032485515803526,0.027268624668264928,0.10125209642004115,0.010760240112029949,0.033028367463762,0.07398541015353934,0.08935290259952045,0.03626506074702345,0.16324128848177116,0.016011672299932667,0.714741072767761,0.01609467788754585,0.010280383572054982,0.010407434132218039,0.010335482102761138,0.010735520624291913,0.011027209339661125,0.011538466180483365,0.2884812326283404,0.011292594963212953,0.010566733578095663,0.011112035253246836,0.01341098635391193,0.010205136595718102,0.00999433943772727,0.012317997150502863,0.05594791753652174,0.06257234115909835,0.12360522337889511,0.01039837856102975,0.012045387379486584,0.24684846499565932,0.009094389927018314,0.010389550849189707,0.072795980656591,0.22200475735079933,0.012286989286032956,0.6883563314852681,0.01478528832457355,0.011756067173135583,0.03197334047847162,0.013029336115546655,0.023731500738010274,0.011253820803534004,0.06046771590507091,0.010400697733476044,0.010388653182603659,0.010160865956362494,0.010942767107941466,0.3167312185901795,0.010467245253680504,0.02928711711564268,0.015496864688723189,0.36641925197504654,0.11163467642179345,0.05318346878420388,0.010297806108533914,0.03433849252594827,0.012484072287215516,0.044396618265658515,0.09138606182966587,0.07856556064509128,0.013276629941417104,0.6472512850031915,0.010470243731404635,0.013909888928724305,0.01866392810089588,0.010606107848486099,0.010194958459235183,0.22404429526893813,0.010255442632959605,0.2818828035146713,0.010268218797595126,,0.6575539404019648,0.012402998908687844,0.6216906959682456,0.015891503976659192,0.09765509596592772,0.011267285728620319,0.009820350835722509,0.01935743321404568,0.013401952307956584,0.012133110902196386,0.010895025336783383,
I.14.3,0.5402978938154235,0.029716927473097895,0.5783951000091808,0.819753865540656,0.5905746894342929,0.5660770445722705,0.7955108999399394,0.47412152525696594,0.025180846835123193,1.0,0.07639059320997683,0.667181144658058,0.5607892033316488,0.8942624644895446,0.6542664760870961,0.948895685388558,0.3338057909954484,0.7328719019668324,0.03555266478797596,0.5603017354422837,0.49003902809976907,0.6720660447627613,0.4121619292018781,0.5769894840023633,0.8865758473678431,0.5934520101554348,0.4766989210789512,0.7380317513190662,0.7220019262780253,0.8182856342958598,0.7088742827388239,0.17359294974236758,0.6305284018488103,0.7913717841704822,0.5865218350073205,0.7314500852834818,0.456969878279464,0.5986792452514968,0.5769135885605878,0.6453833685872208,0.21348667645724742,0.47003606790452335,0.6915242340954211,0.9007837462426922,0.7535852718964481,0.8960366460876958,0.56766568741931,0.5760753496107134,0.571313910016696,0.5941735211669725,0.6165765837580772,0.6492254301997766,0.02513254416545879,0.6330522489875889,0.586306060285736,0.6220819078399324,0.7595764427757681,0.5626584192698394,0.5484230689922341,0.6971715777285759,0.47286037521998425,0.34588514166000484,0.17541694757945286,0.5754732960854237,0.6794277181627416,0.10074477484489024,0.4573474396612851,0.5748841936472069,0.3099338441342417,0.07532864079670801,0.6959963799033438,0.5873829216236452,0.8401929299195416,0.6628351388312615,0.5661018190061315,0.7343819188893591,0.6141850772867942,0.6310638594470344,0.7946964002567138,0.5756309351503295,0.5748413813496209,0.5594394558711535,0.6107663632492542,0.012896286755730806,0.5799888885585911,0.7721669397115403,0.8769347109714427,0.33494506022021897,0.2774940793029849,0.39307505152922073,0.5688224912064934,0.6197707055719175,0.6037697596374028,0.643956172307938,0.28878700026936294,0.668891030203767,0.7487440668401173,0.13890448973159464,0.5802235699490953,0.5115122266534311,0.5769254802361297,0.588086149481287,0.5591377927304044,0.3281522237417229,0.5660107979704271,0.10921990388306278,0.5667240576435929,,0.6445368428180752,0.7007427420026355,0.004111029854424352,0.8912825898778376,0.40948502830329137,0.6303703178978418,0.5360102479773389,0.9680271197341532,0.7629555890471527,0.6829524798179958,0.6075287240956773,
