,I.10.7,I.11.19,I.12.1,I.12.11,I.12.2,I.12.4,I.12.5,I.13.12,I.13.4,I.14.3,I.14.4,I.15.10,I.15.3t,I.15.3x,I.16.6,I.18.12,I.18.14,I.18.4,I.24.6,I.25.13,I.26.2,I.27.6,I.29.16,I.29.4,I.30.3,I.30.5,I.32.17,I.32.5,I.34.1,I.34.14,I.34.27,I.34.8,I.37.4,I.38.12,I.39.1,I.39.11,I.39.22,I.40.1,I.41.16,I.43.16,I.43.31,I.43.43,I.44.4,I.47.23,I.48.20,I.50.26,I.6.2,I.6.2a,I.6.2b,I.8.14,I.9.18,II.10.9,II.11.20,II.11.27,II.11.28,II.11.3,II.11.7,II.13.17,II.13.23,II.13.34,II.15.4,II.15.5,II.2.42,II.21.32,II.24.17,II.27.16,II.27.18,II.3.24,II.34.11,II.34.2,II.34.29a,II.34.29b,II.34.2a,II.35.18,II.35.21,II.36.38,II.37.1,II.38.14,II.38.3,II.4.23,II.6.11,II.6.15a,II.6.15b,II.8.31,II.8.7,III.10.19,III.12.43,III.13.18,III.14.14,III.15.12,III.15.14,III.15.27,III.17.37,III.19.51,III.21.20,III.4.32,III.4.33,III.7.38,III.8.54,III.9.52,test_1,test_10,test_11,test_12,test_13,test_14,test_15,test_16,test_17,test_18,test_19,test_2,test_20,test_3,test_4,test_5,test_6,test_7,test_8,test_9
I.10.7,1.0,1.417893720813132e-13,6.058449773826553e-05,2.163445317202562e-07,2.681666151759565e-11,4.2834820950170627e-13,0.77042045999741,0.4379551706321977,4.6966859283100226e-08,0.24996523804824491,2.617079541632978e-11,0.043981042133008574,1.2086226671949634e-06,0.0007795299039849016,0.10525581713057583,1.0323661208772288e-08,3.0830081156631e-06,0.010147849904014801,2.098438898629867e-05,5.3062807795039834e-14,2.405324515145441e-06,0.0003885702557043392,3.6478090630663155e-06,5.8928483532343505e-09,5.836716068342309e-06,3.239379577509858e-11,2.5372870714319445e-10,0.007930276297396453,0.005738369285746552,0.00824693790333392,0.5153245672943679,1.19765718913831e-06,1.098389538384746e-08,0.03688197485013982,0.0002479516527563112,0.003391470349504401,1.5336245459339787e-09,0.9198202341977492,4.8435723424557464e-06,8.295275731485545e-07,0.01843330731679571,5.518109167411934e-05,1.7148622684891557e-08,0.0033121019503803808,0.01749121119242895,2.6247951187633754e-06,1.3136502361417276e-13,1.4968598344117525e-12,1.4216379548166144e-12,0.0041332416443032455,9.64481499343839e-08,2.9873136090419634e-05,1.930244947301031e-13,0.22987996753876225,0.0003706054955921049,5.4501233405821477e-08,0.2571970583978267,2.889821860057509e-13,0.9114092927654207,0.14561154586968608,1.283358381123101e-10,2.8109463896234007e-08,1.9023752433471466e-16,8.811322386244733e-12,0.08932089090651055,3.1600399927872985e-06,0.9971558978007224,2.4871699297477644e-12,1.501823306290338e-05,2.4278503322996377e-12,0.0017110285977776545,7.130214178293343e-14,0.6870361373332532,0.0005227674270296513,3.0740035389311514e-08,0.01412103987948246,0.0062810795434363655,1.2193099007243459e-05,1.2300533779554534e-08,1.8940490550602017e-12,1.5632580894662387e-12,0.0008924694364005441,2.2688467829351645e-06,1.4351410221340818e-12,1.4488297828519228e-10,1.6915460039053086e-05,0.17741048961825667,3.8247315304932525e-11,1.769274628499866e-07,1.841963376772482e-06,2.4136123505977524e-13,5.519195211295639e-13,0.0002113251745271264,0.11065215977857622,4.045482072088008e-12,3.725159570082502e-09,0.00016503386698902515,5.613829680780304e-06,0.3197482423128932,4.114809469450734e-08,0.035148357783055355,0.3381781963674302,0.06818470944172597,3.4484993167543056e-05,1.0344686784112373e-13,0.7717617412141041,0.3459215693716716,3.2319418402420366e-07,3.9158082938792825e-13,0.8534350468513147,4.674391010260817e-10,1.1261302753725228e-05,0.006592063011906178,0.9625360917736352,0.020730813435543862,8.03538093682174e-05,0.08236938398755679,0.3829012766445944,0.9581572220542772,
I.11.19,1.417893720813132e-13,1.0,4.5041017332834404e-14,0.12553412495507343,3.756156440588721e-14,3.3290901555450057e-14,1.4097903985263775e-13,0.27116337575251576,0.4394419015901636,6.132134506941794e-11,0.004180575579820513,8.039509910593321e-14,3.055449050908264e-14,1.3615902528187666e-12,2.175949252311231e-13,0.003422810873758615,0.09033812916068787,6.01572688219439e-13,0.0019489610914038586,3.087854610467602e-14,4.6826876124231773e-14,5.925432399468795e-14,1.5556431863342167e-10,3.7512770870469824e-14,3.3710535852658465e-11,3.734958477280219e-14,3.993088843914562e-05,4.4537039680307065e-13,1.3251444417019096e-12,9.011909928008927e-13,1.1422153266541166e-13,0.004967922013539783,8.652533997011293e-10,8.361663952539745e-13,3.885613363493987e-11,1.4084870931975378e-11,0.020476211440014287,1.393553296765632e-13,1.1522364535962623e-10,0.00431064218057093,1.5950507697180204e-09,7.738765138254192e-12,0.805035723631235,8.481102252444371e-13,0.5039414328951286,3.4256060441601337e-11,3.1998943198481806e-14,3.4636112274987594e-14,3.457618162834502e-14,1.0214472108208186e-12,3.7644623411052735e-14,5.647015977084023e-14,0.015692150291344,1.0340058611160872e-13,6.58097945593745e-14,4.7909069278825315e-14,3.140031066246393e-13,3.275710058427026e-14,1.44917396396873e-13,9.250310655387879e-14,1.4670309899545904e-05,1.0135165809392148e-05,0.2342174262014066,3.6739319875099987e-14,8.270478837488406e-14,0.0002711848111139051,6.135371057017967e-13,3.505241975174303e-14,1.245324077586569e-06,0.042780726174557915,6.781005272841467e-14,4.3552034887871285e-13,1.2597419259719345e-13,6.335389386754494e-14,3.085026960074887e-10,7.176283218691284e-13,0.00011605010164009261,5.737647351472259e-14,0.009427434078290577,3.4947566159282214e-14,3.487591470062545e-14,6.339586540459164e-14,4.1378513876474895e-14,0.0014298376543992598,3.973376138407229e-14,6.74762391173797e-09,2.656496585658605e-13,7.824962757114577e-11,0.00012904361199379613,3.06132991923173e-05,3.270915859678913e-14,6.27356676548269e-08,8.00504797546998e-08,5.684730071656135e-09,0.11204888824384701,0.4806159492455193,1.506782208813297e-12,0.02528422958575664,0.3197405791604341,0.7666245385797792,0.0001714006636795588,1.9178466541936757e-13,3.6568832069343603e-13,0.00837438733518988,3.177561576988235e-14,0.23732657821220224,1.0314857441919018e-13,0.6511204386176972,4.814671744236999e-13,1.5312394158612292e-13,0.09031797919354173,3.0493143890239e-11,3.7870522198195474e-05,1.4300234109591998e-13,6.841466263392452e-14,1.0537812562156856e-11,8.872569133283308e-14,2.10047394986395e-13,1.4393227937949192e-13,
I.12.1,6.058449773826553e-05,4.5041017332834404e-14,1.0,1.3694069400985238e-07,0.4654039692168346,0.20173986331846505,0.3217465172480367,0.4431629802992395,2.5587521864081712e-08,0.11419224768230561,4.981612926662379e-12,0.06896600413438425,0.24717551028854115,8.977092489755032e-07,2.911628612058118e-07,2.614847951565215e-09,2.1775233574197055e-06,8.068979341856247e-06,8.087384583961276e-06,0.10902334817830117,0.8595197883601068,0.3172797628498993,9.251701371426362e-08,0.5055233283981047,6.55359277079534e-08,0.4538073245876365,3.2474046344016056e-11,6.03803563360391e-07,3.431236989697711e-05,2.5263379579567117e-05,0.023210467405250026,4.106030418758911e-07,1.9644731198912082e-10,0.000506966802203829,9.875528241387658e-06,0.00020337033426378928,4.1608970521045976e-10,0.001842461223760677,1.1298607523979182e-07,2.7525216676975946e-07,0.005733550317247952,3.3832262132464217e-07,8.368822889106733e-09,3.012900395637235e-06,0.015488918207899003,2.34624157380356e-08,0.14635713454224436,0.27210727316462635,0.2687650740288018,9.086695111430915e-06,0.5355282745030776,0.3575099180900495,3.4374180374632266e-14,0.006076782066138534,0.12530202780384023,0.7475378276382565,0.0036477282873569944,0.17865086838598793,1.4796134952209789e-05,0.03163222005682492,1.379324070620213e-11,4.273107265562283e-09,3.8052794806443997e-17,0.403198139793305,0.09209952627652854,2.7860316617635016e-06,0.5488255340425441,0.29786451162968874,3.2059948022629934e-06,5.378568660196436e-13,0.12565476639602438,6.792974403236755e-14,0.00618302436020973,0.19357556801749592,4.0113503621184124e-10,3.7530394326465586e-05,0.0032788192434344797,0.2986150343918971,3.443804203467232e-09,0.28943225298569214,0.2835254334659877,0.20976376644475547,0.7826078755718782,2.1088237433224963e-13,0.6287972099160455,1.8175673458354836e-06,0.00018787693559452822,3.751790872697929e-11,3.9876465231161166e-08,4.358302282216361e-07,0.17478929182393008,1.318857646385865e-14,4.658708443269097e-05,0.055116318369030394,1.0240682855792946e-12,1.4736542424760492e-09,7.582843612122582e-08,4.298473415940449e-06,0.3197484487180359,1.912933435287034e-08,0.021998463784809994,2.5069814224569766e-05,8.17463947186742e-05,1.5068261491105193e-05,0.13753329109181078,0.7904050459925029,0.03806951145479364,1.8097636004398446e-07,3.894087173185001e-13,0.0008356492064709837,1.3967114828443901e-10,1.4342703011454896e-07,0.0032946284852861693,0.004698340507028586,0.23946926602711477,8.14693350644418e-07,0.02741772655022987,0.0006075158223236934,8.274277112407684e-05,
I.12.11,2.163445317202562e-07,0.12553412495507343,1.3694069400985238e-07,1.0,1.276867909858242e-07,1.2168716371345755e-07,2.0549672811434246e-07,0.21562016795670386,0.43103612213299203,1.130756559568706e-06,0.002175909227975442,1.724722220972586e-07,1.1719023598822481e-07,5.158733602043735e-07,2.562229874495277e-07,0.00175929819011741,0.7250671748254562,3.774559731089139e-07,0.0010303466716801457,1.1807977906006135e-07,1.392875648192023e-07,1.5293527317925353e-07,2.883273080243264e-06,1.2751817855388305e-07,1.6867519236794442e-06,1.2739189766762814e-07,0.0002764507863299837,3.3780134637575703e-07,5.045663069247925e-07,4.380133528749432e-07,1.9761239840253888e-07,0.001874727761505715,5.584713220074872e-06,4.203137586452868e-07,1.6852871908237507e-06,1.136835930950207e-06,0.004796782917827246,2.1425554665358383e-07,2.5912795355995672e-06,0.0017588532248093418,4.030656987350695e-06,9.830778872669163e-07,0.21528999037197044,4.3059079407254436e-07,0.9483105211569931,1.7078748513865587e-06,1.1977751426785565e-07,1.2362692883491585e-07,1.2354142541950507e-07,4.60418898847017e-07,1.2762856045769603e-07,1.5013496714725461e-07,0.004590815968669132,1.9072727113432525e-07,1.5959028730740488e-07,1.4069058504038e-07,2.903653707090287e-07,1.209017795474732e-07,2.1834657985260894e-07,1.8226685456081946e-07,0.00019054016547862682,0.00014586093249796075,0.026817408699894043,1.2657209500841644e-07,1.741728268123223e-07,0.001911055962717976,2.773429421129548e-07,1.2421533909225734e-07,5.406111034771981e-05,0.008017314443542468,1.6141963743182338e-07,1.0084625935138228e-12,2.057347346384126e-07,1.571233523831249e-07,3.850606464869917e-06,4.0183724397370604e-07,0.00017562922201382847,1.5114261640736205e-07,0.002979283326628664,1.2407049044749931e-07,1.2397160991423056e-07,1.5712099970302566e-07,1.3249118175361928e-07,0.0013646416520038216,1.30584595519753e-07,9.698303227261604e-06,2.751741807148827e-07,1.0779508441564423e-10,0.0003696528314099577,0.00019039473320123845,1.2083399915030566e-07,2.794290712875993e-05,1.8851125513623942e-05,4.0401978398204244e-06,0.015138280395972469,0.05522949391893915,5.387072644654531e-07,0.2759346779849867,0.3197372389326843,0.10398411475098848,0.0001602452661747194,2.4336887640808003e-07,3.1118594442933196e-07,0.0022347348476458077,1.1944338016538694e-07,0.1244769744459211,1.8985980656058625e-07,0.3139816274871005,5.27186405790615e-13,2.223826595793159e-07,0.012667697822001452,1.6183972609136483e-06,0.00010978015956760882,2.1604331420770693e-07,1.6155343315599337e-07,1.093565178260127e-06,1.7943761120738248e-07,2.511030793885513e-07,2.175683283256299e-07,
I.12.2,2.681666151759565e-11,3.756156440588721e-14,0.4654039692168346,1.276867909858242e-07,1.0,0.024195236929306776,0.22654259579660607,0.4439178495275895,2.3282064949876303e-08,0.09958846222924728,3.762732632673983e-12,0.0016228891877899797,0.38624208478515176,8.80988402890401e-08,6.278484440312926e-14,2.074193090492053e-09,2.0659409675826156e-06,4.632775218453275e-07,6.915400086149698e-06,0.0006055591911670943,0.17448937706604178,0.012801857319624018,4.082632938261602e-08,0.9661032179646961,2.197046549483121e-08,0.9375486272562076,2.2553495042313158e-11,4.051887926289509e-09,7.2952565796751035e-06,3.648565372599054e-06,0.0016525360291153935,3.440018593146923e-07,8.194088878927214e-11,0.00014374978681348287,4.82663008786984e-06,0.00010958920431627268,3.3489837721812147e-10,1.2590041995139767e-05,4.8458683204687966e-08,2.292405159523331e-07,0.004665445879201321,8.628590975385072e-08,7.476284689065384e-09,2.2211422305261365e-07,0.015213427333841067,7.33477487804223e-09,0.002396970175429331,0.15163208519947594,0.14276898875196561,1.1474924387170552e-06,0.9740179653018148,0.0037650342118218222,2.5844105742144082e-14,4.899897143085337e-06,3.801624271054045e-05,0.006725111800557092,0.000833876026970186,0.014343891472226856,5.843271832398221e-15,0.0006082834867803924,9.245834391229614e-12,3.052070213919826e-09,2.9612091045965695e-17,0.7093590169701816,0.00724346102628701,2.7349355556964065e-06,0.4896378773513097,0.2557107618880795,2.4403205285200525e-06,4.1941658161223795e-13,0.00048259665825711474,6.745386025759868e-14,0.00012069390602918205,0.0013470943993845413,1.505554546871182e-10,4.718230304192614e-06,0.002953780538636998,0.00023232474240989718,2.7842842226942034e-09,0.1970787729448566,0.15302682093715217,0.003414380733281653,0.6527543118901544,1.522602476718153e-13,0.4319766650806557,1.1839883112756744e-06,6.148102272538656e-06,3.7413449189946134e-11,3.0837146695525197e-08,3.3962425250240937e-07,0.0074266161392444255,6.485315950980823e-15,3.557103423050136e-05,0.04905479684050968,8.178859162920619e-13,1.269982653494745e-09,4.728853512365671e-09,4.130007659990143e-06,0.3197484785450329,1.6944714795280404e-08,0.020433148322050503,6.22382148775415e-09,4.331300725683931e-06,1.3179812535573464e-05,0.0012208102735314587,0.7931072796629257,0.003028328159919525,1.6538325243338497e-07,3.8909567221849635e-13,4.2126892955621505e-06,1.1454795596563842e-10,4.9811840259229965e-08,0.002944968822091794,0.00015847701223021553,0.036251567946598735,2.5187149551318837e-07,0.000152448428137939,1.8861518030422935e-05,2.953091094213708e-10,
I.12.4,4.2834820950170627e-13,3.3290901555450057e-14,0.20173986331846505,1.2168716371345755e-07,0.024195236929306776,1.0,0.17810554963799996,0.4444618764631205,2.1837118381322765e-08,0.09070089520391565,3.153026040074973e-12,0.00022560494473825002,0.6800703962891146,3.427084267419412e-08,1.8408505077776426e-15,1.7905551198005004e-09,1.9917878778214717e-06,1.514636999127273e-07,6.241034404830949e-06,0.02339001347389255,0.028290005892204907,0.0012681292889622612,2.666703770963008e-08,0.39747139758728856,1.287754894923267e-08,0.06479901427083407,1.8076741022684287e-11,7.879443329263987e-10,3.5854853729668183e-06,1.573065231224421e-06,0.0004583490150019372,3.0668725836881393e-07,5.2082321458581233e-11,7.7470883677821e-05,3.2874903612247707e-06,7.771992358342615e-05,2.914149132652243e-10,1.7781142983399966e-06,3.1284310535545776e-08,2.0365598935732217e-07,0.004082231232131143,4.575652975825717e-08,6.930491143718829e-09,7.882002647989745e-08,0.015020278083337344,4.188349195335544e-09,0.11362252426169751,0.2349333212895311,0.25487077663597607,4.7664343859953616e-07,0.4968037061054522,9.700373736586336e-05,2.152984821032583e-14,2.742035173697329e-07,2.474765524017419e-07,5.6368667003441005e-06,0.0004039266373999749,0.6078390687102939,3.187158750703259e-17,9.063580751318767e-05,7.270663241633678e-12,2.4880637774123397e-09,2.5020520529387047e-17,0.00814556838512412,0.0017866378929373332,2.699206464586894e-06,0.4508431027128431,0.20321113557744752,2.060117954865759e-06,3.574903077278725e-13,1.7831485769902624e-05,6.71147072806221e-14,2.2251357339520174e-05,5.260448032362397e-05,9.184021364618401e-11,1.93737125841167e-06,0.002752077129970201,6.244805474877766e-07,2.430053789413367e-09,0.13178467325475635,0.05562749707383071,0.00023213975856114708,0.2712339050232226,1.2415982429093847e-13,0.0018080580408903508,9.21731346866224e-07,1.6085249280901153e-06,3.733859644023674e-11,2.6254410773006096e-08,2.9045071690391207e-07,0.44193734575097565,4.337243021463842e-15,3.0071118843235976e-05,0.04530660106791762,7.071451026467222e-13,1.1511159095995189e-09,1.6344924069297636e-09,4.015951964077645e-06,0.3197485000062909,1.5624821521951167e-08,0.019416125818101485,4.828787945854226e-10,1.3389766160690735e-06,1.2059714119157096e-05,0.036731415983096205,0.7950546057803604,0.0008438214345788214,1.5555856255304912e-07,3.888706819744012e-13,5.747830812734657e-07,1.0074886356081249e-10,2.9587578672632977e-08,0.0027302286570948797,3.660092260392106e-05,0.01080397784660418,1.430697483052186e-07,1.3309092124332916e-05,4.676363367998818e-06,7.252970938536536e-12,
I.12.5,0.77042045999741,1.4097903985263775e-13,0.3217465172480367,2.0549672811434246e-07,0.22654259579660607,0.17810554963799996,1.0,0.43913337670343844,4.480821583928767e-08,0.2345978062849603,3.3903296079583386e-11,0.7264035262968351,0.15874416395801547,0.023550615926111663,0.4438444512355143,1.1995885586671757e-08,2.9386408143994575e-06,0.10503539318747032,2.1249733865088753e-05,0.1523580845461322,0.3398645277549823,0.49057345593161306,3.175900103115651e-05,0.22839386864806355,0.00012099097721262972,0.2242520416895078,4.457624644643771e-10,0.1504760979612713,0.039804984398506146,0.06416362510819118,0.9855145545002755,1.2521618001296646e-06,2.2808393793201442e-07,0.10491094985364442,0.0009810201644580997,0.00794318436263024,1.715155671436779e-09,0.8043514556719938,4.5261957974114503e-05,8.759916357275099e-07,0.01912137941699054,0.0013610247728607677,1.651717196697444e-08,0.0571968386357463,0.01708082673368553,7.951791956289303e-05,0.16412377729509595,0.19301782792180522,0.19234880770431365,0.04780487953816889,0.2314783061988978,0.45642571117395736,2.4353531902184537e-13,0.9462569083900162,0.5675080091134551,0.3509482744926208,0.3652976022019828,0.17234036649633752,0.7476890638039727,0.8442463611680967,2.613912969187874e-10,4.433595090338451e-08,1.977414615416871e-16,0.216848662883312,0.7470123175855052,3.0839731288163487e-06,0.9036328218034846,0.19775854146188693,1.9088035937791667e-05,2.8273353717248883e-12,0.590590518721544,7.055777603601564e-14,0.8938962947913395,0.5388451684220689,9.580152842305585e-07,0.09172683989282404,0.006007560958736932,0.4669698049975798,1.3697913867998397e-08,0.1964874599157949,0.19561308536013547,0.5394311621584756,0.27616178643294653,2.1205530873298892e-12,0.25196094245692935,3.357329032796475e-05,0.37806282094716026,3.808498934197047e-11,2.194066635620282e-07,2.2321878650782835e-06,0.17174353378857668,9.158311477625907e-12,0.0002603572537940592,0.10472751249043276,4.465682678081542e-12,3.7090608887860575e-09,0.015259379605204276,5.38204966006248e-06,0.3197482887548375,3.9944630701282055e-08,0.03329034901655422,0.5438817005293011,0.24294651824307995,3.398067636290329e-05,0.1617218257481418,0.7759801180032933,0.9291102330336913,3.082259043332959e-07,3.910932943105235e-13,0.7266377738337796,5.007795200700428e-10,0.00018523412558132463,0.006328782900722535,0.7950952037124119,0.596459017110092,0.001187900332050297,0.8110291245461156,0.5151891690984518,0.759746717596002,
I.13.12,0.4379551706321977,0.27116337575251576,0.4431629802992395,0.21562016795670386,0.4439178495275895,0.4444618764631205,0.43913337670343844,1.0,0.24733781836484597,0.4244804969525173,0.3330020503072798,0.44054632869838883,0.4449419164267139,0.42832522809339735,0.4360399397755753,0.3376932198547222,0.19965454233014288,0.4317984108966305,0.34908516695461256,0.4448033291698418,0.4429478663563784,0.4418929042245078,0.4095743273881115,0.44394535513034195,0.4153282892425625,0.4439448714857793,0.3581529054526297,0.43297664483044884,0.42869838985893827,0.4302119824288776,0.4390485234976108,0.339722931582326,0.40189589645094714,0.43080838295186097,0.4157945717036504,0.4203411460231493,0.3243710286943928,0.4381035182429578,0.41073966488066216,0.340194354712818,0.4097619079144921,0.4212679463417317,0.2643857751165905,0.4303336696576866,0.22690002716537866,0.41513219110971933,0.4446411052339344,0.4442828586388796,0.4442906989658405,0.4296346430701897,0.4439438614418024,0.4420922352068034,0.32224679714136684,0.4393959724650158,0.4413978723123996,0.4428204010331338,0.43485887706261594,0.44453549794150204,0.4378430059052649,0.43992678204277313,0.3622611238616067,0.36657527707907933,0.29597628001558157,0.44401610784945933,0.4404553677879395,0.036088472494759924,0.438032735219108,0.4442294417120738,0.3796631191924761,0.31538431812466594,0.44127622098479957,8.848552397614347e-10,0.43857182980533105,0.4415809641311138,0.40602014145941,0.4311603266158762,0.37598371048454216,0.4420112331917345,0.33134025427933,0.44424219012836186,0.4442508676280199,0.4415852207406472,0.44352540354458514,0.33809891697209304,0.44366360307454633,0.3972350568468691,0.43532412884179383,6.039568445915588e-11,0.35699912192924976,0.3653964414775196,0.4445414616212928,0.38330333751392565,0.39171320600172166,0.41343052886470166,0.30664667725432865,0.28950645588833634,0.42779238468443714,0.16111343181289073,0.3197664077060921,0.2797988407386497,0.3828850639326553,0.4366442788778421,0.4339627655572941,0.34102734130582213,0.44467266745234246,0.5280970718616829,0.4394970343070277,0.2572022932198445,2.7534243419697296e-13,0.437682137750001,0.3108404678869679,0.4158265555951356,0.3801554757218958,0.4380347221039559,0.44130581628272403,0.42016579273797217,0.4400914155504866,0.4363491304280932,0.43789527677014384,
I.13.4,4.6966859283100226e-08,0.4394419015901636,2.5587521864081712e-08,0.43103612213299203,2.3282064949876303e-08,2.1837118381322765e-08,4.480821583928767e-08,0.24733781836484597,1.0,5.113455850117481e-07,0.006962839179408243,3.477373553762338e-08,2.080930714871296e-08,1.5023030057458778e-07,5.881788489643246e-08,0.005555268856851404,0.2876960132323563,9.895829484924345e-08,0.0031362201117696624,2.098046738101912e-08,2.6151601672058704e-08,2.961852060870487e-08,1.5105672839798011e-06,2.3251472475330798e-08,7.345652963515222e-07,2.321123444200789e-08,0.0005736186866493996,8.514346934056081e-08,1.4651298799426598e-07,1.2102415677921461e-07,4.173744378887533e-08,0.006144041935025207,3.5934574253054913e-06,1.1510261526633612e-07,7.457503313308003e-07,4.4397839990043514e-07,0.0173294888911158,4.6428205172406925e-08,1.3095783664689899e-06,0.005693386011522791,2.697978372296946e-06,3.567967472447294e-07,0.6273221464425367,1.1800167764555432e-07,0.7241997003932512,7.453162293327214e-07,2.1382388166672913e-08,2.2301576868674418e-08,2.2281059742821076e-08,1.2926156599093142e-07,2.3285094254499933e-08,2.8889010127696412e-08,0.01623401580905364,3.973772030072161e-08,3.1331314117381864e-08,2.648956113590886e-08,7.004955504871743e-08,2.16500070612155e-08,4.753251088810505e-08,3.743294290485484e-08,0.00035741031608852716,0.00026241039518984003,0.10732985512555711,2.3011171366118052e-08,3.525583450498392e-08,0.0006460453846673304,7.267877725388134e-08,2.2443206952985047e-08,7.735906306286044e-05,0.030217254959295812,3.181837393917709e-08,6.176755847562411e-13,4.400235987428063e-08,3.069591196771604e-08,2.1929258341323816e-06,1.0781634494965315e-07,0.0004145357637865432,2.9141829502883774e-08,0.010206170896566549,2.2408022224105375e-08,2.2383984922742382e-08,3.0699749812375376e-08,2.4477206456652582e-08,0.003981538922247387,2.3987631631390586e-08,7.836152942151318e-06,6.488536143254554e-08,8.93317060230907e-11,0.0008608691520323023,0.00038301011942765085,2.1633562538930116e-08,2.9437225697711306e-05,1.989235392353443e-05,3.0613392679477274e-06,0.05945289589321369,0.2066581992959041,1.5888654725432393e-07,0.08649039164568385,0.31973920816387724,0.3520450319881919,0.0004041199142782435,5.496885507223669e-08,7.649807721359573e-08,0.007692714409433943,2.1302999118271027e-08,0.18454121417503916,3.9567030878154244e-08,0.7960873393130562,4.99766131992204e-13,4.878539302339218e-08,0.04931860525662366,6.961186543851008e-07,0.00022882119588520978,4.6986509107811453e-08,3.1897566941328135e-08,4.124877043667139e-07,3.664567983087032e-08,5.742503326792725e-08,4.732724551671658e-08,
I.14.3,0.24996523804824491,6.132134506941794e-11,0.11419224768230561,1.130756559568706e-06,0.09958846222924728,0.09070089520391565,0.2345978062849603,0.4244804969525173,5.113455850117481e-07,1.0,4.766157275559429e-07,0.17260435833525145,0.08482512583720482,0.7421765226285165,0.3224225218117247,1.144201547222628e-05,9.960826622235406e-06,0.5335398206349327,0.0010156623121794462,0.085497959971324,0.11759961687954013,0.13959336652104368,0.24848466883781314,0.09948228999227741,0.4660379542527743,0.09915612370258028,3.7447130133551066e-05,0.46762148337656384,0.7216435787826685,0.6275252571433358,0.21696235245223994,0.00013732812392446323,0.07944913401983705,0.5968931578211221,0.5041955409183552,0.7531684263667404,1.3546474790759523e-06,0.24647252139961479,0.2852277541514768,0.00011723611574936142,0.3693436554911096,0.7977876937239946,3.3956987678866755e-07,0.6181159467876314,0.024652399564543955,0.45454491969081956,0.08793151921772589,0.09354357126535723,0.09341779515393772,0.6616750304392245,0.09974476794879505,0.1348970244078112,1.2686736856548555e-08,0.2042869274970445,0.15047061944662066,0.11964577153980817,0.38335325034419687,0.08956153913204397,0.25352875216747967,0.18961238017691148,6.199167923842554e-05,0.0004186360778549188,8.767810196726728e-12,0.0979081157814341,0.17574160338268718,4.5625123017034824e-06,0.3471765204245989,0.09441509416184203,0.008733804227936065,1.840311359512937e-08,0.1536185819342591,8.134038433636841e-14,0.2312542149236403,0.14643885426598852,0.1459963460472815,0.5717068417476618,0.050759846426942874,0.13647916783744524,7.177616031218621e-06,0.09419593576204356,0.09404602070037872,0.14648222499743585,0.10717737327178622,3.160856463100052e-07,0.1039628632087199,0.06099459020185912,0.3567250067756379,4.027041324488831e-11,0.00023887049513394575,0.0012125362480245258,0.08945868340164284,0.0018603931657682257,0.04739362156908958,0.5599069120420661,9.869468189986599e-09,2.6321704206782496e-07,0.7752535122614047,1.321775690438231e-05,0.3197476977569763,1.0517001623249146e-06,0.13730063114688634,0.2990979568914943,0.42064614903873576,0.0009009482012919195,0.08744873274425218,0.7236415020883407,0.20322749829333905,3.0067161095798727e-06,3.973914462677443e-13,0.2611281038249717,2.346307419034336e-07,0.49170781113568085,0.0605612930203846,0.249864421288343,0.15428500429622483,0.7313042061074176,0.18456051352765449,0.3132923513342028,0.2522034029515926,
