,I.10.7,I.11.19,I.12.1,I.12.11,I.12.2,I.12.4,I.12.5,I.13.12,I.13.4,I.14.3,I.14.4,I.15.10,I.15.3t,I.15.3x,I.16.6,I.18.12,I.18.14,I.18.4,I.24.6,I.25.13,I.26.2,I.27.6,I.29.16,I.29.4,I.30.3,I.30.5,I.32.17,I.32.5,I.34.1,I.34.14,I.34.27,I.34.8,I.37.4,I.38.12,I.39.1,I.39.11,I.39.22,I.40.1,I.41.16,I.43.16,I.43.31,I.43.43,I.44.4,I.47.23,I.48.20,I.50.26,I.6.2,I.6.2a,I.6.2b,I.8.14,I.9.18,II.10.9,II.11.20,II.11.27,II.11.28,II.11.3,II.11.7,II.13.17,II.13.23,II.13.34,II.15.4,II.15.5,II.2.42,II.21.32,II.24.17,II.27.16,II.27.18,II.3.24,II.34.11,II.34.2,II.34.29a,II.34.29b,II.34.2a,II.35.18,II.35.21,II.36.38,II.37.1,II.38.14,II.38.3,II.4.23,II.6.11,II.6.15a,II.6.15b,II.8.31,II.8.7,III.10.19,III.12.43,III.13.18,III.14.14,III.15.12,III.15.14,III.15.27,III.17.37,III.19.51,III.21.20,III.4.32,III.4.33,III.7.38,III.8.54,III.9.52,test_1,test_10,test_11,test_12,test_13,test_14,test_15,test_16,test_17,test_18,test_19,test_2,test_20,test_3,test_4,test_5,test_6,test_7,test_8,test_9
I.10.7,1.0,0.00022586400065911712,0.7134653097349042,0.001434306615169886,0.39152515971626056,0.0935019276102307,0.26351926839635215,0.00033683322736607777,0.00017153582199228888,0.3421771497828432,0.0004622818203581536,0.6553856639958793,0.11773651042390473,0.06754730712065792,0.001512933031351636,5.2388585223455166e-05,0.036115305606923526,0.012300763919359017,0.007168336421261723,0.03550460092124639,0.30506134147374014,0.5904069231065787,4.954720581285942e-06,0.48884730531714604,8.357631968895766e-06,0.3040577560080506,4.736806525430142e-06,0.02423984259355513,0.008066193683317003,0.34665619569380324,0.518935812200306,1.9409295897195555e-08,0.0002874078882367435,0.01368550644792561,0.00021066191603503367,0.0024576834267300333,0.0032865996842615284,0.5076435864076002,0.02169062333948335,0.002296577735788647,0.019424576043698745,0.050056387426051105,0.21402135579987186,0.45372246872100663,0.15074180499039253,4.418728963606334e-05,0.16538683842318092,0.2469515288400874,0.14367100106219607,0.15166452831288327,0.13556850820382585,0.6040730534446122,1.071467683445055e-07,0.14820485544229195,0.16042083065323715,0.8787722958163751,0.6518200121172226,0.16148639013386856,0.7433133113096627,0.8517613132687967,7.602275210223237e-09,8.53819470899723e-05,1.1899665618618201e-07,0.2063888967873823,0.460965961581312,0.0009840649060395088,0.22184029688725002,0.38335967616411226,0.002486506095641917,1.3070336431085339e-09,0.8257363334670943,6.327883441332164e-08,0.39044974629703344,0.4718747286469942,0.009009800656528351,0.23732218574184233,0.19301575003263935,0.9670127349561042,4.598798936654773e-09,0.33904270797946057,0.19291399727932548,0.8743901270127563,0.9209657771053283,8.494471166902435e-05,0.5094267339597258,8.935285325734276e-05,0.07460694692278991,0.001282085971168527,0.0021592987255565285,0.00025751245980966153,0.15237940073698508,0.07255188918640465,0.003808026602621017,0.10695730131077356,2.4009048563075538e-05,9.329244569072783e-05,0.4079042999440007,0.00014655753287702995,0.28292689356290973,5.3388753531358876e-05,0.4724696722844891,0.15332251278177284,0.9949465652983813,0.064743603365656,0.10842248984025829,0.32137082539387846,0.6566226359647573,0.0905175015205347,1.8242434317433925e-05,0.36454007132610233,0.009671052973373116,0.002001978177896099,0.011703063020530181,0.04616000881730569,0.00843893875400042,0.32693638205286424,0.029992648398970014,0.5572882397268601,0.5410478566625134,
I.11.19,0.00022586400065911712,1.0,0.00024123451669405956,0.16639055489068105,0.00020547640704476813,0.00018996650738271846,0.0004639546310570965,0.19616133342626282,0.24232275769983538,0.00603168978908554,0.3382207207489524,0.00020985961988572506,0.0001917442682618107,0.0005830767143330789,0.0003685407030392434,0.6477858423952321,0.5390716744356672,0.0005439749027141225,0.14116426512868765,0.00017861115222677149,0.00019460204730980437,0.00024627116076104705,0.007320345479599568,0.00020578316342117597,0.004177138896882653,0.00020152129211743817,0.15148616904787598,0.00041239984628320365,0.0009235247057274818,0.0003737366479195248,0.00027779524668383103,0.6027546256780619,0.006530290856657786,0.000787857477936653,0.0049704677760526415,0.0029759650083070427,0.8467400605008495,0.00020175863505441627,0.002330388818503836,0.3942696040515862,0.017537538386595743,0.0011650145365680238,0.9284508639946656,0.00030851910876552615,0.5060877020106223,0.0025214697628427314,0.00019578082580339208,0.00020017850806958135,0.00019412665174189565,0.0004034789288837482,0.00019109908104680265,0.00021060142143788718,0.6834072701221123,0.00028377105768235893,0.0002700623354998011,0.00022140657812408653,0.000280979860249175,0.00019548373820740228,0.00023592403339421967,0.00021978899315020195,0.4136322820734615,0.10196828182123371,0.8195362969796114,0.00019617703721429048,0.0002640713890397386,0.005323243191955248,0.0001120880713079699,0.0002059209867478553,0.04783192082873317,0.49481375976743924,0.00021892034256385372,1.304302282190486e-07,0.000275568854159962,0.0002496749888529255,0.002577558747419095,0.0004096155648782759,0.06726011261668584,0.00022431283150549508,0.5380858584046369,0.00020435816083909502,0.00019752333460154372,0.00022087060845187766,0.00022284295031327984,0.3271309185625021,0.00021007500133265517,0.053364443157112314,0.0003945315287148083,0.001558028709059301,0.18650248106616976,0.18637909515438375,0.00019498311227012454,0.004700284614335417,0.04252764896452432,0.015747480227381257,0.5103480936058511,0.6206095992910632,0.00033427406499149934,0.005468300097401405,0.0002015244952807849,0.40446538319126213,0.06095774445199323,0.0003064719315298754,0.00023625029280008097,0.2897976989550764,0.0001916427296749046,0.31993059530460316,0.0002407065476223076,0.8726356935861769,1.960506862651338e-05,0.0002738073037377283,0.2528065593152581,0.0014586601859938562,0.15004747705347615,0.0003872118781675358,0.0001273122307224482,0.0006213932948617102,0.00032113550644754233,0.00027813626686982486,0.0002503665369422337,
I.12.1,0.7134653097349042,0.00024123451669405956,1.0,0.0014723787351666193,0.28468930909063467,0.0972457343950964,0.32174651703132684,0.0003751759930871138,0.00017902272873550592,0.357377727144066,0.0005052091071373919,0.4832499069064988,0.11381087247178243,0.09488604630893982,0.017610367229450984,5.751098436612365e-05,0.03670142882845454,0.0247424041794618,0.0077067112699725085,0.044938318529694744,0.22505563415828533,0.9022898009057687,7.762503226224698e-06,0.3470542369060523,1.438426465583383e-05,0.23103771028265144,5.664323533531657e-06,0.05718987594242069,0.01267636713780133,0.4304501132963262,0.6871762653927784,2.1901693666727556e-08,0.00038626582152374026,0.021426428143803324,0.00029706308254287165,0.0032815234889804193,0.003444849707498405,0.37339522432523575,0.026357433026489883,0.002454961092911366,0.021463710872449755,0.0621218515636374,0.2162835672538322,0.5781171837740868,0.15172810580216617,7.906066919048955e-05,0.14766744990717567,0.19909298590424696,0.13267601870745155,0.21835733674898694,0.12157515332964029,0.42419558547456315,1.2454697408016277e-07,0.3673999768084668,0.45709068390516505,0.5853725533227844,0.7833112515127454,0.14497206278939737,0.9146407497731057,0.6277777783075207,9.33214699956786e-09,9.927450943049277e-05,1.3407652242174054e-07,0.16908210949210162,0.69866278687294,0.000991834687089807,0.21001755685368728,0.28099169111063926,0.0027932355567875542,1.4915558805060786e-09,0.5895568152323398,6.348574577240034e-08,0.5977334659591903,0.8191961081656851,0.011384567140180863,0.3073835908589488,0.19933584264647028,0.6691145448602684,5.2199692206768814e-09,0.2550495090074657,0.16573655885913952,0.6355286344880997,0.6644773082404252,9.482034346540124e-05,0.355421227430194,0.0001067744708209006,0.13199068522979704,0.0012832290502080047,0.002347499874811626,0.0002883328559023839,0.13919715034871238,0.08018165143665697,0.0042564116373463145,0.11361384120647647,2.678421510800616e-05,9.913267219286784e-05,0.5117808871573304,0.0001490813140869126,0.22023809062271463,5.652268683525898e-05,0.48147708279192203,0.3031134370784588,0.864473489657916,0.06693730562172255,0.1088473656643388,0.32136423867221064,0.9930871496424374,0.0921589252432171,1.8248431760674727e-05,0.5857724721703228,0.01024874105940602,0.0031225289684579717,0.012480087395572846,0.0972047679005344,0.0074449045684363835,0.3700886395500015,0.12203616295138668,0.7155870190892824,0.8403377905097458,
I.12.11,0.001434306615169886,0.16639055489068105,0.0014723787351666193,1.0,0.001380684730067784,0.0013369789731270502,0.0018802989065287848,0.03421475672685982,0.652727576192367,0.0043876133205469695,0.051541934278461564,0.0013896079607900772,0.0013420651017315502,0.0020859370649143048,0.00175672360276653,0.09317367027263451,0.6344944501096674,0.002049214290686021,0.026642416258499245,0.0013032465470862503,0.0013485842601652252,0.0014856466821544783,0.006234435769497217,0.00138050910590252,0.004865706743971778,0.0013696320043333366,0.029429453959900802,0.0018328048903676502,0.002532052253653648,0.0017332348799187858,0.0015524065609607682,0.24405812210714353,0.0058053706051291905,0.0023709514827499997,0.005170979999494731,0.004091595784001567,0.14404196983133696,0.001367132479516226,0.0036048858305358002,0.05934246118032426,0.008379449500809762,0.0027198248103366593,0.3147507530734295,0.001613335121423661,0.9929781926735598,0.0039019036128272256,0.0013536813013574221,0.0013660904958117182,0.0013489424112189138,0.0018025074803270126,0.0013399556331387555,0.0013937332557998811,0.09441715820660972,0.0015754968484769226,0.0015448398117419964,0.0014238100058191808,0.0015499919564068306,0.0013528304383313076,0.0014605433180574121,0.001416923025966424,0.060035097743247515,0.022785061507219324,0.18577363166475735,0.0013545205939669812,0.0015265963665429141,0.022298289216813476,0.0007331076855500653,0.0013820711336845499,0.014390684132900603,0.2759019227760342,0.0014156281246958367,2.5425702139948307e-07,0.0015525515786290265,0.001494947118917295,0.0038041662840786203,0.001802888630418765,0.014777698434555574,0.0014308404302675033,0.26285434011184994,0.0013777755131970048,0.0013586342785873891,0.001420351270876646,0.0014259031694200187,0.0500859694782524,0.0013934035875492288,0.01587367265270087,0.0017950261239030058,0.0018496445615389314,0.03265116389254533,0.03308290383399576,0.0013514169983676041,0.004568118798036907,0.01342917122283842,0.007337670425512229,0.07305250812230539,0.29188013542334723,0.0016619702794140663,0.07967603976514422,0.001369807202586606,0.41883738844977425,0.012686653364990523,0.0016234210248479346,0.0014459990845865783,0.04651407141100301,0.0013418488039873588,0.3186759998500916,0.0014723652729174076,0.2151371504347552,2.088569421117382e-05,0.0015495269238895157,0.04072005767590884,0.003064119323141595,0.027567732886881243,0.0017849020868910808,0.001129799101480137,0.0020596302785261507,0.0016583343379901138,0.0015511543064015531,0.0014954608036434327,
I.12.2,0.39152515971626056,0.00020547640704476813,0.28468930909063467,0.001380684730067784,1.0,0.06434215331095645,0.19352013527363798,0.0002889213017892258,0.00016126019794050588,0.3208719825691889,0.00040716158897886645,0.9379994740995672,0.1313366766166519,0.04062450467552363,6.708151849133647e-06,4.58658639335603e-05,0.03527549681908741,0.004334416325196594,0.006457728793864387,0.021255909765271017,0.607061693179328,0.17337719094157172,2.7111744564637557e-06,0.9874380308079898,4.048972816006528e-06,0.7333600463496462,3.6905269523312102e-06,0.005987106208062642,0.0042355239818918,0.24505419882440488,0.30768497631182157,1.636467066818266e-08,0.00019094731430701738,0.007169775369849875,0.00013131669283533546,0.0016392344186857172,0.0030703385321996005,0.8573022130450724,0.01640057027595233,0.0020862685708400307,0.016821991495708174,0.03656431243477405,0.21074654683612173,0.29985403586814824,0.14930777323549438,2.0224205174098927e-05,0.24276401961064695,0.5505774998944356,0.1850991164712662,0.08494580604047851,0.23316360011366158,0.8266570810197991,8.676514098578643e-08,0.014313383204114282,0.0034510156783982564,0.19449253701461863,0.47290279547819425,0.23255275086697874,0.17968926450272785,0.6703135880766287,5.723132114830455e-09,6.905262301926713e-05,1.0053615263054926e-07,0.4349530386964299,0.18380156791750882,0.0009728117339156906,0.24044713548679078,0.9532682173197388,0.002106327470394468,1.0851242962130565e-09,0.6094958955872987,6.297704608057894e-08,0.16282602299725424,0.07424148666971529,0.006463003949504105,0.1578179146223723,0.18410454067296667,0.3194595170129992,3.846232065420211e-09,0.9077081969481937,0.3350481120596478,0.6024696613766991,0.5215664492020808,7.266037299170854e-05,0.6602098807082067,6.96197561407325e-05,0.029535844399890772,0.0012804122951841493,0.0019153164625600471,0.00021929460910795532,0.19768406872962407,0.06272508719278291,0.003247847979369901,0.09792604667853948,2.055737861090108e-05,8.54914204129478e-05,0.2804300201575777,0.00014295527072512613,0.6856173107408141,4.9180749898126885e-05,0.4594882007767216,0.039741882479561064,0.7748949742713513,0.0616703874694258,0.0824322572442388,0.32138048324072616,0.16375302783362486,0.08816842100525553,1.823364535257192e-05,0.13184653703206373,0.008892571225856172,0.0010776279479586784,0.010664599929708253,0.013377483448658295,0.014840300843508208,0.2708760227576003,0.0011979334869979747,0.353013163634298,0.1636315219989536,
I.12.4,0.0935019276102307,0.00018996650738271846,0.0972457343950964,0.0013369789731270502,0.06434215331095645,1.0,0.14836820033983944,0.0002548869351852205,0.00015312992637357242,0.30365649902983827,0.00036677021067040683,0.5461039618936441,0.7430568678816147,0.026926048401954634,2.0938276750926603e-07,4.112857549225616e-05,0.03457733186373474,0.0019924805896708118,0.005920748650900539,0.20279989452096536,0.8628114625525793,0.04226695443575761,1.7381330935817806e-06,0.40628238732899846,2.3975383101147795e-06,0.19701994674046353,3.027110754671955e-06,0.0020936536865311284,0.002589664826733065,0.1805958220098439,0.18684404223501702,1.4251078177519489e-08,0.00013927176329484134,0.004358061363058276,9.160815037668332e-05,0.0011952343021480202,0.002900133390290247,0.7405255832490824,0.013077480028662384,0.0019261583733775356,0.014933504252033514,0.028301637927811225,0.2079915924989247,0.20530173738233587,0.1480951653276679,1.1516343662157337e-05,0.12197737306776794,0.027574812622247112,0.33884446385294964,0.052293009663496946,0.919008422442904,0.2811340913693831,7.326770226768777e-08,0.0017301673083535266,6.729371062358879e-05,0.0009266250148271051,0.34854775340066346,0.15899498000407156,0.02516080571668914,0.3125429925691883,4.5766246806716525e-09,5.822657678612436e-05,8.769504946167181e-08,0.5123172918211173,0.0734809416844262,0.0009633383109860605,0.2576328986530511,0.003294728478094553,0.0018391280916512653,9.33634645405519e-10,0.2137582044385921,6.272090825639213e-08,0.07073837098012259,0.008481584242233093,0.0049598080024151866,0.1111889991992039,0.1768398476549858,0.03882082824007316,3.3284080795878583e-09,0.0012921904279942725,0.03422411150191959,0.24005864641177171,0.17635326032894333,6.397458433711726e-05,0.006309038745766116,5.707485021995775e-05,0.014053774551609294,0.0012789854524821685,0.0017346540387879388,0.00019238055874295633,0.14672593125768035,0.05554027672099698,0.0028506522480595564,0.09089400785241325,1.8116160732941477e-05,7.950811024653315e-05,0.20036888693720437,0.00013997342800165262,0.0563938990737764,4.593371081876855e-05,0.44863057545648966,0.01247738259042355,0.5978781418717636,0.0591823641581757,0.592635385376663,0.3213887302788058,0.028310558945137742,0.086218429964879,1.8226145055895736e-05,0.04980838575756881,0.008289956327821929,0.0006755053726246443,0.009868563844683691,0.005106260530780667,0.03660538782433558,0.23022459930582254,0.00010096028328652676,0.22829552990613594,0.043719203350993184,
I.12.5,0.26351926839635215,0.0004639546310570965,0.32174651703132684,0.0018802989065287848,0.19352013527363798,0.14836820033983944,1.0,0.0011392694117560664,0.0002701718342816592,0.5171738008409552,0.0012414964530142619,0.21589179207010695,0.1533276371964711,0.7043805805122378,0.8307026966595387,0.00015051797365776113,0.0424848450482848,0.6937912364457004,0.01556509929495304,0.12018483825480218,0.16604986259403648,0.33889917901326105,0.0011572828973628237,0.19741986177405255,0.004174161381262787,0.18175122653944792,4.195022835274046e-05,0.9713243592770447,0.30427346457980636,0.7912030260345216,0.4715546193790018,8.153298984353926e-08,0.008268140383064027,0.40825467170858554,0.010014661090587263,0.049729151362256446,0.005404014367853649,0.19138114087983554,0.14795037298277214,0.0047179447589914365,0.05561113976122878,0.34003855466106203,0.23755658430044055,0.5872170754257141,0.16082791272744557,0.01896997404488713,0.1643829342100852,0.17713386192133931,0.1597918013280802,0.9071238921545491,0.15229091495028485,0.21242653296984973,6.713508769134935e-07,0.4854115090520439,0.4282864895163532,0.24486620182667176,0.4896642609206998,0.1635578605401611,0.29848407960970336,0.24652817297225355,1.0645342172619135e-07,0.0004995497395053628,4.880852989712589e-07,0.16634705287025778,0.41132698828317726,0.0010648458164514477,0.135365622873393,0.19441974413019106,0.009003497026533228,6.424694732937023e-09,0.2409038307358801,6.536792805889618e-08,0.45752550677847537,0.3498150889673729,0.09525958940278778,0.9012815996600848,0.2657046415392251,0.2565492473117392,2.0967927166336865e-08,0.18956016186909744,0.16933104803425544,0.24866405168277614,0.25442176987104254,0.00029898606375025307,0.20757721841913876,0.0007340564413718205,0.8996088470744683,0.0012934463517135402,0.0053836358943836855,0.0009308494991866767,0.16210773502584913,0.19611278966979814,0.012904862923908113,0.19586134513636932,8.464943852223406e-05,0.00018086740844282768,0.6737769255344526,0.00017447516256471673,0.18127298400673986,9.924163633671789e-05,0.5672140489108876,0.5790965760699954,0.33043715496362924,0.09085595662520782,0.15282867322864876,0.32130574328049505,0.31671255955427163,0.1084217465309944,1.8301827620297842e-05,0.4492825654549536,0.01786440279981425,0.11981279599494235,0.023117899742222073,0.8830783320253404,0.03835815744775544,0.8610747441723199,0.63841879580504,0.47454407294271717,0.35501553836509536,
I.13.12,0.00033683322736607777,0.19616133342626282,0.0003751759930871138,0.03421475672685982,0.0002889213017892258,0.0002548869351852205,0.0011392694117560664,1.0,0.02782037634575208,0.0476892099621769,0.7238162392449664,0.0003013367126007081,0.000258729041243111,0.001574127362005227,0.0007274356241102728,0.3374176130046721,0.22888867318702968,0.0013667118992677495,0.7526616171113295,0.00023123658340449388,0.000266157088722329,0.0003869990853082176,0.055177203951365945,0.0002904264543001194,0.0266433175095273,0.000280170956136429,0.9360473622895814,0.0008797712884411932,0.003144472039384654,0.0007940963328098064,0.00047798737256326423,0.024563287715393647,0.04857762693053868,0.0024700580529370213,0.03415067306186484,0.017499510883616082,0.3555601628137789,0.0002831824570291561,0.012957871570342476,0.7076849378508234,0.14751309442849445,0.004733836338355731,0.667268850205192,0.0005734197139148327,0.3299199878308563,0.013362902896482854,0.000267402047044771,0.00027703611066027303,0.0002638321424426218,0.0008723922114087628,0.00025752955757975536,0.00030129705342268176,0.21787938774571594,0.00048370323010507674,0.00044605054242705827,0.0003252860118811722,0.0004976883454044815,0.00026676075161292397,0.000360691506510045,0.0003237489301529949,0.42129725560545883,0.6999875491339105,0.05839680098404372,0.0002684818834772507,0.0004346829876362785,0.0027432004955161553,0.0003410036825672212,0.00028978954095401925,0.37488852066180656,0.012104451540781913,0.0003208526641740877,9.754629721521885e-08,0.0004661604637572398,0.00039464646550545885,0.01462882178413749,0.000911212243429014,0.36947167869831565,0.00033264606100618467,0.016546964606653253,0.0002862763551546688,0.00027119179244117453,0.0003257949770676633,0.00033012418001227494,0.6920914728107017,0.0002991976624582803,0.4336704560320418,0.0008279762459013647,0.0014416125072144416,0.9209523493001147,0.9800100928648431,0.0002656646887467856,0.03455375487158696,0.33746177451834103,0.1275768104500467,0.43099991332097054,0.0784068414065655,0.0006579208510226421,0.0013542720292634837,0.0002800480468650274,0.03920512010684039,0.29395887438482105,0.0005496480507916912,0.00037593568074411894,0.9339574352614592,0.00025845456403218026,0.3205041406225304,0.00037263415857608493,0.584245543139426,1.9049838014508173e-05,0.0004602996774912303,0.9973951877921096,0.006210025487303543,0.7599098062059733,0.0007983767045337658,0.00013667571513766968,0.0019403391955720231,0.0005874428437434257,0.0004811849332842077,0.0003975494420462404,
I.13.4,0.00017153582199228888,0.24232275769983538,0.00017902272873550592,0.652727576192367,0.00016126019794050588,0.00015312992637357242,0.0002701718342816592,0.02782037634575208,1.0,0.001329135466476739,0.05114148325845047,0.00016318961517373143,0.00015406990063597786,0.00031728159199131685,0.00023749368388207727,0.11405399877862754,0.8898747881656186,0.00030586965467729584,0.020405985684677826,0.00014699603852906157,0.00015540571924205866,0.00018156390039283503,0.0018344272972721086,0.00016130964645394468,0.0012313068875745524,0.0001591966585450388,0.021165737526841494,0.00025499753354152723,0.0004329667197111347,0.00023559996891130944,0.00019562839670275533,0.3784999980293997,0.0016647059799786642,0.00038923785157885687,0.0013755558450413874,0.0009513576038807915,0.2065904834323102,0.00015898330198997713,0.0007889614526423124,0.0643115089501438,0.0032768229073386265,0.0004955482199441472,0.45584151106095605,0.00020881927444704542,0.8109154805473182,0.0008645522946078021,0.00015621140325590768,0.00015851855017274752,0.00015533606171212126,0.0002495991598799222,0.00015370099902731898,0.00016379733078815628,0.11242119627454515,0.0001994898501735907,0.00019318476140978572,0.00016942296364414085,0.00019599627006762512,0.00015605421601672378,0.00017658193269287712,0.0001683214648700526,0.058927398610356944,0.014671683459531177,0.2724190675578028,0.00015638973407357425,0.00018987971401540483,0.012960411676558896,7.648568767526277e-05,0.00016150758621947295,0.007500056631209315,0.4368514122297631,0.00016799128739312838,1.9699155004368753e-07,0.0001951917925172278,0.00018331903804001486,0.0008533332958362223,0.0002507614690352385,0.010168077228307218,0.00017082104955493146,0.4128852819928236,0.00016069982033445376,0.00015712938580674323,0.00016892986539915843,0.00016996339984535265,0.04798178576193552,0.00016364549799994805,0.00833421210287514,0.00024703294553743936,0.001737282756379262,0.026872538024715075,0.026338857133087378,0.00015579149401926388,0.0012271442840936287,0.006777232825653518,0.0028849540710380616,0.08115905972970822,0.46205253656126555,0.00021956401920554186,0.03052449303929141,0.00015921604955618799,0.6728530680215632,0.009597486072000344,0.0002095958195134447,0.0001750459039803989,0.051360222176631,0.00015402403352120876,0.3191264970125798,0.00017890912816519378,0.32495502011664945,2.041269293168628e-05,0.00019448666510302523,0.03895900101705922,0.0005895389494108877,0.02189338747708697,0.0002444323034065682,0.0001171888839711472,0.000319918610778574,0.0002165876519381169,0.00019555429534341947,0.0001835217892387841,
I.14.3,0.3421771497828432,0.00603168978908554,0.357377727144066,0.0043876133205469695,0.3208719825691889,0.30365649902983827,0.5171738008409552,0.0476892099621769,0.001329135466476739,1.0,0.03055672600036386,0.32457296652304746,0.3056556148369389,0.5963696850590026,0.4710508392617865,0.006848906840196114,0.06635487068699321,0.5845785524450985,0.1343820750887271,0.29048617379941655,0.3083265285446116,0.3626424595747658,0.47735409015941677,0.3208623576274452,0.6619961894477748,0.3165135376455884,0.030167234891215502,0.5009488423163749,0.7564898254055266,0.46084843819929233,0.3894648406659357,5.974127435123175e-05,0.5531552864530835,0.7008833602010789,0.6321911828434277,0.8341631479184761,0.026604800027312282,0.3157216390249078,0.9606248021406378,0.04533619089184808,0.4561567147245469,0.806276686169712,0.30782528003429666,0.4137416889773301,0.18892723851791954,0.8526459937155337,0.3102163777728047,0.31510379918409287,0.3083543975827016,0.4884440611380215,0.3048445978967381,0.3260864834356899,0.001140225706877127,0.39854996007286025,0.38625649871907286,0.33795035736588686,0.3886565849010166,0.30988204768343086,0.3526026855101866,0.33534540108874145,0.002357116150316301,0.0688726973525785,0.00022699450450929825,0.3105651072628677,0.3790502124119225,0.0013121401316829099,0.12884965862027503,0.32141040662433723,0.2033336577606022,1.5727726819902648e-05,0.334781905617206,7.085086493599641e-08,0.3894349904672211,0.36632559117624974,0.9061211055884949,0.4881522648789429,0.5456757843338029,0.34077261887300647,2.8645906256771654e-05,0.31971212181084613,0.31216493037336307,0.3366768233861207,0.33886263287328877,0.019911383947256146,0.3258949078531608,0.12379492649998611,0.48585746058398094,0.0013209035717632236,0.07954232693759952,0.0471407145070239,0.3093253370941243,0.834052138794789,0.23301644408493052,0.6373820322959226,0.007805164381924649,0.0020682345484988375,0.4329579224169122,0.00029293158273402446,0.3165724715712068,0.0009991915876430414,0.8279744750678522,0.41774322221075255,0.3474429333656286,0.2232457117235431,0.30556555139103136,0.32115323129271445,0.35732444123824136,0.174864589907815,1.8442683198968597e-05,0.3882081634492113,0.10560337127960495,0.923760256619993,0.15093928765318523,0.4819915406315124,0.2248656022590847,0.5791925794030806,0.4317174118817443,0.3889992830184813,0.3665676723309197,
