,I.10.7,I.11.19,I.12.1,I.12.11,I.12.2,I.12.4,I.12.5,I.13.12,I.13.4,I.14.3,I.14.4,I.15.10,I.15.3t,I.15.3x,I.16.6,I.18.12,I.18.14,I.18.4,I.24.6,I.25.13,I.26.2,I.27.6,I.29.16,I.29.4,I.30.3,I.30.5,I.32.17,I.32.5,I.34.1,I.34.14,I.34.27,I.34.8,I.37.4,I.38.12,I.39.1,I.39.11,I.39.22,I.40.1,I.41.16,I.43.16,I.43.31,I.43.43,I.44.4,I.47.23,I.48.20,I.50.26,I.6.2,I.6.2a,I.6.2b,I.8.14,I.9.18,II.10.9,II.11.20,II.11.27,II.11.28,II.11.3,II.11.7,II.13.17,II.13.23,II.13.34,II.15.4,II.15.5,II.2.42,II.21.32,II.24.17,II.27.16,II.27.18,II.3.24,II.34.11,II.34.2,II.34.29a,II.34.29b,II.34.2a,II.35.18,II.35.21,II.36.38,II.37.1,II.38.14,II.38.3,II.4.23,II.6.11,II.6.15a,II.6.15b,II.8.31,II.8.7,III.10.19,III.12.43,III.13.18,III.14.14,III.15.12,III.15.14,III.15.27,III.17.37,III.19.51,III.21.20,III.4.32,III.4.33,III.7.38,III.8.54,III.9.52,test_1,test_10,test_11,test_12,test_13,test_14,test_15,test_16,test_17,test_18,test_19,test_2,test_20,test_3,test_4,test_5,test_6,test_7,test_8,test_9
I.10.7,1.0,0.0003826906929680564,3.92797378404514e-08,0.11443449570048825,3.792929101726781e-07,2.693613781166508e-07,3.927973749515456e-08,0.3814812098734609,0.041158894117586296,0.9176669788304085,0.0007454617847649036,0.1835069919192827,0.00013567854606824558,0.23804926148001493,0.26321314272230967,0.14297951804884254,0.007413701100788437,0.9605871642326854,0.0335607640486058,1.0421083364022686e-06,0.0007992464308828464,0.0001640431679866428,0.6759147397524904,3.933488047292721e-07,0.8771945769539642,5.950119975684379e-07,0.004540628954830079,0.7355298122204643,0.8229921091448595,0.08409816977705334,0.2107135482303552,0.4993110215088803,0.05884810414206473,0.6287195109009391,0.9094262382913416,0.8935837719482684,0.22258118544775418,0.6632946144698461,0.06776703934990447,0.021889875954933514,0.8790866074230708,0.18531772506159563,0.14898507750551523,0.019887560421544926,0.366477412882971,0.3632095322195662,4.1261727650973796e-08,1.019535777821215e-07,2.917852236413115e-07,0.2207962669692862,0.0001514293276650827,0.0020416797602683325,0.0027260377775723955,0.011651399955284601,1.0898962657881796e-05,6.878140501748288e-06,0.46412848975577625,7.785649190305148e-08,0.8611262487248088,0.27235948068180843,0.6593262313365102,0.04870613224190184,0.008624271492489125,1.742958325050998e-06,0.006239133536887025,0.09482628380524205,0.21287568391602274,5.30481035207616e-08,0.13269712823560134,0.25228773267643545,0.010687443437906277,0.09961448521482139,0.2099713978558487,0.00032052603711090605,0.014983789825911822,0.32891167458039094,0.1335151455906337,0.00025987821017593726,0.8394372108200084,6.486991102022677e-08,1.8649293059980959e-07,0.0050392624492714136,1.4387697620701494e-07,0.007199916022810753,4.78234128583479e-07,0.8089126612328561,0.5211565356477175,0.0021284974655492008,0.08751700931062702,0.3307712552079479,7.305739473125343e-08,4.722228063438285e-06,0.5345523009268456,0.9352785826301834,0.0004193164356459019,0.02550580519487868,0.0041228179490270574,0.9314743686972398,0.3197482741931686,0.12309995688844268,0.22515172020419352,0.5531822317356876,0.09523500165961242,0.09317142254073955,7.097703444255773e-08,0.3237806624054709,0.23693441117133737,0.009444232208638145,0.002716345067964671,0.5185510130841035,0.0004467160704310453,0.11244741553541665,0.6884825166693257,0.03654178219565674,0.5750178477181844,0.007146357046959375,0.0010068277075564805,0.8740800658137498,0.6126294910995702,0.5218291513604768
I.11.19,0.0003826906929680564,1.0,0.00017409807230051171,0.9658999332240514,0.00018341283169305762,0.00018403750038411816,0.0001740980722551587,0.3021064862693209,0.6274497712813161,0.0010018101361190886,0.09553294367618315,0.00029211819916224183,0.00017257474367961514,0.0006188869059902568,0.0003049276389181402,0.02332626372594853,0.29581343812072514,0.0003834881242505328,0.12534762782285408,0.00018718646617503414,0.00022353799515638243,0.00020399454629830066,0.0006248574202067673,0.00018302464466129448,0.0005469724090333418,0.00018640695325143158,0.014823017142738067,0.00042709164664048356,0.00037041448644750577,0.0007426908279746672,0.0002796102188890656,0.0005244100372636349,0.0023063906281886293,0.0003326283688112866,0.00040988775203427513,0.000415944817329223,0.10288414688326929,0.00042503308229728927,0.0023562118796651827,0.052894441581796674,0.0005069637563387022,0.0009749093854782071,0.8331995799414036,0.0008433600524202654,0.8996110176905483,0.0009672247845502693,0.0001740358134359494,0.00017885389216208434,0.0001843628958728265,0.0007562511753151902,0.00019788264171945982,0.0002319606430331594,0.06245088757566623,0.00024950795867175553,0.00019742786441415944,0.00019809375746738335,0.0005130448384720977,0.00017691160942423284,0.00037081614719371695,0.0003036807702957641,0.0013712945165015701,0.013679728873956522,0.2125363827067062,0.00018982472826237418,0.00023406249318390333,0.3970060864355025,0.007674831264349484,0.0001750658928280835,0.010783841084135395,0.006083297096348468,0.00025021867052678646,0.13459237579460062,0.00029360049633106726,0.0002095770082616653,0.003625104998261794,0.0006057930068218708,0.06705766239179442,0.00021939124365262907,0.001032686935837569,0.0001761074880911904,0.00018210799931930345,0.0002380513317302829,0.00017914874134559742,0.06340884104365985,0.00018569925745915458,0.0006227240915672265,0.0003275630288907058,0.002634389814384908,0.035246770322402705,0.015822814594611722,0.00017720154804974422,0.0387772866771384,0.0034692035527485164,0.00040400064382331607,0.4130313111942173,0.19606172252267756,0.0011130676584415523,0.1805407335728138,0.31974455525173573,0.25873017980257884,0.13127284222266786,0.0003412949301575366,0.0006723260649310599,0.2334141097205591,0.0001770861688329559,0.32514528891161165,0.0002938381820440208,0.5757420627716604,0.002885650765944099,0.0003334944403923609,0.718595930124357,0.0015598483105834734,0.012548038913428317,0.00022668577621689153,0.00043480845767563433,0.002140544290961588,0.00020038477115274858,0.0004063589297441433,0.00034920129016600737,0.5223102863669133
I.12.1,3.92797378404514e-08,0.00017409807230051171,1.0,0.09383459349108908,0.12859889177758824,4.483361379843667e-05,0.4569194210797508,0.38668520086975666,0.027952833149499902,0.7223846787173873,0.0001628583728985674,0.0024696241480215413,0.8979005215956908,0.0008021448914474057,0.0011677806881243277,0.0713678624628509,0.005631672371966852,0.0009315109471830581,0.016589417528500277,0.10597012600163969,0.006246956587893966,0.12299314451496372,0.12736161166334195,0.1830774335335959,0.24085421149733208,0.03298774691788582,0.0006244636660417067,0.0005167014634461792,0.06984336517721007,7.997666753216802e-05,0.057079869763903716,0.7772493327547294,0.005359942947146663,0.20478222419440084,0.2119582579988307,0.27700786527013704,0.15346158561782555,8.034787323531946e-06,0.007136061377768699,0.0081055188953984,0.5395670541484885,0.009463725108742337,0.12947784966579848,1.7189610981389012e-06,0.33442179047568354,0.05669738942312991,0.9705002845123492,0.010219911608529295,0.00018299835180696225,0.004674542937278113,0.2732066946461141,0.0029302483634199056,0.0006605466999775283,0.0012825431393902345,0.045441459943015114,0.009103015000263845,0.0021407160383935817,0.36133229913295395,8.368859005372902e-11,0.0026698028428129308,0.31077735354467145,0.014782830927907916,0.0037658615400375504,0.06549144369732703,0.02096679232445707,0.0856941048620453,0.09400077648327622,0.7226523796328339,0.053587447394538,0.11219749325936686,0.0006374262738387942,0.09777910201413537,0.00468621259603582,0.07438482657684715,0.000970293105638656,0.003575089025442762,0.07842748153800182,0.001497691793775325,0.8299968761813925,0.4631080745300582,9.248080648939302e-05,0.004508794513485517,0.290540344014529,0.002179318753222384,0.023339215361676297,0.7560620681389425,0.014204468037536479,0.0021012543249911554,0.04148983232169408,0.19937593636330875,0.020207193443032255,1.9676746020948414e-07,0.296800341685053,0.1274064896155587,0.000141394173028994,0.013104528568656695,4.893998214584813e-07,0.9961155032625684,0.31974849860870047,0.08528617151670097,0.1596965453005816,3.296030971784972e-05,2.4984209028596742e-05,0.06095327043271232,0.009338501561325858,0.3236984452608064,0.010599690318610211,0.006715453706562233,0.0027064485978302772,0.0010888861968544,0.00018315751317922238,0.009807713849704748,0.5113184225814567,0.28439974884130237,1.8062455612395123e-06,8.828728358644845e-05,0.37530755235628566,0.0008555505892626381,5.256807641394604e-07,0.5218001258089549
I.12.11,0.11443449570048825,0.9658999332240514,0.09383459349108908,1.0,0.09507533711424739,0.09516582042462705,0.09383459348487996,0.30598969085349775,0.7841577064915706,0.11723593710937066,0.4408365481926433,0.10676128297734495,0.09340356191315936,0.1281278831285397,0.10792740216374835,0.2643329012807324,0.39453334637404536,0.11416061328149925,0.43590230027458765,0.09556154368681219,0.09991456007043935,0.0976019699506008,0.12458982765336563,0.09502226395131676,0.1194797463880736,0.09546846544208586,0.26979953720290345,0.11724179199098242,0.11225163685711423,0.1343023241611708,0.10531887426945966,0.09003872945432743,0.17194349473976522,0.108732960685939,0.1133938209350919,0.11303856423455312,0.3599852232519066,0.11734549121976483,0.17224088251309486,0.35218549968396806,0.11280967198706777,0.14114814731192532,0.8369364223006446,0.13900468581455291,0.9316573300859394,0.13826380940112773,0.09382499647611448,0.09447825696454967,0.09520811656904632,0.13369383556393188,0.09682848639898146,0.10084990532228992,0.38620304718891885,0.10270867039409913,0.09684722149182107,0.09694263408569663,0.12232198667982265,0.09421491329804406,0.11358671924761281,0.10777599153645388,0.1380892717156027,0.25060587738409196,0.534128108299653,0.09590027123441507,0.10102152245777099,0.42461316685322525,0.2055496505817948,0.09396482769601976,0.22709302167195397,0.1942169716988052,0.1027934408511678,0.13476654489606912,0.10685667311234819,0.09827121988491451,0.1933465238848387,0.127077896463281,0.33880040026935065,0.09946621061880946,0.1131376577356053,0.09410648343559656,0.09491180633166414,0.10149214151758933,0.0945126185279799,0.3803799683159911,0.09537808685965342,0.11020809441235319,0.10959815583396536,0.002634208209576218,0.2997708643404208,0.22333611732424308,0.09425620678653489,0.3604302312653558,0.16160898661025108,0.11387460959193267,0.7004125405411241,0.5043707110422003,0.14892518774279073,0.28236375706936834,0.31974466160140463,0.5116058112587735,0.38579380841444,0.1110965342274406,0.13124962667079806,0.5024842573008845,0.09424074038780447,0.3251067715312762,0.10681337759662708,0.6601794618930934,0.0028820904000121748,0.1103262958452094,0.8764713336743446,0.156689545480087,0.18213842242592124,0.09988841759909733,0.11805747490815262,0.172946553688986,0.09705709706108054,0.11578615021999972,0.11181087921685069,0.5222965587750585
I.12.2,3.792929101726781e-07,0.00018341283169305762,0.12859889177758824,0.09507533711424739,1.0,0.9152659760800932,0.12859888987308865,0.38634552454705706,0.02868230680552081,0.7448846747096922,0.00018044245114660397,0.007275394517119888,0.6612900330936111,0.0013309042045481282,0.0036508912249153566,0.07488101194634134,0.005734384983242851,0.002112182244048877,0.017398826787592615,0.7176959024920135,0.0407198864413063,0.32869650702720044,0.14644767745716672,0.9645072611472113,0.2686541660827906,0.7238838785198738,0.0007163314276660925,0.0011291277575650135,0.09380827332364101,0.00014442216530713108,0.09425188119473243,0.7576882772917055,0.006395795168536689,0.24992116204428874,0.2467793821011886,0.31411492695094706,0.1573836040010962,2.9051563567734045e-05,0.00842304712761763,0.008673665572828202,0.573157451280879,0.011993741740005464,0.13068174731291618,3.709239266856202e-06,0.3364485289600002,0.06565115222042453,0.14526507281625722,0.48404058964795094,0.8792159547482952,0.006449396135958744,0.5425188068280897,0.020393345696024346,0.0007272059617489999,0.007799550266274613,0.30070398770613144,0.19395241380078693,0.0035659035074912296,0.3470195248335165,2.4106724835608605e-09,0.007150927889040531,0.3289036976122086,0.016062885223922716,0.003981420689909066,0.5515579436954224,0.06518064906082348,0.08626507652348586,0.09959072670880284,0.21380403102204282,0.05710416839492641,0.11885058748877504,0.004835251056639588,0.09789759189901508,0.011951666342190083,0.22344869265048123,0.0011815530138418197,0.005336711078896374,0.08132458568963445,0.023773243794004636,0.8512553622006795,0.27904589526110957,0.8507161235955513,0.022642366329339594,0.5870526739403413,0.0023636071190307967,0.7739122076487427,0.7836165559648134,0.025597770959631717,0.002103015654338012,0.043672560663667453,0.20653319984574953,0.32683559951410046,2.436443117447715e-07,0.3096865711641044,0.15626519913686748,0.00015201267028911708,0.013705224743231645,9.87665102264006e-07,0.9919069630166735,0.3197484840180281,0.08741509085357299,0.16345266521454715,0.0001525252438964658,5.145430002583136e-05,0.06271774692540272,0.3148373500338559,0.3237037902959651,0.022913083483531087,0.006868212167535335,0.002707091011366969,0.0029109355178862117,0.00019431991496640067,0.011797935320950768,0.5220724876127062,0.404119701287052,7.524564802519518e-06,0.00012202902740637469,0.5997978973392353,0.0018465126460027303,4.661634376097794e-06,0.5218020129174986
I.12.4,2.693613781166508e-07,0.00018403750038411816,4.483361379843667e-05,0.09516582042462705,0.9152659760800932,1.0,4.483361039918737e-05,0.38632016971952754,0.028734184978495694,0.7465284338787221,0.00018149253561371864,0.006854848978159541,0.6385335606116253,0.0013303892501297604,0.003401294263885125,0.07512153112657328,0.005741784427023134,0.0020531797623681938,0.01745392464695324,0.7243198526083623,0.03426257225830762,0.3252823007105867,0.1475548156067278,0.876714387325958,0.2704057596429576,0.7148352111178695,0.0007213592151510434,0.0011014327945372809,0.09471177771617226,0.0001433886688349394,0.09468897891836335,0.7562056630340335,0.006447203913604493,0.25232408823404484,0.24880510580654966,0.31641106464448077,0.15766438848475195,2.6170119996065742e-05,0.008489102509698086,0.008710680008785858,0.5755149031803573,0.012098692180871036,0.1307701684659836,3.617384836479165e-06,0.336598420557896,0.06615009264781826,0.001320284882405566,0.08610391998312614,0.9291422707444108,0.006500153095223305,0.5501692820351961,0.01670910961138603,0.0007312543867164928,0.0064734520210908315,0.27482612695846,0.1474330170078559,0.0035653388833785157,0.06915380908837225,1.2010334793686169e-09,0.006825974712802161,0.33015237102510187,0.01614377579964252,0.003995804127922976,0.5292179309781866,0.061863963883951704,0.08630717304271068,0.09996750409742391,0.013379387074296839,0.057337464585835975,0.11929999803922042,0.003808106954119145,0.09790640878497957,0.011499192071612258,0.21712635889906884,0.0011912769824319429,0.0053661886914905,0.0815273472615776,0.016455659122909957,0.8528237079990664,0.029908337682816994,0.5371022563667056,0.019742494071343816,0.3597328100939785,0.0023752222186422846,0.7769432309908165,0.7856289356561165,0.025517166757637138,0.002103146772014846,0.043820613833658165,0.20703842448529053,0.012563181672310878,2.457090191979628e-07,0.3105914041718071,0.15772577789985476,0.00015269346205735375,0.013746321141914517,9.70604594894333e-07,0.9915931351368918,0.31974848293013736,0.08756724717552279,0.16372250513333653,0.00013112280857470918,5.044355011867477e-05,0.06284284082681059,0.008783426043698127,0.3237041888165607,0.022495654031641023,0.006879124179014865,0.002707138888710998,0.0027727965697187046,0.00019505711539397462,0.011895164526721963,0.5228565206671011,0.4093271881780516,6.587019101923641e-06,0.00012291954112228804,0.6099894382451173,0.0018046029100221076,3.398542283453124e-06,0.5218021536210763
I.12.5,3.927973749515456e-08,0.0001740980722551587,0.4569194210797508,0.09383459348487996,0.12859888987308865,4.483361039918737e-05,1.0,0.3866852008714704,0.02795283314587979,0.7223846786047572,0.0001628583728157993,0.0024696241359980654,0.8979005228699697,0.0008021448895373716,0.0011677806822005064,0.07136786244562912,0.005631672371454952,0.0009315109437069836,0.016589417524539556,0.10597012475000045,0.006246956535370113,0.12299314389110648,0.12736161157424988,0.18307743124687723,0.2408542113645826,0.03298774626164134,0.0006244636656188274,0.0005167014616047914,0.06984336507536307,7.997666731351314e-05,0.057079869623970866,0.7772493328539052,0.005359942942485647,0.20478222398878068,0.21195825783634317,0.27700786509397846,0.15346158559831943,8.034787279431728e-06,0.007136061371933437,0.008105518892655367,0.5395670539826511,0.009463725097767627,0.129477849659759,1.7189610921885574e-06,0.3344217904654925,0.0566973893817421,0.9705003030051468,0.010219910899673047,0.00018299834025109374,0.004674542930003698,0.2732066936344407,0.0029302483385685563,0.0006605466996622049,0.0012825431294303919,0.04544145950017383,0.009103014864324544,0.0021407160332373924,0.36133229129889666,8.368858905351126e-11,0.0026698028308738894,0.31077735345567153,0.014782830921782833,0.003765861538989304,0.06549144289199536,0.02096679221272459,0.08569410485917736,0.09400077645600871,0.7226523669015364,0.05358744737746663,0.11219749322689224,0.0006374262684000955,0.0977791020135383,0.004686212575918519,0.07438482616786585,0.0009702931047033244,0.0035750890185857727,0.07842748152369951,0.0014976917761471752,0.8299968760746173,0.46310806430977347,9.248079845861419e-05,0.00450879448109192,0.2905403395976757,0.002179318752341315,0.023339214815396893,0.7560620680010472,0.014204467997731207,0.002101254324982281,0.04148983231102508,0.19937593632787853,0.020207191648934583,1.9676746000506058e-07,0.29680034162138036,0.12740648948548758,0.00014139417297799543,0.013104528565712622,4.893998199001575e-07,0.9961155032837902,0.3197484986087006,0.0852861715061186,0.15969654528187893,3.2960309505517335e-05,2.4984208946597116e-05,0.060953270423964784,0.00933850051421468,0.3236984452607793,0.010599690280328459,0.006715453705803058,0.002706448597827041,0.0010888861920363721,0.0001831575131251287,0.00980771384078139,0.5113184225276484,0.2843997483269981,1.8062455504218197e-06,8.828728344952049e-05,0.37530755141175853,0.0008555505862502678,5.256807596331053e-07,0.5218001258089452
I.13.12,0.3814812098734609,0.3021064862693209,0.38668520086975666,0.30598969085349775,0.38634552454705706,0.38632016971952754,0.3866852008714704,1.0,0.3193945301622456,0.3827536228770305,0.34117487260480905,0.3833295954240785,0.3868226243040811,0.3785093835760248,0.38304287037125606,0.35977714192952703,0.2541030739126634,0.38156793403437317,0.3430732160536346,0.38621369441036957,0.38505746819621145,0.3856698118578914,0.37951211258561046,0.38636016586616617,0.3807052396555788,0.3862383354731256,0.35745910925887403,0.38086173390061007,0.3820800746561589,0.37721991802338195,0.38370759447388514,0.39057830683699046,0.37065288833616694,0.38296047990340276,0.3819337513794391,0.382071979636177,0.3524544464963203,0.3808215499419564,0.3706357080286249,0.34975148317000126,0.3825536186871036,0.3760095792338398,0.29243509918342164,0.37625802301002576,0.31656759182251926,0.37673126827480885,0.3866879371779257,0.3865081716096813,0.3863086732386012,0.37741712864949284,0.3858786794893848,0.3848143644958336,0.3460026485686779,0.38433773144800387,0.3858676538549284,0.38584103872629605,0.3797544108310389,0.3865806413996814,0.38167508177357257,0.3830828058616442,0.37755239530608253,0.3603082996748245,0.33485364187421307,0.3861219326556945,0.38477442351069646,0.23830171321538873,0.36676538321236496,0.38664944668536994,0.3636968513297524,0.3683745134398194,0.38431528632739353,0.07204110908266692,0.38330906227745665,0.38549193369472223,0.3672484459654465,0.37875493397010684,0.3527938452047359,0.3851729744776444,0.38412747435355465,0.38661043095180037,0.38638947296111514,0.3846499633067275,0.3864991673444309,0.3467849699407266,0.38626277435605416,0.3838283561646818,0.38265816709833333,0.0014819415804574,0.35567815030560956,0.36572468090417076,0.3865691167198455,0.3476538608401716,0.37401174792054614,0.38175839913349097,0.32270521817997366,0.33769155295039543,0.37436078734376355,0.3902157163050005,0.31976881171930344,0.3395152540592914,0.3505401348647751,0.38227340205810867,0.3778300739335404,0.33950987289886914,0.3865733583865645,0.3163873676032676,0.38332450018468045,0.2802961843585172,0.002073480499107229,0.38246652100784095,0.3117415871667638,0.3732264951977339,0.37373620789877326,0.3850937684512108,0.38065728368771223,0.3702757628016756,0.3858237484915258,0.3811948928238652,0.3820984731669518,0.5191809764939614
I.13.4,0.041158894117586296,0.6274497712813161,0.027952833149499902,0.7841577064915706,0.02868230680552081,0.028734184978495694,0.02795283314587979,0.3193945301622456,1.0,0.0490651843099957,0.47304153607870114,0.035999654378501195,0.027742110341639654,0.05141716957209812,0.036767271517838304,0.2146926280071413,0.19899170517453027,0.04103789930377133,0.4752443639227686,0.028971074350789758,0.03161344132627888,0.03020490848870009,0.04957277680024039,0.028651354496390117,0.0459607796903291,0.02891443447883964,0.20918019089259735,0.04322015881017102,0.039907612003514,0.05623363763670731,0.03511271593011695,0.03157136253945164,0.09153786578412064,0.03762210920143043,0.041064520072432664,0.04097938449236662,0.3714968132573494,0.04324166631388938,0.09200622049826228,0.3372605651653928,0.042082133848769326,0.0624691676460702,0.6507289083158194,0.05997525058662806,0.9242168996070586,0.060683145623243964,0.02794743241905963,0.02832942890896566,0.028759239429438612,0.05602928078304735,0.029743357792651675,0.0321942500623339,0.38546683586492136,0.03336487328382616,0.029740633848453542,0.029795565327657425,0.0470078639044526,0.028175442446768104,0.04055834546500401,0.03667509668715918,0.06364326191244883,0.18810398918176427,0.6324758123509694,0.029172446117388506,0.03231245967843989,0.315309652466578,0.13545981098327678,0.028029172930322203,0.16086633486342128,0.12210488676414989,0.03341644662547037,0.1263371444507742,0.036070422727857265,0.030610934178564364,0.11357942392204583,0.050692318737056,0.3295932754121311,0.03133258137258367,0.04710196316712593,0.028111929686147664,0.02858430722433412,0.03259939016329035,0.02835053261793816,0.3784304118486599,0.028860607054805133,0.042087135179077674,0.03794108398296617,0.0025159158136962233,0.26379151059331835,0.16576514031610373,0.028199229235195477,0.338130578918721,0.08920280048441089,0.04121227460920005,0.9043993192080717,0.5860569857376002,0.06841406382498745,0.31436233062734553,0.31974539178997896,0.6032915743790095,0.4128923278435075,0.038880630908070084,0.05374995706668136,0.5879203820350205,0.028190153127188734,0.32483815306966546,0.03605499955633115,0.384519939893752,0.002847123253044645,0.03838462014301911,0.8321590183715176,0.07669149867866382,0.12571404043596332,0.03166951377634971,0.043742066060999736,0.09137854537046226,0.02989569027313158,0.042187538385852215,0.0393524009008143,0.522202048979541
I.14.3,0.9176669788304085,0.0010018101361190886,0.7223846787173873,0.11723593710937066,0.7448846747096922,0.7465284338787221,0.7223846786047572,0.3827536228770305,0.0490651843099957,1.0,0.009613223939025176,0.952552181142787,0.7146045541033375,0.7188181594432036,0.972650016905595,0.21398478509012625,0.008102336478081267,0.9240957878680509,0.059463481425831355,0.7536940172130757,0.8321814210849566,0.7905346496766223,0.7958672335829229,0.7439217830280824,0.8736791429875366,0.7520115022149476,0.0687475287476695,0.8751604100309505,0.9602458478268938,0.636307360963936,0.9265343392965163,0.6550862650525013,0.33784427610924006,0.9794097214542477,0.9511626959819086,0.9607022412365034,0.24793879622906947,0.8719177960034881,0.3407360542772109,0.06091694071379942,0.9918248990826848,0.5776453683160736,0.14936270526938647,0.5761250069951575,0.36336716038302497,0.6313006225817634,0.7222106408787174,0.7340598472613595,0.7472951235600388,0.6543287131854819,0.7765470098189687,0.8489200627877419,0.021893443138193427,0.8819649742681651,0.7769583035663588,0.7786962948983015,0.8007283383267803,0.7292831449661353,0.931203792148537,0.9698803130818398,0.7201301147636148,0.14542922105547004,0.02066978882162507,0.7598297979924392,0.851850523807141,0.09445812318465281,0.3253763084934025,0.724747023801025,0.24037499640676144,0.3692338660629745,0.8834985748294877,0.09926133362502311,0.9540350558403925,0.8025981714788587,0.21953564569928505,0.7361732958842404,0.17414669257399917,0.8241783237895712,0.9358182002898937,0.7273164540541439,0.7419226371579862,0.8603328920216267,0.7346820961821132,0.032799271738279664,0.7503742431591917,0.9399575630231312,0.999729560065447,0.0021230643509129394,0.14718781281898427,0.38684484008347886,0.7300323413415679,0.007631278304518312,0.5967575224726325,0.9387848179153455,0.0022231520472494335,0.04373932253210509,0.4697843979383951,0.946858345061921,0.31974832487771376,0.14004004846396728,0.24625488536839926,0.9733225817216814,0.6733352889521714,0.11242196529109866,0.7297518143616195,0.3237621242278871,0.9530258421241509,0.010958820587120565,0.0027141836612746746,0.9868901489900488,0.0014764909411849622,0.4438780543704488,0.68815234170612,0.8309703010553614,0.8604630539965779,0.2983532325283004,0.7805910264111261,0.8982193371339287,0.9610052872326614,0.521822597798512
