Function,Pop_Size,Iters,fitness
OneMax,146,146,998.0
OneMax,146,146,997.0
OneMax,146,146,1000.0
OneMax,146,146,999.0
OneMax,146,146,999.0
OneMax,146,146,999.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,999.0
OneMax,146,146,998.0
OneMax,146,146,995.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,996.0
OneMax,146,146,998.0
OneMax,146,146,999.0
OneMax,146,146,999.0
OneMax,146,146,996.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,997.0
OneMax,146,146,999.0
OneMax,146,146,1000.0
OneMax,146,146,996.0
OneMax,146,146,998.0
OneMax,146,146,994.0
OneMax,146,146,997.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,999.0
OneMax,146,146,999.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,997.0
OneMax,146,146,999.0
OneMax,146,146,994.0
OneMax,146,146,998.0
OneMax,146,146,1000.0
OneMax,146,146,1000.0
OneMax,146,146,997.0
OneMax,146,146,997.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,996.0
OneMax,146,146,998.0
OneMax,146,146,1000.0
OneMax,146,146,999.0
OneMax,146,146,1000.0
OneMax,146,146,997.0
OneMax,146,146,999.0
OneMax,146,146,998.0
OneMax,146,146,999.0
OneMax,146,146,998.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,1000.0
OneMax,146,146,995.0
OneMax,146,146,1000.0
OneMax,146,146,1000.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,999.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,999.0
OneMax,146,146,996.0
OneMax,146,146,999.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,1000.0
OneMax,146,146,998.0
OneMax,146,146,997.0
OneMax,146,146,1000.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,1000.0
OneMax,146,146,999.0
OneMax,146,146,1000.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,998.0
OneMax,146,146,999.0
OneMax,146,146,997.0
OneMax,146,146,999.0
OneMax,146,146,995.0
OneMax,146,146,997.0
OneMax,146,146,996.0
OneMax,146,146,997.0
OneMax,146,146,999.0
OneMax,146,146,998.0
OneMax,146,146,997.0
OneMax,146,146,998.0
OneMax,146,146,1000.0
OneMax,146,146,997.0
OneMax,146,146,999.0
ZeroOne,230,230,487.0
ZeroOne,230,230,491.0
ZeroOne,230,230,492.0
ZeroOne,230,230,487.0
ZeroOne,230,230,488.0
