Function,Pop_Size,Iters,fitness
OneMax,146,146,968.0
OneMax,146,146,973.0
OneMax,146,146,967.0
OneMax,146,146,969.0
OneMax,146,146,962.0
OneMax,146,146,969.0
OneMax,146,146,973.0
OneMax,146,146,986.0
OneMax,146,146,965.0
OneMax,146,146,972.0
OneMax,146,146,978.0
OneMax,146,146,965.0
OneMax,146,146,977.0
OneMax,146,146,981.0
OneMax,146,146,973.0
OneMax,146,146,974.0
OneMax,146,146,964.0
OneMax,146,146,974.0
OneMax,146,146,977.0
OneMax,146,146,974.0
OneMax,146,146,978.0
OneMax,146,146,985.0
OneMax,146,146,980.0
OneMax,146,146,978.0
OneMax,146,146,959.0
OneMax,146,146,961.0
OneMax,146,146,974.0
OneMax,146,146,977.0
OneMax,146,146,968.0
OneMax,146,146,964.0
OneMax,146,146,967.0
OneMax,146,146,976.0
OneMax,146,146,970.0
OneMax,146,146,977.0
OneMax,146,146,968.0
OneMax,146,146,976.0
OneMax,146,146,974.0
OneMax,146,146,979.0
OneMax,146,146,962.0
OneMax,146,146,972.0
OneMax,146,146,965.0
OneMax,146,146,966.0
OneMax,146,146,984.0
OneMax,146,146,970.0
OneMax,146,146,967.0
OneMax,146,146,979.0
OneMax,146,146,967.0
OneMax,146,146,970.0
OneMax,146,146,975.0
OneMax,146,146,979.0
OneMax,146,146,978.0
OneMax,146,146,973.0
OneMax,146,146,981.0
OneMax,146,146,974.0
OneMax,146,146,985.0
OneMax,146,146,956.0
OneMax,146,146,973.0
OneMax,146,146,972.0
OneMax,146,146,974.0
OneMax,146,146,970.0
OneMax,146,146,973.0
OneMax,146,146,982.0
OneMax,146,146,969.0
OneMax,146,146,978.0
OneMax,146,146,973.0
OneMax,146,146,981.0
OneMax,146,146,956.0
OneMax,146,146,974.0
OneMax,146,146,975.0
OneMax,146,146,972.0
OneMax,146,146,976.0
OneMax,146,146,977.0
OneMax,146,146,980.0
OneMax,146,146,973.0
OneMax,146,146,983.0
OneMax,146,146,949.0
OneMax,146,146,976.0
OneMax,146,146,979.0
OneMax,146,146,973.0
OneMax,146,146,968.0
OneMax,146,146,964.0
OneMax,146,146,961.0
OneMax,146,146,982.0
OneMax,146,146,979.0
OneMax,146,146,977.0
OneMax,146,146,981.0
OneMax,146,146,966.0
OneMax,146,146,975.0
OneMax,146,146,966.0
OneMax,146,146,974.0
OneMax,146,146,982.0
OneMax,146,146,976.0
OneMax,146,146,970.0
OneMax,146,146,975.0
OneMax,146,146,971.0
OneMax,146,146,977.0
OneMax,146,146,968.0
OneMax,146,146,973.0
OneMax,146,146,985.0
OneMax,146,146,965.0
ZeroOne,230,230,481.0
ZeroOne,230,230,480.0
ZeroOne,230,230,482.0
ZeroOne,230,230,481.0
ZeroOne,230,230,479.0
ZeroOne,230,230,489.0
ZeroOne,230,230,488.0
ZeroOne,230,230,477.0
ZeroOne,230,230,478.0
ZeroOne,230,230,480.0
ZeroOne,230,230,483.0
ZeroOne,230,230,473.0
ZeroOne,230,230,478.0
ZeroOne,230,230,479.0
ZeroOne,230,230,472.0
ZeroOne,230,230,472.0
ZeroOne,230,230,471.0
ZeroOne,230,230,470.0
ZeroOne,230,230,470.0
ZeroOne,230,230,477.0
ZeroOne,230,230,473.0
ZeroOne,230,230,481.0
ZeroOne,230,230,483.0
ZeroOne,230,230,469.0
ZeroOne,230,230,479.0
ZeroOne,230,230,473.0
ZeroOne,230,230,479.0
ZeroOne,230,230,484.0
ZeroOne,230,230,476.0
ZeroOne,230,230,487.0
ZeroOne,230,230,475.0
ZeroOne,230,230,480.0
ZeroOne,230,230,480.0
ZeroOne,230,230,476.0
ZeroOne,230,230,479.0
ZeroOne,230,230,479.0
ZeroOne,230,230,469.0
ZeroOne,230,230,482.0
ZeroOne,230,230,472.0
ZeroOne,230,230,484.0
ZeroOne,230,230,474.0
ZeroOne,230,230,471.0
ZeroOne,230,230,482.0
ZeroOne,230,230,475.0
ZeroOne,230,230,483.0
ZeroOne,230,230,474.0
ZeroOne,230,230,475.0
ZeroOne,230,230,477.0
ZeroOne,230,230,478.0
ZeroOne,230,230,477.0
ZeroOne,230,230,474.0
ZeroOne,230,230,473.0
ZeroOne,230,230,487.0
ZeroOne,230,230,480.0
ZeroOne,230,230,482.0
ZeroOne,230,230,476.0
ZeroOne,230,230,480.0
ZeroOne,230,230,479.0
ZeroOne,230,230,482.0
ZeroOne,230,230,481.0
ZeroOne,230,230,482.0
ZeroOne,230,230,478.0
ZeroOne,230,230,484.0
ZeroOne,230,230,481.0
ZeroOne,230,230,476.0
ZeroOne,230,230,487.0
ZeroOne,230,230,481.0
ZeroOne,230,230,472.0
ZeroOne,230,230,489.0
ZeroOne,230,230,477.0
ZeroOne,230,230,479.0
ZeroOne,230,230,478.0
ZeroOne,230,230,483.0
ZeroOne,230,230,469.0
ZeroOne,230,230,472.0
ZeroOne,230,230,476.0
ZeroOne,230,230,477.0
ZeroOne,230,230,482.0
ZeroOne,230,230,475.0
ZeroOne,230,230,479.0
ZeroOne,230,230,481.0
ZeroOne,230,230,472.0
ZeroOne,230,230,470.0
ZeroOne,230,230,484.0
ZeroOne,230,230,485.0
ZeroOne,230,230,486.0
ZeroOne,230,230,476.0
ZeroOne,230,230,474.0
ZeroOne,230,230,486.0
ZeroOne,230,230,480.0
ZeroOne,230,230,476.0
ZeroOne,230,230,473.0
ZeroOne,230,230,478.0
ZeroOne,230,230,474.0
ZeroOne,230,230,473.0
ZeroOne,230,230,471.0
ZeroOne,230,230,472.0
ZeroOne,230,230,470.0
ZeroOne,230,230,483.0
ZeroOne,230,230,481.0
LeadingOnes,1600,1600,609
LeadingOnes,1600,1600,625
LeadingOnes,1600,1600,631
LeadingOnes,1600,1600,572
LeadingOnes,1600,1600,622
LeadingOnes,1600,1600,638
LeadingOnes,1600,1600,668
LeadingOnes,1600,1600,637
LeadingOnes,1600,1600,659
LeadingOnes,1600,1600,632
LeadingOnes,1600,1600,681
LeadingOnes,1600,1600,656
LeadingOnes,1600,1600,620
LeadingOnes,1600,1600,686
LeadingOnes,1600,1600,651
LeadingOnes,1600,1600,669
LeadingOnes,1600,1600,637
LeadingOnes,1600,1600,669
LeadingOnes,1600,1600,640
LeadingOnes,1600,1600,666
LeadingOnes,1600,1600,656
LeadingOnes,1600,1600,651
LeadingOnes,1600,1600,577
LeadingOnes,1600,1600,622
LeadingOnes,1600,1600,660
LeadingOnes,1600,1600,662
LeadingOnes,1600,1600,624
LeadingOnes,1600,1600,629
LeadingOnes,1600,1600,609
LeadingOnes,1600,1600,609
LeadingOnes,1600,1600,691
LeadingOnes,1600,1600,625
LeadingOnes,1600,1600,629
LeadingOnes,1600,1600,651
LeadingOnes,1600,1600,648
LeadingOnes,1600,1600,669
LeadingOnes,1600,1600,616
LeadingOnes,1600,1600,657
LeadingOnes,1600,1600,642
LeadingOnes,1600,1600,643
LeadingOnes,1600,1600,650
LeadingOnes,1600,1600,666
LeadingOnes,1600,1600,582
LeadingOnes,1600,1600,599
LeadingOnes,1600,1600,592
LeadingOnes,1600,1600,635
LeadingOnes,1600,1600,661
LeadingOnes,1600,1600,660
LeadingOnes,1600,1600,646
LeadingOnes,1600,1600,665
LeadingOnes,1600,1600,652
LeadingOnes,1600,1600,651
LeadingOnes,1600,1600,647
LeadingOnes,1600,1600,674
LeadingOnes,1600,1600,630
LeadingOnes,1600,1600,658
LeadingOnes,1600,1600,620
LeadingOnes,1600,1600,611
LeadingOnes,1600,1600,603
LeadingOnes,1600,1600,636
LeadingOnes,1600,1600,676
LeadingOnes,1600,1600,630
LeadingOnes,1600,1600,607
LeadingOnes,1600,1600,609
LeadingOnes,1600,1600,648
LeadingOnes,1600,1600,598
LeadingOnes,1600,1600,661
LeadingOnes,1600,1600,613
LeadingOnes,1600,1600,670
LeadingOnes,1600,1600,682
LeadingOnes,1600,1600,646
LeadingOnes,1600,1600,639
LeadingOnes,1600,1600,640
LeadingOnes,1600,1600,624
LeadingOnes,1600,1600,650
LeadingOnes,1600,1600,653
LeadingOnes,1600,1600,615
LeadingOnes,1600,1600,644
LeadingOnes,1600,1600,657
LeadingOnes,1600,1600,667
LeadingOnes,1600,1600,658
LeadingOnes,1600,1600,692
LeadingOnes,1600,1600,629
LeadingOnes,1600,1600,626
LeadingOnes,1600,1600,601
LeadingOnes,1600,1600,607
LeadingOnes,1600,1600,644
LeadingOnes,1600,1600,679
LeadingOnes,1600,1600,641
LeadingOnes,1600,1600,615
LeadingOnes,1600,1600,605
LeadingOnes,1600,1600,618
LeadingOnes,1600,1600,718
LeadingOnes,1600,1600,677
LeadingOnes,1600,1600,661
LeadingOnes,1600,1600,657
LeadingOnes,1600,1600,602
LeadingOnes,1600,1600,647
LeadingOnes,1600,1600,664
LeadingOnes,1600,1600,656
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
