Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
ShiftedRosenbrock,2,270,270,1,112.0
ShiftedRosenbrock,2,270,270,1,132.0
ShiftedRosenbrock,2,270,270,1,167.0
ShiftedRosenbrock,2,270,270,1,150.0
ShiftedRosenbrock,2,270,270,1,204.0
ShiftedRosenbrock,2,270,270,1,67.0
ShiftedRosenbrock,2,270,270,1,98.0
ShiftedRosenbrock,2,270,270,1,193.0
ShiftedRosenbrock,2,270,270,1,200.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,157.0
ShiftedRosenbrock,2,270,270,1,209.0
ShiftedRosenbrock,2,270,270,1,129.0
ShiftedRosenbrock,2,270,270,1,180.0
ShiftedRosenbrock,2,270,270,1,214.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,119.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,177.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,149.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,161.0
ShiftedRosenbrock,2,270,270,1,203.0
ShiftedRosenbrock,2,270,270,1,186.0
ShiftedRosenbrock,2,270,270,1,199.0
ShiftedRosenbrock,2,270,270,1,175.0
ShiftedRosenbrock,2,270,270,1,71.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,73.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,199.0
ShiftedRosenbrock,2,270,270,1,138.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,128.0
ShiftedRosenbrock,2,270,270,1,115.0
ShiftedRosenbrock,2,270,270,1,66.0
ShiftedRosenbrock,2,270,270,1,138.0
ShiftedRosenbrock,2,270,270,1,226.0
ShiftedRosenbrock,2,270,270,1,179.0
ShiftedRosenbrock,2,270,270,1,268.0
ShiftedRosenbrock,2,270,270,1,153.0
ShiftedRosenbrock,2,270,270,1,23.0
ShiftedRosenbrock,2,270,270,1,220.0
ShiftedRosenbrock,2,270,270,1,166.0
ShiftedRosenbrock,2,270,270,1,139.0
ShiftedRosenbrock,2,270,270,1,110.0
ShiftedRosenbrock,2,270,270,1,149.0
ShiftedRosenbrock,2,270,270,1,245.0
ShiftedRosenbrock,2,270,270,1,145.0
ShiftedRosenbrock,2,270,270,1,208.0
ShiftedRosenbrock,2,270,270,1,95.0
ShiftedRosenbrock,2,270,270,1,237.0
ShiftedRosenbrock,2,270,270,1,65.0
ShiftedRosenbrock,2,270,270,1,115.0
ShiftedRosenbrock,2,270,270,1,28.0
ShiftedRosenbrock,2,270,270,1,115.0
ShiftedRosenbrock,2,270,270,1,205.0
ShiftedRosenbrock,2,270,270,1,178.0
ShiftedRosenbrock,2,270,270,1,122.0
ShiftedRosenbrock,2,270,270,1,182.0
ShiftedRosenbrock,2,270,270,1,173.0
ShiftedRosenbrock,2,270,270,1,148.0
ShiftedRosenbrock,2,270,270,1,128.0
ShiftedRosenbrock,2,270,270,1,70.0
ShiftedRosenbrock,2,270,270,1,56.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,255.0
ShiftedRosenbrock,2,270,270,1,29.0
ShiftedRosenbrock,2,270,270,1,26.0
ShiftedRosenbrock,2,270,270,1,49.0
ShiftedRosenbrock,2,270,270,1,94.0
ShiftedRosenbrock,2,270,270,1,112.0
ShiftedRosenbrock,2,270,270,1,72.0
ShiftedRosenbrock,2,270,270,1,127.0
ShiftedRosenbrock,2,270,270,1,40.0
ShiftedRosenbrock,2,270,270,1,164.0
ShiftedRosenbrock,2,270,270,1,126.0
ShiftedRosenbrock,2,270,270,1,111.0
ShiftedRosenbrock,2,270,270,1,41.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,232.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,192.0
ShiftedRosenbrock,2,270,270,1,161.0
ShiftedRosenbrock,2,270,270,1,64.0
ShiftedRosenbrock,2,270,270,1,34.0
ShiftedRosenbrock,2,270,270,1,232.0
ShiftedRosenbrock,2,270,270,1,270.0
ShiftedRosenbrock,2,270,270,1,55.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,63.0
ShiftedRosenbrock,2,270,270,1,104.0
ShiftedRosenbrock,2,270,270,1,87.0
ShiftedRosenbrock,2,270,270,1,187.0
ShiftedRosenbrock,2,270,270,1,198.0
ShiftedRosenbrock,2,270,270,1,201.0
ShiftedRosenbrock,2,270,270,1,129.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRotatedGriewank,2,650,650,1,218.0
ShiftedRotatedGriewank,2,650,650,1,69.0
ShiftedRotatedGriewank,2,650,650,1,160.0
ShiftedRotatedGriewank,2,650,650,1,104.0
ShiftedRotatedGriewank,2,650,650,1,123.0
ShiftedRotatedGriewank,2,650,650,1,407.0
ShiftedRotatedGriewank,2,650,650,1,99.0
ShiftedRotatedGriewank,2,650,650,1,393.0
ShiftedRotatedGriewank,2,650,650,1,353.0
ShiftedRotatedGriewank,2,650,650,1,118.0
ShiftedRotatedGriewank,2,650,650,1,81.0
ShiftedRotatedGriewank,2,650,650,1,62.0
