Function,Dimensions,new1_runs,new1_found,new1_reliability,new1_mean_generation_found,new1_median_generation_found,new2_runs,new2_found,new2_reliability,new2_mean_generation_found,new2_median_generation_found,delta_reliability_new2_minus_new1,delta_mean_generation_new2_minus_new1,delta_median_generation_new2_minus_new1
Ackley,30,100,0,0.0,,,100,90,0.9,229.37777777777777,230.5,0.9,,
ExpandedScaffers_F6,2,100,69,0.69,45.52173913043478,42.0,100,80,0.8,40.6375,38.0,0.1100000000000001,-4.8842391304347785,-4.0
Griewank,30,100,66,0.66,401.22727272727275,400.0,100,63,0.63,331.8888888888889,327.0,-0.030000000000000027,-69.33838383838383,-73.0
HighConditionedElliptic,30,100,1,0.01,354.0,354.0,100,93,0.93,334.55913978494624,336.0,0.92,-19.44086021505376,-18.0
HybridCompositionFunction1,10,100,65,0.65,219.96923076923076,157.0,100,57,0.57,251.31578947368422,190.0,-0.08000000000000007,31.346558704453457,33.0
HybridCompositionFunction3,2,100,69,0.69,47.289855072463766,42.0,100,86,0.86,59.174418604651166,55.0,0.17000000000000004,11.8845635321874,13.0
HybridCompositionFunction3H,2,100,21,0.21,118.52380952380952,114.0,100,21,0.21,147.66666666666666,152.0,0.0,29.14285714285714,38.0
HybridCompositionFunction4,2,100,1,0.01,90.0,90.0,100,0,0.0,,,-0.01,,
HybridCompositionFunction4withoutbounds,2,100,0,0.0,,,100,2,0.02,3.0,3.0,0.02,,
NonContinuousHybridCompositionFunction3,2,100,69,0.69,59.31884057971015,43.0,100,75,0.75,91.41333333333333,59.0,0.06000000000000005,32.09449275362318,16.0
Rastrigin,30,100,39,0.39,662.8974358974359,686.0,100,47,0.47,662.6382978723404,683.0,0.07999999999999996,-0.25913802509546713,-3.0
Rosenbrock,2,100,61,0.61,39.40983606557377,32.0,100,71,0.71,38.098591549295776,37.0,0.09999999999999998,-1.3112445162779949,5.0
RotatedHybridCompositionFunction,2,100,68,0.68,51.911764705882355,39.0,100,51,0.51,91.6470588235294,70.0,-0.17000000000000004,39.73529411764705,31.0
RotatedVersionHybridCompositionFunction1,2,100,95,0.95,33.810526315789474,28.0,100,95,0.95,31.305263157894736,28.0,0.0,-2.5052631578947384,0.0
RotatedVersionHybridCompositionFunction1Noise,2,100,89,0.89,36.662921348314605,30.0,100,91,0.91,32.065934065934066,26.0,0.020000000000000018,-4.596987282380539,-4.0
ShiftedExpandedGriewankRosenbrock,2,100,79,0.79,34.050632911392405,27.0,100,81,0.81,41.93827160493827,38.0,0.020000000000000018,7.887638693545867,11.0
ShiftedRastrigin,10,100,75,0.75,127.76,126.0,100,78,0.78,155.94871794871796,145.5,0.030000000000000027,28.18871794871795,19.5
ShiftedRosenbrock,2,100,56,0.56,103.83928571428571,92.5,100,67,0.67,95.83582089552239,93.0,0.10999999999999999,-8.00346481876332,0.5
ShiftedRotatedGriewank,2,100,89,0.89,69.52808988764045,69.0,100,88,0.88,80.5,72.0,-0.010000000000000009,10.971910112359552,3.0
ShiftedRotatedRastrigin,10,100,0,0.0,,,100,0,0.0,,,0.0,,
ShiftedSchwefe1_2,10,100,99,0.99,488.7070707070707,477.0,100,91,0.91,593.1538461538462,612.0,-0.07999999999999996,104.44677544677546,135.0
ShiftedSchwefe1_2WithNoise,10,100,77,0.77,524.5194805194806,539.0,100,34,0.34,594.7352941176471,593.0,-0.43,70.2158135981665,54.0
ShiftedSphere,10,100,5,0.05,121.8,123.0,100,71,0.71,112.63380281690141,113.0,0.6599999999999999,-9.166197183098589,-10.0
Sphere,30,100,6,0.06,207.66666666666666,209.0,100,91,0.91,190.21978021978023,189.0,0.8500000000000001,-17.446886446886424,-20.0
Weierstrass,5,100,1,0.01,14.0,14.0,100,0,0.0,,,-0.01,,
