Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
ShiftedRosenbrock,2,270,270,1,89.0
ShiftedRosenbrock,2,270,270,1,247.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,46.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,51.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,49.0
ShiftedRosenbrock,2,270,270,1,73.0
ShiftedRosenbrock,2,270,270,1,62.0
ShiftedRosenbrock,2,270,270,1,90.0
ShiftedRosenbrock,2,270,270,1,100.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,116.0
ShiftedRosenbrock,2,270,270,1,38.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,204.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,133.0
ShiftedRosenbrock,2,270,270,1,97.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,49.0
ShiftedRosenbrock,2,270,270,1,63.0
ShiftedRosenbrock,2,270,270,1,107.0
ShiftedRosenbrock,2,270,270,1,37.0
ShiftedRosenbrock,2,270,270,1,76.0
ShiftedRosenbrock,2,270,270,1,135.0
ShiftedRosenbrock,2,270,270,1,113.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,92.0
ShiftedRosenbrock,2,270,270,1,22.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,59.0
ShiftedRosenbrock,2,270,270,1,256.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,136.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,210.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,70.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,74.0
ShiftedRosenbrock,2,270,270,1,159.0
ShiftedRosenbrock,2,270,270,1,108.0
ShiftedRosenbrock,2,270,270,1,145.0
ShiftedRosenbrock,2,270,270,1,67.0
ShiftedRosenbrock,2,270,270,1,52.0
ShiftedRosenbrock,2,270,270,1,77.0
ShiftedRosenbrock,2,270,270,1,237.0
ShiftedRosenbrock,2,270,270,1,47.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
