Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
ShiftedRosenbrock,2,270,270,1,76.0
ShiftedRosenbrock,2,270,270,1,74.0
ShiftedRosenbrock,2,270,270,1,102.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,72.0
ShiftedRosenbrock,2,270,270,1,63.0
ShiftedRosenbrock,2,270,270,1,97.0
ShiftedRosenbrock,2,270,270,1,116.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,199.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,35.0
ShiftedRosenbrock,2,270,270,1,177.0
ShiftedRosenbrock,2,270,270,1,36.0
ShiftedRosenbrock,2,270,270,1,77.0
ShiftedRosenbrock,2,270,270,1,125.0
ShiftedRosenbrock,2,270,270,1,183.0
ShiftedRosenbrock,2,270,270,1,134.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,215.0
ShiftedRosenbrock,2,270,270,1,136.0
ShiftedRosenbrock,2,270,270,1,132.0
ShiftedRosenbrock,2,270,270,1,96.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,43.0
ShiftedRosenbrock,2,270,270,1,65.0
ShiftedRosenbrock,2,270,270,1,75.0
ShiftedRosenbrock,2,270,270,1,113.0
ShiftedRosenbrock,2,270,270,1,73.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,259.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,123.0
ShiftedRosenbrock,2,270,270,1,54.0
ShiftedRosenbrock,2,270,270,1,26.0
ShiftedRosenbrock,2,270,270,1,106.0
ShiftedRosenbrock,2,270,270,1,85.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,1,144.0
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
ShiftedRosenbrock,2,270,270,0,
