Function,Pop_Size,Iters,fitness,generation_found,FE
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,34,6800
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,27,5400
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,34,6800
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,34,6800
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,27,5400
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,34,6800
OneMax,100,200,100.0,26,5200
OneMax,100,200,100.0,28,5600
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,28,5600
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,33,6600
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,27,5400
OneMax,100,200,100.0,31,6200
OneMax,100,200,100.0,28,5600
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,34,6800
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,29,5800
OneMax,100,200,100.0,34,6800
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,28,5600
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,30,6000
OneMax,100,200,100.0,32,6400
OneMax,100,200,100.0,30,6000
