Function,Dimensions,Selection,Crossover,Pop_Size,Iters,find_solution,generation_found
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,4.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,6.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,4.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,1.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,9.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,1.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,10.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,7.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,8.0
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,0,
Func1,1,proportional,empty,10,10,1,5.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,1,5.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,1,9.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,1,8.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,1,8.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,1,10.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,1,7.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,1,8.0
Func1,1,proportional,uniform_1,10,10,0,
Func1,1,proportional,uniform_1,10,10,0,
