Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,X̅
prop | empty,0.08,0.8,0.67,0.72,0.66,1.0,1.0,0.33,1.0,0.23,0.07,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2756
prop | unif1,0.73,0.99,0.78,0.93,0.9,0.7,0.99,0.24,0.97,0.02,0.01,0.65,0.93,0.0,0.0,0.0,0.0,0.78,0.0,0.68,0.0,0.0,0.73,0.0,0.0,0.4412
prop | unif2,0.29,0.98,0.6,0.65,0.67,0.41,1.0,0.14,0.98,0.05,0.03,0.6,0.92,0.0,0.0,0.0,0.0,0.64,0.0,0.07,0.0,0.0,0.79,0.0,0.0,0.3527999999999999
prop | unif7,0.19,0.91,0.35,0.44,0.51,0.25,0.98,0.15,0.86,0.02,0.0,0.57,0.78,0.0,0.0,0.0,0.0,0.53,0.0,0.02,0.0,0.0,0.85,0.0,0.0,0.2964
prop | up2,0.42,0.98,0.55,0.68,0.75,0.46,1.0,0.18,0.91,0.01,0.0,0.59,0.85,0.0,0.0,0.0,0.0,0.61,0.0,0.07,0.0,0.0,0.78,0.0,0.0,0.3535999999999999
prop | up7,0.21,0.94,0.37,0.63,0.6,0.26,1.0,0.13,0.92,0.01,0.01,0.58,0.87,0.0,0.0,0.0,0.0,0.47,0.0,0.05,0.0,0.0,0.83,0.0,0.0,0.3152
prop | ur2,0.62,1.0,0.59,0.76,0.89,0.45,1.0,0.16,0.95,0.02,0.01,0.69,0.95,0.0,0.0,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.81,0.0,0.0,0.38599999999999995
prop | ur7,0.57,0.95,0.3,0.6,0.52,0.25,0.98,0.11,0.87,0.01,0.01,0.69,0.93,0.0,0.05,0.0,0.0,0.52,0.0,0.02,0.02,0.0,0.79,0.0,0.0,0.3275999999999999
prop | ut3,0.4,1.0,0.61,0.65,0.7,0.38,1.0,0.26,0.94,0.05,0.0,0.72,0.84,0.01,0.0,0.0,0.0,0.58,0.0,0.03,0.0,0.0,0.75,0.0,0.0,0.35679999999999995
prop | ut7,0.38,1.0,0.53,0.69,0.65,0.46,1.0,0.19,0.92,0.01,0.01,0.61,0.86,0.0,0.0,0.0,0.0,0.66,0.0,0.07,0.0,0.0,0.83,0.0,0.0,0.35479999999999995
rank | empty,0.05,0.82,0.67,0.71,0.72,1.0,0.99,0.37,1.0,0.21,0.14,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828
rank | unif1,0.84,0.97,0.85,0.95,0.92,0.58,1.0,0.22,0.86,0.01,0.0,0.79,0.93,0.0,0.0,0.05,0.02,0.67,0.0,0.52,0.0,0.0,0.73,0.0,0.0,0.4364
rank | unif2,0.76,0.73,0.5,0.78,0.71,0.02,0.99,0.02,0.76,0.0,0.0,0.7,0.92,0.0,0.01,0.0,0.0,0.6,0.0,0.01,0.0,0.0,0.87,0.0,0.0,0.33519999999999994
rank | unif7,0.43,0.54,0.38,0.56,0.54,0.02,0.96,0.02,0.21,0.0,0.01,0.55,0.9,0.0,0.01,0.0,0.0,0.44,0.0,0.01,0.0,0.0,0.91,0.0,0.0,0.2596
rank | up2,0.72,0.94,0.47,0.76,0.79,0.29,1.0,0.17,0.9,0.01,0.01,0.71,0.93,0.0,0.02,0.0,0.0,0.51,0.0,0.12,0.0,0.0,0.82,0.0,0.0,0.3667999999999999
rank | up7,0.5,0.97,0.3,0.62,0.61,0.24,0.98,0.07,0.92,0.02,0.01,0.59,0.93,0.0,0.09,0.0,0.0,0.43,0.0,0.01,0.16,0.0,0.84,0.05,0.0,0.3336
rank | ur2,0.78,0.95,0.56,0.84,0.85,0.18,0.99,0.06,0.91,0.01,0.0,0.73,0.95,0.0,0.15,0.0,0.0,0.6,0.0,0.04,0.15,0.0,0.81,0.0,0.0,0.3824
rank | ur7,0.59,0.47,0.36,0.56,0.57,0.02,0.99,0.05,0.39,0.0,0.01,0.69,0.93,0.0,0.61,0.0,0.0,0.39,0.0,0.01,0.75,0.11,0.82,0.43,0.0,0.3499999999999999
rank | ut3,0.76,0.97,0.56,0.81,0.72,0.14,0.99,0.13,0.93,0.01,0.01,0.74,0.93,0.0,0.02,0.0,0.0,0.59,0.0,0.05,0.0,0.0,0.84,0.0,0.0,0.368
rank | ut7,0.65,1.0,0.62,0.77,0.73,0.32,0.99,0.14,0.9,0.0,0.03,0.76,0.95,0.0,0.02,0.0,0.0,0.59,0.0,0.06,0.0,0.0,0.87,0.0,0.0,0.376
tour3 | empty,0.03,0.88,0.6,0.73,0.71,1.0,1.0,0.34,1.0,0.28,0.13,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2812
tour3 | unif1,0.8,0.98,0.76,0.9,0.91,0.58,0.96,0.3,0.85,0.02,0.0,0.82,0.87,0.0,0.13,0.33,0.07,0.68,0.0,0.56,0.06,0.0,0.68,0.01,0.06,0.4532
tour3 | unif2,0.81,0.72,0.44,0.83,0.78,0.02,0.98,0.02,0.75,0.01,0.01,0.76,0.91,0.0,0.49,0.0,0.0,0.58,0.0,0.01,0.6,0.09,0.87,0.28,0.0,0.39839999999999987
