Function,Dimensions,Pop_Size,Iters,find_solution,generation_found
Func1,1,10,10,1,7.0
Func1,1,10,10,0,
Func1,1,10,10,1,7.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,7.0
Func1,1,10,10,0,
Func1,1,10,10,1,6.0
Func1,1,10,10,1,1.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,9.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,9.0
Func1,1,10,10,0,
Func1,1,10,10,1,8.0
Func1,1,10,10,1,10.0
Func1,1,10,10,1,10.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,10.0
Func1,1,10,10,1,2.0
Func1,1,10,10,0,
Func1,1,10,10,1,3.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,10.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,4.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,10.0
Func1,1,10,10,0,
Func1,1,10,10,1,10.0
Func1,1,10,10,1,6.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,10.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,7.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,5.0
Func1,1,10,10,1,10.0
Func1,1,10,10,0,
Func1,1,10,10,1,5.0
Func1,1,10,10,0,
Func1,1,10,10,1,2.0
Func1,1,10,10,1,4.0
Func1,1,10,10,1,2.0
Func1,1,10,10,1,8.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,7.0
Func1,1,10,10,0,
Func1,1,10,10,1,10.0
Func1,1,10,10,0,
Func1,1,10,10,1,5.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,1,7.0
Func1,1,10,10,0,
Func1,1,10,10,1,10.0
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func1,1,10,10,0,
Func2,1,22,22,1,17.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,6.0
Func2,1,22,22,0,
Func2,1,22,22,1,6.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,20.0
Func2,1,22,22,0,
Func2,1,22,22,1,19.0
Func2,1,22,22,1,11.0
Func2,1,22,22,1,15.0
Func2,1,22,22,1,6.0
Func2,1,22,22,1,4.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,15.0
Func2,1,22,22,0,
Func2,1,22,22,1,12.0
Func2,1,22,22,1,3.0
Func2,1,22,22,0,
Func2,1,22,22,1,9.0
Func2,1,22,22,1,7.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,16.0
Func2,1,22,22,0,
Func2,1,22,22,1,22.0
Func2,1,22,22,1,10.0
Func2,1,22,22,0,
Func2,1,22,22,1,22.0
Func2,1,22,22,0,
Func2,1,22,22,1,12.0
Func2,1,22,22,0,
Func2,1,22,22,1,17.0
Func2,1,22,22,1,9.0
Func2,1,22,22,1,14.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,11.0
Func2,1,22,22,1,9.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,3.0
Func2,1,22,22,1,20.0
Func2,1,22,22,1,6.0
Func2,1,22,22,0,
Func2,1,22,22,1,6.0
Func2,1,22,22,1,14.0
Func2,1,22,22,1,9.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,19.0
Func2,1,22,22,1,21.0
Func2,1,22,22,1,5.0
Func2,1,22,22,0,
Func2,1,22,22,1,18.0
Func2,1,22,22,1,8.0
Func2,1,22,22,0,
Func2,1,22,22,1,22.0
Func2,1,22,22,1,1.0
Func2,1,22,22,1,10.0
Func2,1,22,22,1,17.0
Func2,1,22,22,1,16.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,15.0
Func2,1,22,22,1,6.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,1.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,9.0
Func2,1,22,22,0,
Func2,1,22,22,1,12.0
Func2,1,22,22,1,20.0
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,0,
Func2,1,22,22,1,13.0
Func2,1,22,22,1,20.0
Func2,1,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,20.0
Func3,2,22,22,1,22.0
Func3,2,22,22,1,19.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,13.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,22.0
Func3,2,22,22,1,18.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,17.0
Func3,2,22,22,1,19.0
Func3,2,22,22,1,20.0
Func3,2,22,22,1,20.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,21.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,19.0
Func3,2,22,22,1,22.0
Func3,2,22,22,0,
Func3,2,22,22,1,18.0
Func3,2,22,22,1,16.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,20.0
Func3,2,22,22,1,10.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,21.0
Func3,2,22,22,0,
Func3,2,22,22,1,22.0
Func3,2,22,22,1,22.0
Func3,2,22,22,0,
Func3,2,22,22,1,16.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,12.0
Func3,2,22,22,0,
Func3,2,22,22,1,21.0
Func3,2,22,22,0,
Func3,2,22,22,1,21.0
Func3,2,22,22,1,11.0
Func3,2,22,22,1,12.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,22.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,22.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,22.0
Func3,2,22,22,1,21.0
Func3,2,22,22,1,21.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,13.0
Func3,2,22,22,1,17.0
Func3,2,22,22,1,19.0
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,0,
Func3,2,22,22,1,21.0
Func4,2,19,19,0,
Func4,2,19,19,1,18.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,19.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,18.0
Func4,2,19,19,1,16.0
Func4,2,19,19,1,15.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,11.0
Func4,2,19,19,0,
Func4,2,19,19,1,19.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,16.0
Func4,2,19,19,1,16.0
Func4,2,19,19,0,
Func4,2,19,19,1,16.0
Func4,2,19,19,1,12.0
Func4,2,19,19,0,
Func4,2,19,19,1,19.0
Func4,2,19,19,1,15.0
Func4,2,19,19,0,
Func4,2,19,19,1,13.0
Func4,2,19,19,1,17.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,15.0
Func4,2,19,19,1,18.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,16.0
Func4,2,19,19,0,
Func4,2,19,19,1,17.0
Func4,2,19,19,1,9.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,13.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,9.0
Func4,2,19,19,0,
Func4,2,19,19,0,
Func4,2,19,19,1,18.0
Func4,2,19,19,1,18.0
Func4,2,19,19,1,14.0
Func4,2,19,19,1,17.0
Func4,2,19,19,0,
Func4,2,19,19,0,
