Function,Selection,Crossover,Pop_Size,Iters,fitness
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,604.0
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,585.0
OneMax,proportional,empty,146,146,592.0
OneMax,proportional,empty,146,146,600.0
OneMax,proportional,empty,146,146,593.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,591.0
OneMax,proportional,empty,146,146,598.0
OneMax,proportional,empty,146,146,592.0
OneMax,proportional,empty,146,146,591.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,585.0
OneMax,proportional,empty,146,146,593.0
OneMax,proportional,empty,146,146,590.0
OneMax,proportional,empty,146,146,589.0
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,604.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,598.0
OneMax,proportional,empty,146,146,598.0
OneMax,proportional,empty,146,146,583.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,583.0
OneMax,proportional,empty,146,146,595.0
OneMax,proportional,empty,146,146,582.0
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,595.0
OneMax,proportional,empty,146,146,589.0
OneMax,proportional,empty,146,146,589.0
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,609.0
OneMax,proportional,empty,146,146,585.0
OneMax,proportional,empty,146,146,602.0
OneMax,proportional,empty,146,146,603.0
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,602.0
OneMax,proportional,empty,146,146,585.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,593.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,591.0
OneMax,proportional,empty,146,146,597.0
OneMax,proportional,empty,146,146,591.0
OneMax,proportional,empty,146,146,585.0
OneMax,proportional,empty,146,146,586.0
OneMax,proportional,empty,146,146,592.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,598.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,595.0
OneMax,proportional,empty,146,146,590.0
OneMax,proportional,empty,146,146,592.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,587.0
OneMax,proportional,empty,146,146,590.0
OneMax,proportional,empty,146,146,598.0
OneMax,proportional,empty,146,146,600.0
OneMax,proportional,empty,146,146,589.0
OneMax,proportional,empty,146,146,589.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,592.0
OneMax,proportional,empty,146,146,607.0
OneMax,proportional,empty,146,146,591.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,599.0
OneMax,proportional,empty,146,146,591.0
OneMax,proportional,empty,146,146,589.0
OneMax,proportional,empty,146,146,590.0
OneMax,proportional,empty,146,146,581.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,600.0
OneMax,proportional,empty,146,146,592.0
OneMax,proportional,empty,146,146,599.0
OneMax,proportional,empty,146,146,596.0
OneMax,proportional,empty,146,146,594.0
OneMax,proportional,empty,146,146,591.0
OneMax,proportional,empty,146,146,596.0
OneMax,proportional,empty,146,146,601.0
OneMax,proportional,empty,146,146,588.0
OneMax,proportional,empty,146,146,583.0
OneMax,proportional,empty,146,146,593.0
OneMax,proportional,empty,146,146,590.0
OneMax,proportional,empty,146,146,584.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,998.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,998.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,997.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,999.0
OneMax,proportional,uniform_1,146,146,1000.0
OneMax,proportional,uniform_1,146,146,999.0
