Function,Selection,Crossover,Pop_Size,Iters,fitness
Jump,proportional,empty,256,256,625
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,635
Jump,proportional,empty,256,256,624
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,631
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,620
Jump,proportional,empty,256,256,617
Jump,proportional,empty,256,256,632
Jump,proportional,empty,256,256,625
Jump,proportional,empty,256,256,625
Jump,proportional,empty,256,256,628
Jump,proportional,empty,256,256,627
Jump,proportional,empty,256,256,635
Jump,proportional,empty,256,256,622
Jump,proportional,empty,256,256,617
Jump,proportional,empty,256,256,623
Jump,proportional,empty,256,256,620
Jump,proportional,empty,256,256,642
Jump,proportional,empty,256,256,622
Jump,proportional,empty,256,256,619
Jump,proportional,empty,256,256,619
Jump,proportional,empty,256,256,618
Jump,proportional,empty,256,256,622
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,625
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,617
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,624
Jump,proportional,empty,256,256,617
Jump,proportional,empty,256,256,630
Jump,proportional,empty,256,256,633
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,627
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,619
Jump,proportional,empty,256,256,630
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,628
Jump,proportional,empty,256,256,632
Jump,proportional,empty,256,256,628
Jump,proportional,empty,256,256,628
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,623
Jump,proportional,empty,256,256,624
Jump,proportional,empty,256,256,627
Jump,proportional,empty,256,256,620
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,640
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,617
Jump,proportional,empty,256,256,628
Jump,proportional,empty,256,256,623
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,618
Jump,proportional,empty,256,256,620
Jump,proportional,empty,256,256,639
Jump,proportional,empty,256,256,623
Jump,proportional,empty,256,256,625
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,631
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,618
Jump,proportional,empty,256,256,619
Jump,proportional,empty,256,256,632
Jump,proportional,empty,256,256,622
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,619
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,627
Jump,proportional,empty,256,256,638
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,617
Jump,proportional,empty,256,256,636
Jump,proportional,empty,256,256,619
Jump,proportional,empty,256,256,618
Jump,proportional,empty,256,256,631
Jump,proportional,empty,256,256,630
Jump,proportional,empty,256,256,629
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,628
Jump,proportional,empty,256,256,635
Jump,proportional,empty,256,256,635
Jump,proportional,empty,256,256,635
Jump,proportional,empty,256,256,626
Jump,proportional,empty,256,256,621
Jump,proportional,empty,256,256,624
Jump,proportional,empty,256,256,624
Jump,proportional,empty,256,256,627
Jump,proportional,empty,256,256,623
Jump,proportional,empty,256,256,618
Jump,proportional,empty,256,256,620
Jump,proportional,empty,256,256,620
Jump,proportional,empty,256,256,632
Jump,proportional,empty,256,256,631
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,1000
Jump,proportional,uniform_1,256,256,994
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_2,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
Jump,proportional,uniform_7,256,256,1000
