Function,Dimensions,Selection,Crossover,Mutation,Speed
F1,1,proportional,one_point,weak,7.74
F1,1,proportional,one_point,average,8.57
F1,1,proportional,one_point,strong,8.51
F1,1,proportional,two_point,weak,7.78
F1,1,proportional,two_point,average,7.66
F1,1,proportional,two_point,strong,7.78
F1,1,proportional,uniform_2,weak,7.5
F1,1,proportional,uniform_2,average,7.93
F1,1,proportional,uniform_2,strong,7.25
F1,1,rank,one_point,weak,9.15
F1,1,rank,one_point,average,8.86
F1,1,rank,one_point,strong,7.99
F1,1,rank,two_point,weak,9.22
F1,1,rank,two_point,average,9.01
F1,1,rank,two_point,strong,8.0
F1,1,rank,uniform_2,weak,9.34
F1,1,rank,uniform_2,average,8.86
F1,1,rank,uniform_2,strong,7.93
F1,1,tournament_3,one_point,weak,8.19
F1,1,tournament_3,one_point,average,8.89
F1,1,tournament_3,one_point,strong,8.4
F1,1,tournament_3,two_point,weak,8.82
F1,1,tournament_3,two_point,average,8.64
F1,1,tournament_3,two_point,strong,8.46
F1,1,tournament_3,uniform_2,weak,8.38
F1,1,tournament_3,uniform_2,average,8.7
F1,1,tournament_3,uniform_2,strong,8.66
F2,1,proportional,one_point,weak,7.96
F2,1,proportional,one_point,average,8.75
F2,1,proportional,one_point,strong,11.83
F2,1,proportional,two_point,weak,7.33
F2,1,proportional,two_point,average,7.25
F2,1,proportional,two_point,strong,9.78
F2,1,proportional,uniform_2,weak,7.54
F2,1,proportional,uniform_2,average,8.3
F2,1,proportional,uniform_2,strong,10.99
F2,1,rank,one_point,weak,9.3
F2,1,rank,one_point,average,10.33
F2,1,rank,one_point,strong,10.54
F2,1,rank,two_point,weak,8.91
F2,1,rank,two_point,average,8.14
F2,1,rank,two_point,strong,11.1
F2,1,rank,uniform_2,weak,8.84
F2,1,rank,uniform_2,average,7.29
F2,1,rank,uniform_2,strong,10.01
F2,1,tournament_3,one_point,weak,7.42
F2,1,tournament_3,one_point,average,7.65
F2,1,tournament_3,one_point,strong,10.81
F2,1,tournament_3,two_point,weak,7.82
F2,1,tournament_3,two_point,average,6.86
F2,1,tournament_3,two_point,strong,11.48
F2,1,tournament_3,uniform_2,weak,7.38
F2,1,tournament_3,uniform_2,average,6.67
F2,1,tournament_3,uniform_2,strong,10.26
F3,2,proportional,one_point,weak,19.86
F3,2,proportional,one_point,average,15.2
F3,2,proportional,one_point,strong,15.5
F3,2,proportional,two_point,weak,18.33
F3,2,proportional,two_point,average,18.33
F3,2,proportional,two_point,strong,17.33
F3,2,proportional,uniform_2,weak,18.64
F3,2,proportional,uniform_2,average,13.0
F3,2,proportional,uniform_2,strong,
F3,2,rank,one_point,weak,20.72
F3,2,rank,one_point,average,19.65
F3,2,rank,one_point,strong,
F3,2,rank,two_point,weak,19.53
F3,2,rank,two_point,average,19.07
F3,2,rank,two_point,strong,19.5
F3,2,rank,uniform_2,weak,20.62
F3,2,rank,uniform_2,average,16.53
F3,2,rank,uniform_2,strong,5.0
F3,2,tournament_3,one_point,weak,18.77
F3,2,tournament_3,one_point,average,19.29
F3,2,tournament_3,one_point,strong,15.33
F3,2,tournament_3,two_point,weak,18.37
F3,2,tournament_3,two_point,average,18.47
F3,2,tournament_3,two_point,strong,16.0
F3,2,tournament_3,uniform_2,weak,18.52
F3,2,tournament_3,uniform_2,average,18.3
F3,2,tournament_3,uniform_2,strong,12.5
F4,2,proportional,one_point,weak,13.43
F4,2,proportional,one_point,average,13.43
F4,2,proportional,one_point,strong,8.33
F4,2,proportional,two_point,weak,12.32
F4,2,proportional,two_point,average,11.09
F4,2,proportional,two_point,strong,7.0
F4,2,proportional,uniform_2,weak,13.35
F4,2,proportional,uniform_2,average,14.57
F4,2,proportional,uniform_2,strong,15.0
F4,2,rank,one_point,weak,14.37
F4,2,rank,one_point,average,14.3
F4,2,rank,one_point,strong,10.5
F4,2,rank,two_point,weak,14.24
F4,2,rank,two_point,average,14.41
F4,2,rank,two_point,strong,13.86
F4,2,rank,uniform_2,weak,15.62
F4,2,rank,uniform_2,average,15.46
F4,2,rank,uniform_2,strong,12.0
F4,2,tournament_3,one_point,weak,14.48
F4,2,tournament_3,one_point,average,13.96
F4,2,tournament_3,one_point,strong,12.75
F4,2,tournament_3,two_point,weak,14.23
F4,2,tournament_3,two_point,average,13.99
F4,2,tournament_3,two_point,strong,11.71
F4,2,tournament_3,uniform_2,weak,14.07
F4,2,tournament_3,uniform_2,average,14.06
F4,2,tournament_3,uniform_2,strong,16.0
F5,2,proportional,one_point,weak,16.0
F5,2,proportional,one_point,average,28.5
F5,2,proportional,one_point,strong,
F5,2,proportional,two_point,weak,20.2
F5,2,proportional,two_point,average,12.0
F5,2,proportional,two_point,strong,
F5,2,proportional,uniform_2,weak,18.4
F5,2,proportional,uniform_2,average,21.0
F5,2,proportional,uniform_2,strong,4.0
F5,2,rank,one_point,weak,25.1
F5,2,rank,one_point,average,22.86
F5,2,rank,one_point,strong,
F5,2,rank,two_point,weak,24.14
F5,2,rank,two_point,average,22.68
F5,2,rank,two_point,strong,9.0
F5,2,rank,uniform_2,weak,23.84
F5,2,rank,uniform_2,average,22.0
F5,2,rank,uniform_2,strong,19.0
F5,2,tournament_3,one_point,weak,23.13
F5,2,tournament_3,one_point,average,23.34
F5,2,tournament_3,one_point,strong,18.5
F5,2,tournament_3,two_point,weak,22.65
F5,2,tournament_3,two_point,average,22.79
F5,2,tournament_3,two_point,strong,19.33
F5,2,tournament_3,uniform_2,weak,22.71
F5,2,tournament_3,uniform_2,average,22.75
F5,2,tournament_3,uniform_2,strong,10.5
F6,2,proportional,one_point,weak,43.22
F6,2,proportional,one_point,average,
F6,2,proportional,one_point,strong,
