WindSpeed_t+1,WindSpeed_t+2,WindSpeed_t+3,WindSpeed_t+4,WindSpeed_t+5,WindSpeed_t+6,WindSpeed_t+7,WindSpeed_t+8,WindSpeed_t+9,WindSpeed_t+10,WindSpeed_t+11,WindSpeed_t+12
5.128571,4.3285713,4.6214285,2.9214287,1.86,3.226667,4.8857145,4.557143,4.5642858,4.114286,2.8571432,2.1133335
4.3285713,4.6214285,2.9214287,1.86,3.226667,4.8857145,4.557143,4.5642858,4.114286,2.8571432,2.1133335,4.633333
4.6214285,2.9214287,1.86,3.226667,4.8857145,4.557143,4.5642858,4.114286,2.8571432,2.1133335,4.633333,4.7928567
2.9214287,1.86,3.226667,4.8857145,4.557143,4.5642858,4.114286,2.8571432,2.1133335,4.633333,4.7928567,5.592857
1.86,3.226667,4.8857145,4.557143,4.5642858,4.114286,2.8571432,2.1133335,4.633333,4.7928567,5.592857,3.7
3.226667,4.8857145,4.557143,4.5642858,4.114286,2.8571432,2.1133335,4.633333,4.7928567,5.592857,3.7,5.1571426
4.8857145,4.557143,4.5642858,4.114286,2.8571432,2.1133335,4.633333,4.7928567,5.592857,3.7,5.1571426,3.542857
4.557143,4.5642858,4.114286,2.8571432,2.1133335,4.633333,4.7928567,5.592857,3.7,5.1571426,3.542857,4.0333333
4.5642858,4.114286,2.8571432,2.1133335,4.633333,4.7928567,5.592857,3.7,5.1571426,3.542857,4.0333333,3.2200003
4.114286,2.8571432,2.1133335,4.633333,4.7928567,5.592857,3.7,5.1571426,3.542857,4.0333333,3.2200003,1.8
2.8571432,2.1133335,4.633333,4.7928567,5.592857,3.7,5.1571426,3.542857,4.0333333,3.2200003,1.8,1.9785713
2.1133335,4.633333,4.7928567,5.592857,3.7,5.1571426,3.542857,4.0333333,3.2200003,1.8,1.9785713,3.392857
4.633333,4.7928567,5.592857,3.7,5.1571426,3.542857,4.0333333,3.2200003,1.8,1.9785713,3.392857,4.2
4.7928567,5.592857,3.7,5.1571426,3.542857,4.0333333,3.2200003,1.8,1.9785713,3.392857,4.2,3.6785715
5.592857,3.7,5.1571426,3.542857,4.0333333,3.2200003,1.8,1.9785713,3.392857,4.2,3.6785715,3.1000001
3.7,5.1571426,3.542857,4.0333333,3.2200003,1.8,1.9785713,3.392857,4.2,3.6785715,3.1000001,1.6866664
